year,state,place,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,53,74060,5,1,0.23142848374403396,1
2015,53,80010,3,1,0.32150702854036367,1
2015,55,02375,3,1,0.2336109295517639,1
2015,55,31000,4,1,0.25115901074411434,1
2015,55,39225,8,1,0.2258985124593986,1
2015,55,48000,5,1,0.20358855777075374,1
2015,55,53000,15,1,0.20567276293399478,1
2015,55,66000,5,1,0.23346674880069182,1
2019,01,03076,1,1,0.2937308072041528,1
2019,01,07000,3,1,0.23809434222293013,1
2019,01,35896,1,1,0.27744373135523936,1
2019,01,37000,2,1,0.2491353969221326,1
2019,01,50000,4,1,0.2972371978503417,1
2019,01,51000,3,1,0.2860446721493424,1
2019,01,77256,2,1,0.29459719211197183,1
2019,02,03000,6,1,0.21365629134722763,1
2019,04,04720,1,1,0.2919001448740251,1
2019,04,07940,0,1,0.33948063233620646,1
2019,04,12000,1,1,0.2760334011196442,1
2019,04,23620,6,1,0.2823682486603871,1
2019,04,27400,1,1,0.2968339428079829,1
2019,04,27820,1,1,0.2659525619543586,1
2019,04,28380,1,1,0.31207251185097923,1
2019,04,46000,2,1,0.25791835806809355,1
2019,04,54050,1,1,0.28523742551215164,1
2019,04,55000,2,1,0.2617849477444141,1
2019,04,65000,2,1,0.2510665417784721,1
2019,04,71510,1,1,0.2849189906086266,1
2019,04,73000,3,1,0.23510230454719375,1
2019,04,77000,7,1,0.2701539340575529,1
2019,04,85540,0,1,0.3461190642182726,1
2019,05,23290,14,1,0.2516127530101796,1
2019,05,24550,2,1,0.32384533685395966,1
2019,05,35710,2,1,0.33511938946723985,1
2019,05,41000,3,1,0.2705316005866765,1
2019,05,66080,7,1,0.2789051884564988,1
2019,06,00562,30,1,0.1583108685646657,1
2019,06,00884,1,1,0.229953310268382,1
2019,06,02000,25,1,0.2603564677981397,1
2019,06,02252,7,1,0.19689001112078972,1
2019,06,02364,4,1,0.3081230213006004,1
2019,06,03526,7,1,0.34549760984208167,1
2019,06,04982,1,1,0.24520783132530116,1
2019,06,06000,58,1,0.15593733073986155,1
2019,06,08786,28,1,0.27076353769842754,1
2019,06,08954,1,1,0.22628729334641245,1
2019,06,11194,20,1,0.23737977040004227,1
2019,06,11530,1,1,0.28305074600311053,1
2019,06,13014,3,1,0.2913726998962379,1
2019,06,13210,5,1,0.32789587174255147,1
2019,06,13214,5,1,0.331348426128652,1
2019,06,13392,18,1,0.24867617865545377,1
2019,06,13588,1,1,0.22996271838530383,1
2019,06,14218,0,1,0.33142534176533556,1
2019,06,15044,1,1,0.2631608767195529,1
2019,06,16000,10,1,0.1801759128564244,1
2019,06,16350,11,1,0.31362459399247095,1
2019,06,16532,39,1,0.22602276562307705,1
2019,06,17918,43,1,0.18023346672896512,1
2019,06,19766,1,1,0.26139960659706457,1
2019,06,21712,28,1,0.21791611450592543,1
2019,06,22020,0,1,0.2770480902789732,1
2019,06,22230,1,1,0.24839835297471013,1
2019,06,22804,28,1,0.2361669737331901,1
2019,06,23182,2,1,0.24176076734899948,1
2019,06,24638,0,1,0.2554132832330061,1
2019,06,24680,9,1,0.3218173316139686,1
2019,06,26000,16,1,0.18157332170650178,1
2019,06,27000,0,1,0.30215573905779203,1
2019,06,28000,30,1,0.25551557702509553,1
2019,06,29000,25,1,0.26813667931118856,1
2019,06,30000,2,1,0.19957095745370537,1
2019,06,32548,1,1,0.21919631760526337,1
2019,06,33000,24,1,0.18274255121084365,1
2019,06,33182,12,1,0.2724604396368019,1
2019,06,33434,4,1,0.3113921692775878,1
