year,state,place,index_transit_trips,index_transit_trips_quality
2019,12,32000,88.44,1
2019,12,32275,14.5,1
2019,12,35000,98.48,1
2019,12,36950,97.83,1
2019,12,38250,96.96,1
2019,12,39425,98.15,1
2019,12,43975,94.9,1
2019,12,45000,98.91,1
2019,12,45025,99.02,1
2019,12,45060,57.33,1
2019,12,45975,71.01,1
2019,12,49675,84.15,1
2019,12,53000,98.59,1
2019,12,54000,88.71,1
2019,12,54200,82.95,1
2019,12,55775,78.83,1
2019,12,57425,77.47,1
2019,12,58050,79.59,1
2019,12,58715,2.17,1
2019,12,63000,98.37,1
2019,12,69700,77.04,1
2019,12,70600,99.57,1
2019,12,71000,98.26,1
2019,12,76600,99.78,1
2019,13,03440,98.88,1
2019,13,04000,99.36,1
2019,13,04204,93.84,1
2019,13,19000,98.72,1
2019,13,42425,97.92,1
2019,13,49008,NA,NA
2019,13,67284,98.56,1
2019,13,68516,99.2,1
2019,13,69000,99.68,1
2019,13,72122,NA,NA
2019,13,80508,94.08,1
2019,15,71550,98.68,1
2019,16,08830,99.56,1
2019,16,52120,96.92,1
2019,16,56260,96.48,1
2019,17,02154,98.68,1
2019,17,03012,97.22,1
2019,17,06613,99.34,1
2019,17,12385,99.49,1
2019,17,14000,99.85,1
2019,17,14351,99.56,1
2019,17,23074,97.15,1
2019,17,24582,99.71,1
2019,17,38570,95.69,1
2019,17,51622,95.25,1
2019,17,59000,98.25,1
2019,17,65000,98.54,1
2019,17,68003,98.17,1
2019,17,72000,99.42,1
2019,17,79293,93.13,1
2019,18,05860,98.39,1
2019,18,10342,97.95,1
2019,18,22000,99.27,1
2019,18,23278,96.33,1
2019,18,25000,99.12,1
2019,18,31000,95.16,1
2019,18,36003,99.56,1
2019,18,71000,93.62,1
2019,19,12000,99.7,1
2019,19,19000,94.21,1
2019,19,21000,99.8,1
2019,19,73335,99.31,1
2019,20,36000,99.55,1
2019,20,38900,98.51,1
2019,20,52575,98.96,1
2019,20,53775,99.11,1
2019,20,71000,98.81,1
2019,20,79000,99.4,1
2019,21,46027,99.05,1
2019,21,48006,99.24,1
2019,22,05000,99.16,1
2019,22,40735,98.73,1
2019,22,41155,98.52,1
2019,22,55000,99.79,1
2019,22,70000,98.95,1
2019,24,04000,99.42,1
2019,24,30325,84.39,1
2019,25,07000,98.36,1
2019,25,09000,90.98,1
2019,25,11000,97.95,1
2019,25,23000,79.1,1
2019,25,34550,93.44,1
2019,25,37000,93.85,1
2019,25,37490,95.49,1
2019,25,45000,79.51,1
2019,25,45560,95.08,1
2019,25,55745,96.31,1
2019,25,62535,97.13,1
2019,25,67000,91.39,1
2019,25,82000,99.59,1
2019,26,03000,98.27,1
2019,26,21000,93.22,1
2019,26,22000,98.7,1
2019,26,27440,97.69,1
2019,26,29000,97.98,1
2019,26,34000,98.41,1
2019,26,46000,99.28,1
2019,26,49000,92.78,1
2019,26,69035,95.67,1
2019,26,74900,97.55,1
2019,26,76460,96.25,1
2019,26,80700,96.97,1
2019,26,84000,99.71,1
2019,26,86000,92.93,1
2019,26,88940,98.12,1
2019,27,06616,99.01,1
2019,27,07966,98.79,1
2019,27,17000,98.46,1
2019,27,43000,99.56,1
2019,27,51730,98.02,1
2019,27,54880,97.91,1
2019,27,58000,99.45,1
2019,27,71428,93.88,1
2019,28,36000,99.17,1
2019,29,15670,99.51,1
2019,29,35000,99.61,1
2019,29,38000,99.9,1
2019,29,41348,98.54,1
2019,29,54074,97.48,1
2019,29,65000,82.77,1
2019,29,70000,99.71,1
2019,30,06550,99.45,1
2019,31,28000,99.83,1
2019,31,37000,99.66,1
2019,32,31900,95.38,1
2019,32,40000,97.69,1
2019,32,51800,93.85,1
2019,32,60600,98.46,1
2019,32,68400,93.08,1
2019,33,45140,97.94,1
2019,33,50260,96.91,1
2019,34,13690,97.25,1
2019,34,21000,97.8,1
2019,34,36000,99.27,1
2019,34,51000,99.45,1
2019,34,57000,98.35,1
2019,34,74000,99.63,1
2019,35,02000,99.1,1
2019,35,39380,99.55,1
2019,35,63460,97.52,1
2019,35,70500,99.32,1
2019,36,01000,98.39,1
2019,36,11000,98.81,1
2019,36,50617,98.31,1
2019,36,51000,99.49,1
2019,36,63000,99.75,1
2019,36,73000,98.56,1
2019,36,84000,98.64,1
2019,37,02140,98.92,1
2019,37,10740,98.51,1
2019,37,12000,99.05,1
2019,37,14100,98.38,1
2019,37,19000,99.19,1
2019,37,22920,99.32,1
2019,37,25580,75.95,1
2019,37,28000,94.66,1
