state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
25,45000,Massachusetts,New Bedford city,84.430%,78.201%,90.659%,1
25,45560,Massachusetts,Newton city,96.927%,91.515%,100.000%,1
25,55745,Massachusetts,Quincy city,91.015%,85.443%,96.587%,1
25,62535,Massachusetts,Somerville city,95.511%,89.908%,100.000%,1
25,67000,Massachusetts,Springfield city,81.691%,76.471%,86.910%,1
25,82000,Massachusetts,Worcester city,87.787%,82.926%,92.648%,1
26,03000,Michigan,Ann Arbor city,91.931%,86.959%,96.903%,1
26,21000,Michigan,Dearborn city,94.331%,87.989%,100.000%,1
26,22000,Michigan,Detroit city,83.358%,81.062%,85.653%,1
26,27440,Michigan,Farmington Hills city,95.811%,89.705%,100.000%,1
26,29000,Michigan,Flint city,80.959%,74.669%,87.249%,1
26,34000,Michigan,Grand Rapids city,89.359%,85.217%,93.501%,1
26,46000,Michigan,Lansing city,88.122%,83.402%,92.841%,1
26,49000,Michigan,Livonia city,93.755%,88.797%,98.714%,1
26,69035,Michigan,Rochester Hills city,93.623%,87.061%,100.000%,1
26,74900,Michigan,Southfield city,90.326%,83.283%,97.369%,1
26,76460,Michigan,Sterling Heights city,92.834%,87.592%,98.076%,1
26,80700,Michigan,Troy city,95.055%,88.712%,100.000%,1
26,84000,Michigan,Warren city,90.685%,85.894%,95.476%,1
26,86000,Michigan,Westland city,89.843%,84.128%,95.559%,1
26,88940,Michigan,Wyoming city,90.764%,83.044%,98.485%,1
27,06616,Minnesota,Bloomington city,93.524%,87.813%,99.234%,1
27,07966,Minnesota,Brooklyn Park city,89.574%,82.698%,96.451%,1
27,17000,Minnesota,Duluth city,90.452%,85.480%,95.424%,1
27,43000,Minnesota,Minneapolis city,90.879%,87.710%,94.049%,1
27,51730,Minnesota,Plymouth city,94.344%,88.697%,99.991%,1
27,54880,Minnesota,Rochester city,91.249%,88.262%,94.235%,1
27,58000,Minnesota,St. Paul city,90.777%,87.628%,93.927%,1
27,71428,Minnesota,Woodbury city,97.666%,92.478%,100.000%,1
28,36000,Mississippi,Jackson city,89.075%,84.362%,93.787%,1
29,15670,Missouri,Columbia city,88.556%,84.400%,92.712%,1
29,35000,Missouri,Independence city,88.177%,83.233%,93.120%,1
