year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,06,21712,race-ethnicity,"White, Non-Hispanic",256,255,257,0.0142602496,1,1
2019,06,22020,all,All,664,663,665,0.0102977667,1,1
2019,06,22020,race-ethnicity,"Black, Non-Hispanic",278,278,278,0.0381815685,1,1
2019,06,22020,race-ethnicity,Hispanic,186,185,187,0.0105412298,1,1
2019,06,22020,race-ethnicity,Other Races and Ethnicities,125,123,127,0.0045041799,1,1
2019,06,22020,race-ethnicity,"White, Non-Hispanic",75,74,76,0.0063548551,1,1
2019,06,22230,all,All,2350,2350,2350,0.1051407096,1,1
2019,06,22230,race-ethnicity,"Black, Non-Hispanic",5,3,7,0.0735294118,3,3
2019,06,22230,race-ethnicity,Hispanic,2033,2033,2033,0.1097258204,1,1
2019,06,22230,race-ethnicity,Other Races and Ethnicities,295,295,295,0.0833568805,1,1
2019,06,22230,race-ethnicity,"White, Non-Hispanic",6,4,8,0.0277777778,3,3
2019,06,22804,all,All,1764,1764,1764,0.0640406607,1,1
2019,06,22804,race-ethnicity,"Black, Non-Hispanic",45,43,47,0.1056338028,2,2
2019,06,22804,race-ethnicity,Hispanic,1464,1462,1466,0.0775958022,1,1
2019,06,22804,race-ethnicity,Other Races and Ethnicities,91,85,97,0.0382192356,3,3
2019,06,22804,race-ethnicity,"White, Non-Hispanic",155,152,158,0.0264009538,1,1
2019,06,23182,all,All,379,379,379,0.0139800812,1,1
2019,06,23182,race-ethnicity,"Black, Non-Hispanic",107,107,107,0.0294928335,1,1
2019,06,23182,race-ethnicity,Hispanic,193,193,193,0.0175215615,1,1
2019,06,23182,race-ethnicity,Other Races and Ethnicities,43,42,44,0.0060828972,1,1
2019,06,23182,race-ethnicity,"White, Non-Hispanic",32,31,33,0.0059281215,2,2
2019,06,24638,all,All,,,,,,
2019,06,24638,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,24638,race-ethnicity,Hispanic,,,,,,
2019,06,24638,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,24638,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,24680,all,All,721,721,721,0.0190312789,1,1
2019,06,24680,race-ethnicity,"Black, Non-Hispanic",53,52,54,0.0274753758,1,1
2019,06,24680,race-ethnicity,Hispanic,595,595,595,0.0181657202,1,1
2019,06,24680,race-ethnicity,Other Races and Ethnicities,20,19,21,0.0130378096,3,3
2019,06,24680,race-ethnicity,"White, Non-Hispanic",45,44,46,0.0269784173,1,1
2019,06,26000,all,All,275,275,275,0.0076856432,1,1
2019,06,26000,race-ethnicity,"Black, Non-Hispanic",32,32,32,0.0478325859,1,1
2019,06,26000,race-ethnicity,Hispanic,145,144,146,0.0273430134,1,1
2019,06,26000,race-ethnicity,Other Races and Ethnicities,56,55,57,0.0021347972,1,1
2019,06,26000,race-ethnicity,"White, Non-Hispanic",33,33,33,0.009233352,1,1
2019,06,27000,all,All,1230,1228,1232,0.0123187245,1,1
2019,06,27000,race-ethnicity,"Black, Non-Hispanic",207,203,211,0.0257142857,1,1
2019,06,27000,race-ethnicity,Hispanic,780,775,785,0.0116890707,1,1
2019,06,27000,race-ethnicity,Other Races and Ethnicities,97,84,110,0.006833392,3,3
2019,06,27000,race-ethnicity,"White, Non-Hispanic",102,91,113,0.0093853515,3,3
2019,06,28000,all,All,504,504,504,0.0190317952,1,1
2019,06,28000,race-ethnicity,"Black, Non-Hispanic",42,42,42,0.1007194245,1,1
2019,06,28000,race-ethnicity,Hispanic,357,357,357,0.0246802627,1,1
2019,06,28000,race-ethnicity,Other Races and Ethnicities,49,49,49,0.0065490511,1,1
2019,06,28000,race-ethnicity,"White, Non-Hispanic",55,55,55,0.0133559981,1,1
2019,06,29000,all,All,966,966,966,0.0233203776,1,1
2019,06,29000,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,29000,race-ethnicity,Hispanic,632,632,632,0.0285688455,1,1
2019,06,29000,race-ethnicity,Other Races and Ethnicities,277,277,277,0.01717936,1,1
2019,06,29000,race-ethnicity,"White, Non-Hispanic",49,49,49,0.0166214383,1,1
2019,06,30000,all,All,1874,1874,1874,0.0734095895,1,1
2019,06,30000,race-ethnicity,"Black, Non-Hispanic",31,31,31,0.1050847458,1,1
2019,06,30000,race-ethnicity,Hispanic,670,670,670,0.1292687633,1,1
2019,06,30000,race-ethnicity,Other Races and Ethnicities,217,217,217,0.0432012741,1,1
2019,06,30000,race-ethnicity,"White, Non-Hispanic",953,953,953,0.0634191788,1,1
2019,06,32548,all,All,41,40,42,0.0048122066,1,1
2019,06,32548,race-ethnicity,"Black, Non-Hispanic",,,,,,
2019,06,32548,race-ethnicity,Hispanic,,,,,,
2019,06,32548,race-ethnicity,Other Races and Ethnicities,,,,,,
2019,06,32548,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,33000,all,All,787,786,788,0.038654224,1,1
2019,06,33000,race-ethnicity,"Black, Non-Hispanic",140,139,141,0.0766283525,1,1
2019,06,33000,race-ethnicity,Hispanic,515,515,515,0.0391367125,1,1
2019,06,33000,race-ethnicity,Other Races and Ethnicities,107,105,109,0.0234186912,1,1
2019,06,33000,race-ethnicity,"White, Non-Hispanic",27,27,27,0.0335403727,1,1
2019,06,33182,all,All,947,947,947,0.0417622156,1,1
2019,06,33182,race-ethnicity,"Black, Non-Hispanic",205,204,206,0.1023976024,1,1
2019,06,33182,race-ethnicity,Hispanic,534,534,534,0.038539261,1,1
2019,06,33182,race-ethnicity,Other Races and Ethnicities,67,66,68,0.0409535452,1,1
2019,06,33182,race-ethnicity,"White, Non-Hispanic",142,141,143,0.0274025473,1,1
2019,06,33434,all,All,2084,2084,2084,0.083728405,1,1
2019,06,33434,race-ethnicity,"Black, Non-Hispanic",238,237,239,0.1216768916,1,1
2019,06,33434,race-ethnicity,Hispanic,1448,1448,1448,0.0843773673,1,1
2019,06,33434,race-ethnicity,Other Races and Ethnicities,69,65,73,0.0792192882,3,3
2019,06,33434,race-ethnicity,"White, Non-Hispanic",323,320,326,0.0658914729,1,1
2019,06,36000,all,All,1135,1135,1135,0.0376613465,1,1
2019,06,36000,race-ethnicity,"Black, Non-Hispanic",8,7,9,0.0303030303,3,3
2019,06,36000,race-ethnicity,Hispanic,778,777,779,0.0878996724,1,1
2019,06,36000,race-ethnicity,Other Races and Ethnicities,158,158,158,0.0176793107,1,1
2019,06,36000,race-ethnicity,"White, Non-Hispanic",183,182,184,0.0151439921,1,1
2019,06,36448,all,All,,,,,,
