year,state,county,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,36,039,tenure,All,0.9477090322409882,1.1918589455382254,1.4513029656741976,2,2,2,0.33629567421343853,0.4294191381545977,0.9023697314103188,2,2,2
2024,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,36,041,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,36,043,tenure,All,1.6730142053141788,1.8163491939096168,1.644941982582715,2,2,2,0.6734388342536268,0.8197515639938353,0.9075051550791583,2,2,2
2023,36,043,tenure,All,1.906952000281475,2.0678664748987865,1.7763926637574068,2,2,2,0.6603116963352927,0.858938267232184,0.9931129396733591,2,2,2
2022,36,043,tenure,All,1.8848992774474018,2.2326715019232166,1.803921568149876,2,2,2,0.8098252093861765,1.0002831123399516,1.1143478442028072,2,2,2
2021,36,043,tenure,All,2.0957628767404395,2.1306235473099617,1.9218224738206031,2,2,2,0.7544216135159726,1.0520845163645087,1.1960987281416142,2,2,2
2019,36,043,tenure,All,2.20113463907954,2.5708780475485185,2.3062314125100767,2,2,2,0.9493614385954424,1.1910108361901097,1.2695547069171087,2,2,2
2018,36,043,tenure,All,2.0553238028831764,2.5043807564952862,2.1961456921749583,2,2,2,0.7047759552875739,1.0051536029966426,1.185946325607749,2,2,2
2017,36,043,tenure,All,1.9884434544024048,2.2018266318539665,1.8829008892190287,2,2,2,0.7333984875036096,1.0382031724784904,1.1094316724056972,2,2,2
2016,36,043,tenure,All,1.8211140122584963,2.0601116171188796,2.100400126296818,2,2,2,0.7204566063893705,0.9323020763384046,1.1356842395050926,2,2,2
2015,36,043,tenure,All,2.0709453231142745,2.2102403510522213,1.8770568612901333,2,2,2,0.9084161850625135,1.0122248842563193,1.1222507929373609,2,2,2
2014,36,043,tenure,All,1.4969608082231305,1.556664034690163,1.6792416742666048,2,2,2,0.6158317233978111,0.7044012456159507,0.9800507227587572,2,2,2
2024,36,045,tenure,All,1.4400246646420964,1.3930718475209114,1.4860747789334796,1,1,1,0.5076065020232997,0.5625457049851129,0.850083435500817,1,1,1
2023,36,045,tenure,All,1.4209533143569144,1.4180270057078557,1.40080724099096,1,1,1,0.5275815564318436,0.6168662962648878,0.871704289490793,1,1,1
2022,36,045,tenure,All,1.248565488822021,1.3436047664278186,1.5806708498288855,1,1,1,0.5171391262398785,0.6554479353849711,0.9517572484601953,1,1,1
2021,36,045,tenure,All,1.544580336803051,1.674517539778216,1.6509381382720105,1,1,1,0.5113507413809049,0.6267586968740179,0.8838340391861967,1,1,1
2019,36,045,tenure,All,1.4985833307378802,1.539810743825497,1.5429187906146669,1,1,1,0.5610946881792758,0.6897207463968524,0.9607043948409482,1,1,1
2018,36,045,tenure,All,1.55710910127367,1.49833087351811,1.6774213646021676,1,1,1,0.5868166388693882,0.7253174737050803,1.006239146532177,1,1,1
2017,36,045,tenure,All,1.4164992663757818,1.569971579802111,1.5522264834535962,1,1,1,0.6182351726705473,0.8020599944362566,0.9696379750380418,1,1,1
2016,36,045,tenure,All,1.4145768511930126,1.5156077085997064,1.4892761493047948,1,1,1,0.6732775472486975,0.7903432588305512,0.986391187169922,1,1,1
2015,36,045,tenure,All,1.3597399485411998,1.4659523334611284,1.5188965986237188,1,1,1,0.5092077060849668,0.6810258628728919,0.9077639526821731,1,1,1
