year,state,county,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,13,075,13170.261,3,37207.65893505006,3,80845.1406,3
2018,13,077,30392.909999999996,1,68991.9057,1,126637.125,1
2018,13,079,16412.1714,3,45791.9844,3,94369.98555,3
2018,13,081,15196.454999999998,3,39510.783,3,92597.0658,3
2018,13,083,20768.4885,3,47923.499964120005,3,95274.85137129614,3
2018,13,085,21680.2758,3,51667.947,3,96750.7635,3
2018,13,087,15804.3132,3,37889.8278,3,81047.76,3
2018,13,089,27657.5481,1,62710.7043,1,131702.61,1
2018,13,091,13170.261,3,36876.7308,3,80034.663,3
2018,13,093,15196.455000000002,3,39510.783,3,92597.06580000001,3
2018,13,095,14183.358,1,43563.171,1,89152.536,1
2018,13,097,23503.8504,1,60785.82,1,117671.21655000001,1
2018,13,099,15804.3132,3,37889.8278,3,81047.76,3
2018,13,101,NA,3,NA,3,NA,3
2018,13,103,20261.94,2,47919.4881,2,100499.2224,2
2018,13,105,25530.0444,3,64635.5886,3,125624.02800000002,3
2018,13,107,13170.261,3,36876.7308,3,80034.663,3
2018,13,109,15196.455,3,42347.4546,3,87126.342,3
2018,13,111,19147.5333,3,45589.365,3,94218.021,3
2018,13,113,40523.88,1,94319.3307,1,195021.1725,1
2018,13,115,18944.9139,2,45589.365,2,91178.73,2
2018,13,117,48952.84704,1,102221.4873,1,194312.0046,1
2018,13,119,23301.231,3,50654.85,3,99080.8866,3
2018,13,121,28366.716,1,70916.79,1,162095.52,1
2018,13,123,19147.5333,3,45589.365,3,94218.021,3
2018,13,125,NA,3,NA,3,NA,3
2018,13,127,20768.4885,2,53896.7604,2,109921.0245,2
2018,13,129,19147.5333,3,45589.365,3,94218.021,3
2018,13,131,15804.3132,3,37889.8278,3,81047.76,3
2018,13,133,25530.0444,3,64635.5886,3,125624.028,3
2018,13,135,32419.104,1,70916.79,1,130689.513,1
2018,13,137,23301.231,3,50654.85,3,99080.8866,3
2018,13,139,27556.2384,1,60177.9618,1,120355.92360000001,1
2018,13,141,16310.8617,3,40523.88,3,88645.9875,3
2018,13,143,18944.9139,3,45589.365,3,91178.73,3
2018,13,145,15196.455,3,39510.783,3,92597.0658,3
2018,13,147,23301.231,3,50654.85,3,99080.8866,3
2018,13,149,15196.454999999998,3,40929.1188,3,91178.73,3
2018,13,151,36370.1823,1,75982.275,1,132513.0876,1
2018,13,153,26766.02274,1,59570.1036,1,120153.3042,1
