year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,06,02364,race-ethnicity,Hispanic,22288.134,3,51240.887740000006,3,96244.215,3
2018,06,02364,race-ethnicity,Other Races and Ethnicities,20717.240232,3,55720.335,3,102962.297547,3
2018,06,02364,race-ethnicity,"White, Non-Hispanic",25409.354184,3,56934.767528,3,110834.40391199998,3
2018,06,02364,all,All,21254.77506,3,60076.6521,3,102322.797,3
2018,06,03526,race-ethnicity,"Black, Non-Hispanic",13706.219564,2,37290.627942,2,85653.60265,2
2018,06,03526,race-ethnicity,Hispanic,21752.697768000002,2,46707.749328,2,93225.558666,2
2018,06,03526,race-ethnicity,Other Races and Ethnicities,34861.75215649529,2,79443.7215,2,140933.915584,2
2018,06,03526,race-ethnicity,"White, Non-Hispanic",28589.346597,2,71727.2676,2,134956.33672,2
2018,06,03526,all,All,24314.328,2,55720.33499999999,2,118431.0393,2
2018,06,04982,race-ethnicity,"Black, Non-Hispanic",15920.897988,3,47216.47535,3,87227.6517,3
2018,06,04982,race-ethnicity,Hispanic,26724.714081,3,53491.5216,3,96767.743932,3
2018,06,04982,race-ethnicity,Other Races and Ethnicities,26174.312141113616,3,58540.12467928,3,114345.33043445609,3
2018,06,04982,race-ethnicity,"White, Non-Hispanic",20198.500275,3,58156.416912,3,111440.67,3
2018,06,04982,all,All,26745.7608,3,60785.82,3,102120.1776,3
2018,06,06000,race-ethnicity,"Black, Non-Hispanic",12157.164,1,38735.900368,1,86772.470972,1
2018,06,06000,race-ethnicity,Hispanic,21578.9661,1,64120.94656,1,147088.563129,1
2018,06,06000,race-ethnicity,Other Races and Ethnicities,16060.17655,1,59043.649212,1,169744.40235,1
2018,06,06000,race-ethnicity,"White, Non-Hispanic",40118.6412,1,107067.507525,1,222881.34,1
2018,06,06000,all,All,26340.521999999997,1,85404.0771,1,202619.4,1
2018,06,08786,race-ethnicity,"Black, Non-Hispanic",32419.104,3,78724.097217,3,125268.57035,3
2018,06,08786,race-ethnicity,Hispanic,31000.7682,3,63186.167042999994,3,126289.42832,3
2018,06,08786,race-ethnicity,Other Races and Ethnicities,32723.0331,3,83902.396086,3,151917.7585784184,3
2018,06,08786,race-ethnicity,"White, Non-Hispanic",33983.61781248,3,86456.08834,3,165216.219536,3
2018,06,08786,all,All,33634.8204,3,83073.954,3,157941.8223,3
2018,06,08954,race-ethnicity,"Black, Non-Hispanic",31630.202496,1,52426.18304,1,119121.097767,1
2018,06,08954,race-ethnicity,Hispanic,28654.173152,1,61234.302448,1,112420.227425,1
2018,06,08954,race-ethnicity,Other Races and Ethnicities,36254.159217,1,85972.532096,1,155579.404112,1
2018,06,08954,race-ethnicity,"White, Non-Hispanic",25327.425,1,75615.702231,1,160355.433392,1
2018,06,08954,all,All,26340.521999999997,1,75678.3459,1,151964.55,1
2018,06,11194,race-ethnicity,"Black, Non-Hispanic",0,1,85653.60264999999,1,145595.35052548512,1
2018,06,11194,race-ethnicity,Hispanic,36901.902912,1,78158.98805,1,169749.357948,1
2018,06,11194,race-ethnicity,Other Races and Ethnicities,52190.035636,1,124300.407825,1,211980.35478039982,1
2018,06,11194,race-ethnicity,"White, Non-Hispanic",46391.366696,1,105169.766768,1,204059.962578,1
2018,06,11194,all,All,41739.5964,1,101309.7,1,199225.52505,1
2018,06,11530,race-ethnicity,"Black, Non-Hispanic",29100.149028,3,79229.9354,3,152267.873187,3
2018,06,11530,race-ethnicity,Hispanic,32262.96776,3,66811.279608,3,114978.256434,3
2018,06,11530,race-ethnicity,Other Races and Ethnicities,43521.942288,3,94005.3785,3,159187.959568,3
2018,06,11530,race-ethnicity,"White, Non-Hispanic",30392.91,3,60785.81999999999,3,121754.1328491166,3
2018,06,11530,all,All,36471.492,3,87126.342,3,155409.0798,3
2018,06,13014,race-ethnicity,"Black, Non-Hispanic",15196.454999999998,3,30195.29037508861,3,55521.354423,3
2018,06,13014,race-ethnicity,Hispanic,18977.91998,3,42291.32765,3,88933.269744,3
2018,06,13014,race-ethnicity,Other Races and Ethnicities,15815.101248,3,43255.38195,3,101309.7,3
2018,06,13014,race-ethnicity,"White, Non-Hispanic",18253.04272,3,54899.473188,3,121038.523676,3
2018,06,13014,all,All,20261.94,3,54707.238,3,120558.543,3
2018,06,13210,race-ethnicity,"Black, Non-Hispanic",30775.851568,3,64240.7062,3,147547.8358931862,3
2018,06,13210,race-ethnicity,Hispanic,37037.756624,3,76009.2775390542,3,137065.218404,3
2018,06,13210,race-ethnicity,Other Races and Ethnicities,34445.298,3,93629.24261070853,3,175021.058364,3
2018,06,13210,race-ethnicity,"White, Non-Hispanic",43968.4098,3,100904.46120000002,3,172772.108256,3
2018,06,13210,all,All,40523.88,3,91178.73,3,159056.229,3
2018,06,13214,race-ethnicity,"Black, Non-Hispanic",36471.492,3,66293.55084,3,148013.4717,3
2018,06,13214,race-ethnicity,Hispanic,38041.79235,3,78320.872608,3,141806.111793,3
2018,06,13214,race-ethnicity,Other Races and Ethnicities,34819.14611808192,3,95512.575488,3,176591.930416,3
2018,06,13214,race-ethnicity,"White, Non-Hispanic",46038.63495,3,102499.49899677931,3,173449.1,3
2018,06,13214,all,All,40523.88,3,91178.73,3,164121.714,3
2018,06,13392,race-ethnicity,"Black, Non-Hispanic",24314.328,1,70716.78774660752,1,135415.94968,1
2018,06,13392,race-ethnicity,Hispanic,25792.397823,1,61552.7044,1,118500.227721,1
2018,06,13392,race-ethnicity,Other Races and Ethnicities,39325.549725,1,95718.692575,1,156000.819688,1
2018,06,13392,race-ethnicity,"White, Non-Hispanic",35011.407936,1,84938.864811,1,150196.958115,1
2018,06,13392,all,All,31406.007,1,86113.245,1,143211.39192,1
2018,06,13588,race-ethnicity,"Black, Non-Hispanic",25130.725136,3,47130.508101,3,111440.67,3
2018,06,13588,race-ethnicity,Hispanic,26358.50208,3,51258.709216,3,91221.117075,3
2018,06,13588,race-ethnicity,Other Races and Ethnicities,26358.50208,3,62150.709507,3,107120.95405,3
2018,06,13588,race-ethnicity,"White, Non-Hispanic",27805.10128,3,60177.9618,3,111440.67,3
2018,06,13588,all,All,24010.3989,3,63521.1819,3,116607.4647,3
2018,06,14218,race-ethnicity,"Black, Non-Hispanic",22141.7463,3,74057.3907,3,139047.56325,3
2018,06,14218,race-ethnicity,Hispanic,27353.619,3,60078.783246,3,111537.805808,3
2018,06,14218,race-ethnicity,Other Races and Ethnicities,35847.965864,3,76995.372,3,153881.260368,3
2018,06,14218,race-ethnicity,"White, Non-Hispanic",32723.0331,3,75374.4168,3,143268.863232,3
2018,06,14218,all,All,31608.6264,3,73956.081,3,139047.56325,3
2018,06,15044,race-ethnicity,"Black, Non-Hispanic",15815.101248,3,48180.52965,3,99786.679025,3
2018,06,15044,race-ethnicity,Hispanic,24860.081565,3,50609.130064,3,87838.954863,3
2018,06,15044,race-ethnicity,Other Races and Ethnicities,18571.444672,3,47323.3684,3,83202.034608,3
2018,06,15044,race-ethnicity,"White, Non-Hispanic",30351.315632,3,52717.00416,3,101427.838432,3
2018,06,15044,all,All,18235.746,3,49641.753,3,91482.6591,3
2018,06,16000,race-ethnicity,"Black, Non-Hispanic",17131.1239,3,63808.048278,3,144872.871,3
2018,06,16000,race-ethnicity,Hispanic,35215.2006,3,70557.4804,3,129479.717883,3
2018,06,16000,race-ethnicity,Other Races and Ethnicities,42826.80132500001,3,100600.478,3,169877.729622,3
2018,06,16000,race-ethnicity,"White, Non-Hispanic",44282.485012,3,99108.370856,3,193261.423928,3
2018,06,16000,all,All,41536.977,3,101816.2485,3,187726.8741,3
2018,06,16350,race-ethnicity,"Black, Non-Hispanic",25470.153632,2,77471.800736,2,134905.07965,2
2018,06,16350,race-ethnicity,Hispanic,27623.786025,2,61152.530896,2,119742.979002,2
2018,06,16350,race-ethnicity,Other Races and Ethnicities,42553.144600713786,2,94499.656806,2,158483.65197,2
2018,06,16350,race-ethnicity,"White, Non-Hispanic",40523.88,2,93576.797875,2,160600.757075,2
2018,06,16350,all,All,38497.686,2,90570.8718,2,170200.296,2
2018,06,16532,race-ethnicity,"Black, Non-Hispanic",59042.314521,2,70916.79,2,117032.35378800001,2
2018,06,16532,race-ethnicity,Hispanic,30835.61965,2,68523.487175,2,121736.057575,2
2018,06,16532,race-ethnicity,Other Races and Ethnicities,33335.023449772205,2,92720.64505,2,177108.7807,2
2018,06,16532,race-ethnicity,"White, Non-Hispanic",36403.134075,2,87235.126,2,167161.005,2
2018,06,16532,all,All,35458.395,2,84087.051,2,168174.102,2
2018,06,17918,race-ethnicity,"Black, Non-Hispanic",29627.117552,2,83626.570544,2,159519.109506,2
2018,06,17918,race-ethnicity,Hispanic,34689.82,2,77516.621325,2,147608.619236,2
2018,06,17918,race-ethnicity,Other Races and Ethnicities,52248.5161,2,107186.312464,2,185414.648607,2
2018,06,17918,race-ethnicity,"White, Non-Hispanic",39614.9677,2,98370.81644,2,188866.909825,2
2018,06,17918,all,All,42550.074,2,93204.924,2,185396.751,2
2018,06,19766,race-ethnicity,"Black, Non-Hispanic",19451.4624,1,52717.00416,1,68532.105408,1
2018,06,19766,race-ethnicity,Hispanic,38008.546675,1,70916.79,1,121571.64,1
2018,06,19766,race-ethnicity,Other Races and Ethnicities,36691.31702,1,81397.75688,1,146452.882752,1
2018,06,19766,race-ethnicity,"White, Non-Hispanic",25304.565032,1,72656.012825,1,130622.298675,1
2018,06,19766,all,All,37991.1375,1,73044.2937,1,128865.9384,1
2018,06,21712,race-ethnicity,"Black, Non-Hispanic",20556.743625,3,46715.920611,3,92782.733392,3
2018,06,21712,race-ethnicity,Hispanic,31426.26894,3,60785.82,3,111962.341744,3
2018,06,21712,race-ethnicity,Other Races and Ethnicities,34918.31959538696,3,72081.85155,3,122315.13767200001,3
2018,06,21712,race-ethnicity,"White, Non-Hispanic",26722.861353767217,3,64776.179875,3,129676.416,3
2018,06,21712,all,All,27353.619,3,60785.82,3,129676.416,3
2018,06,22020,race-ethnicity,"Black, Non-Hispanic",36263.971425,1,82777.498672,1,131793.517988,1
2018,06,22020,race-ethnicity,Hispanic,33106.318916,1,84938.864811,1,140148.773022,1
2018,06,22020,race-ethnicity,Other Races and Ethnicities,33949.670072,1,90118.17486900001,1,161279.589555,1
2018,06,22020,race-ethnicity,"White, Non-Hispanic",43683.962575,1,92219.77040865898,1,160554.567042,1
2018,06,22020,all,All,39510.783,1,89557.7748,1,159056.229,1
2018,06,22230,race-ethnicity,"Black, Non-Hispanic",20460.947566933195,1,41942.2158,1,194648.21035,1
