year,state,county,pctl_20,pctl_50,pctl_80
2018,13,093,15196.45,39510.78,92597.07
2018,13,095,14183.36,43563.17,89152.54
2018,13,097,23503.85,60785.82,117671.2
2018,13,099,15804.31,37889.83,81047.76
2018,13,101,15196.45,37484.59,76995.37
2018,13,103,20261.94,47919.49,100499.2
2018,13,105,25530.04,64635.59,125624.0
2018,13,107,13170.26,36876.73,80034.66
2018,13,109,15196.45,42347.45,87126.34
2018,13,111,19147.53,45589.36,94218.02
2018,13,113,40523.88,94319.33,195021.2
2018,13,115,18944.91,45589.36,91178.73
2018,13,117,48952.85,102221.5,194312.0
2018,13,119,23301.23,50654.85,99080.89
2018,13,121,28366.72,70916.79,162095.5
2018,13,123,19147.53,45589.36,94218.02
2018,13,125,16310.86,40523.88,88645.99
2018,13,127,20768.49,53896.76,109921.0
2018,13,129,19147.53,45589.36,94218.02
2018,13,131,15804.31,37889.83,81047.76
2018,13,133,25530.04,64635.59,125624.0
2018,13,135,32419.10,70916.79,130689.5
2018,13,137,23301.23,50654.85,99080.89
2018,13,139,27556.24,60177.96,120355.9
2018,13,141,16310.86,40523.88,88645.99
2018,13,143,18944.91,45589.36,91178.73
2018,13,145,15196.45,39510.78,92597.07
2018,13,147,23301.23,50654.85,99080.89
2018,13,149,15196.45,40929.12,91178.73
2018,13,151,36370.18,75982.27,132513.1
2018,13,153,26766.02,59570.10,120153.3
2018,13,155,13170.26,37180.66,80845.14
2018,13,157,29582.43,66864.40,117114.0
2018,13,159,25327.42,60785.82,108604.0
2018,13,161,15196.45,42347.45,87126.34
2018,13,163,16310.86,40523.88,88645.99
2018,13,165,16310.86,40523.88,88645.99
2018,13,167,13170.26,36876.73,80034.66
2018,13,169,16412.17,45791.98,94369.99
2018,13,171,21072.42,45589.36,92232.35
2018,13,173,15196.45,37484.59,76995.37
2018,13,175,13170.26,36876.73,80034.66
2018,13,177,14183.36,43563.17,89152.54
2018,13,179,22389.44,53694.14,99283.51
2018,13,181,16310.86,40523.88,88645.99
2018,13,183,22389.44,53694.14,99283.51
2018,13,185,9117.873,35458.39,85201.46
2018,13,187,21680.28,51667.95,96750.76
2018,13,189,16310.86,40523.88,88645.99
2018,13,191,20768.49,53896.76,109921.0
2018,13,193,15196.45,39510.78,92597.07
2018,13,195,25530.04,64635.59,125624.0
2018,13,197,15196.45,39510.78,92597.07
2018,13,199,15196.45,40929.12,91178.73
2018,13,201,15804.31,37889.83,81047.76
2018,13,205,15804.31,37889.83,81047.76
2018,13,207,16412.17,45791.98,94369.99
2018,13,209,15196.45,42347.45,87126.34
2018,13,211,25327.42,60785.82,108604.0
2018,13,213,19147.53,45589.36,94218.02
2018,13,215,19248.84,47818.18,91583.97
2018,13,217,29075.88,60076.65,111440.7
2018,13,219,25530.04,64635.59,125624.0
2018,13,221,25530.04,64635.59,125624.0
2018,13,223,35458.39,73956.08,127650.2
2018,13,225,16412.17,45791.98,94369.99
2018,13,227,19147.53,45589.36,94218.02
2018,13,229,15196.45,37484.59,76995.37
2018,13,231,21072.42,45589.36,92232.35
2018,13,233,18944.91,45589.36,91178.73
2018,13,235,26766.02,59570.10,120153.3
2018,13,237,16412.17,45791.98,94369.99
2018,13,239,15196.45,39510.78,92597.07
2018,13,241,21680.28,51667.95,96750.76
2018,13,243,15196.45,39510.78,92597.07
2018,13,245,15601.69,38497.69,81351.69
2018,13,247,29075.88,60076.65,111440.7
2018,13,249,15196.45,39510.78,92597.07
2018,13,251,20261.94,47919.49,100499.2
2018,13,253,15804.31,37889.83,81047.76
2018,13,255,21072.42,45589.36,92232.35
2018,13,257,23301.23,50654.85,99080.89
2018,13,259,15196.45,39510.78,92597.07
2018,13,261,15196.45,39510.78,92597.07
2018,13,263,15196.45,39510.78,92597.07
2018,13,265,16310.86,40523.88,88645.99
2018,13,267,15196.45,42347.45,87126.34
2018,13,269,15196.45,39510.78,92597.07
2018,13,271,15196.45,42347.45,87126.34
2018,13,273,15804.31,37889.83,81047.76
2018,13,275,18438.37,40523.88,88139.44
2018,13,277,13170.26,37180.66,80845.14
2018,13,279,15196.45,42347.45,87126.34
2018,13,281,21680.28,51667.95,96750.76
2018,13,283,13170.26,36876.73,80034.66
2018,13,285,15196.45,40929.12,91178.73
2018,13,287,13170.26,37180.66,80845.14
2018,13,289,16412.17,45791.98,94369.99
2018,13,291,21680.28,51667.95,96750.76
2018,13,293,21072.42,45589.36,92232.35
2018,13,295,20565.87,47615.56,95231.12
2018,13,297,25327.42,60785.82,108604.0
2018,13,299,15196.45,37484.59,76995.37
2018,13,301,16310.86,40523.88,88645.99
2018,13,303,16310.86,40523.88,88645.99
2018,13,305,15196.45,42347.45,87126.34
2018,13,307,15196.45,39510.78,92597.07
2018,13,309,15196.45,42347.45,87126.34
2018,13,311,21680.28,51667.95,96750.76
2018,13,313,22389.44,45994.60,91178.73
2018,13,315,13170.26,36876.73,80034.66
2018,13,317,16310.86,40523.88,88645.99
2018,13,319,16412.17,45791.98,94369.99
2018,13,321,18438.37,40523.88,88139.44
2018,15,001,21882.90,57239.98,128562.0
2018,15,003,36471.49,83276.57,154497.3
2018,15,005,,,
2018,15,007,32925.65,83073.95,151964.5
2018,15,009,32925.65,83073.95,151964.5
2018,16,001,25327.42,63825.11,115493.1
2018,16,003,21163.60,50350.92,88544.68
