year,state_name,county_name,total_people,total_nonhisp,asian_other,black_nonhispanic,total_hispanic,white_nonhispanic,total_people_quality,total_nonhisp_quality,asian_other_quality,black_nonhispanic_quality,total_hispanic_quality,white_nonhispanic_quality
2020,Mississippi,George County,24260,23535,0.02267106347897774,0.07959604286892004,0.029884583676834296,0.867848309975268,1,1,1,1,1,1
2020,Mississippi,Greene County,13653,13420,0.016186918625943018,0.2504943968358603,0.017065846334139018,0.7162528382040577,1,1,1,1,1,1
2020,Mississippi,Grenada County,21621,21493,0.020859349706304056,0.44424402201563296,0.005920170204893391,0.5289764580731696,1,1,1,1,1,1
2020,Mississippi,Hancock County,45911,44120,0.04711289233517022,0.07037529132451918,0.039010258979329575,0.843501557360981,1,1,1,1,1,1
2020,Mississippi,Harrison County,207382,195857,0.06671263658369579,0.24979988620034527,0.0555737720727932,0.6279137051431658,1,1,1,1,1,1
2020,Mississippi,Hinds County,230772,227221,0.01848577817066195,0.7277312672247933,0.015387482016882463,0.23839547258766228,1,1,1,1,1,1
2020,Mississippi,Holmes County,17243,17183,0.003943629298845909,0.8421968334976512,0.00347967291074639,0.1503798642927565,1,1,1,1,1,1
2020,Mississippi,Humphreys County,7916,7843,0.011116725618999495,0.7784234461849419,0.009221829206670036,0.20123799898938857,1,1,1,1,1,1
2020,Mississippi,Issaquena County,1111,1079,0.011701170117011701,0.6372637263726373,0.0288028802880288,0.32223222322232226,1,1,1,1,1,1
2020,Mississippi,Itawamba County,23863,23443,0.016929975275531157,0.06973138331307882,0.01760046934584922,0.8957381720655408,1,1,1,1,1,1
2020,Mississippi,Jackson County,142993,133079,0.05335226199883911,0.20625485163609408,0.0693320652059891,0.6710608211590777,1,1,1,1,1,1
2020,Mississippi,Jasper County,16406,16257,0.014750700963062295,0.5332805071315373,0.009082043154943313,0.44288674875045714,1,1,1,1,1,1
2020,Mississippi,Jefferson County,7286,6894,0.013862201482294813,0.8034586878945924,0.05380181169365907,0.12887729892945374,1,1,1,1,1,1
2020,Mississippi,Jefferson Davis County,11372,11361,0.00923320436158987,0.615722827998593,9.672880759760816e-4,0.374076679563841,1,1,1,1,1,1
2020,Mississippi,Jones County,67374,64229,0.017202481669486746,0.293228841986523,0.04667972808501796,0.6428889482589724,1,1,1,1,1,1
2020,Mississippi,Kemper County,9211,9175,0.04082075778959939,0.6206709369232439,0.003908370426663772,0.3345999348604929,1,1,1,1,1,1
2020,Mississippi,Lafayette County,55727,54261,0.04464622175964972,0.23340570997900478,0.026306817162237334,0.6956412510991081,1,1,1,1,1,1
2020,Mississippi,Lamar County,63610,61729,0.03394120421317403,0.20587957868259707,0.029570822197767646,0.7306083949064612,1,1,1,1,1,1
2020,Mississippi,Lauderdale County,73756,72013,0.02510982157383806,0.4359374152611313,0.023631975703671565,0.5153207874613591,1,1,1,1,1,1
2020,Mississippi,Lawrence County,12055,11960,0.022397345499792616,0.3262546661136458,0.007880547490667772,0.6434674408958938,1,1,1,1,1,1
2020,Mississippi,Leake County,21452,20410,0.07011001305239604,0.41800298340481074,0.04857355957486482,0.4633134439679284,1,1,1,1,1,1
2020,Mississippi,Lee County,83388,80962,0.0342135559073248,0.29708111478869864,0.02909291504772869,0.6396124142562479,1,1,1,1,1,1
2020,Mississippi,Leflore County,28555,27748,0.012537208895114692,0.7471195937664157,0.028261250218875853,0.21208194711959377,1,1,1,1,1,1
2020,Mississippi,Lincoln County,34910,34447,0.012918934402749929,0.30549985677456315,0.013262675451160126,0.6683185333715268,1,1,1,1,1,1
2020,Mississippi,Lowndes County,58904,57663,0.02930191498030694,0.4420582642944452,0.021068178731495316,0.5075716419937526,1,1,1,1,1,1
2020,Mississippi,Madison County,108248,104907,0.04163587318010494,0.377771413790555,0.030864311580814426,0.5497284014485256,1,1,1,1,1,1
2020,Mississippi,Marion County,24609,24191,0.019626965744239912,0.3249624121256451,0.01698565565443537,0.6384249664756796,1,1,1,1,1,1
2020,Mississippi,Marshall County,34031,32650,0.021245335135611648,0.46387117628045016,0.040580647057095,0.47430284152684316,1,1,1,1,1,1
2020,Mississippi,Monroe County,34448,33973,0.013905016256386437,0.30332675336739434,0.013788899210404087,0.6689793311658151,1,1,1,1,1,1
2020,Mississippi,Montgomery County,9948,9848,0.0305589063128267,0.438681141938078,0.010052271813429835,0.5207076799356655,1,1,1,1,1,1
2020,Mississippi,Neshoba County,29153,29077,0.1926731382705039,0.22625458786402772,0.0026069358213562928,0.578465338044112,1,1,1,1,1,1
2020,Mississippi,Newton County,21385,20943,0.07374327799859715,0.3093757306523264,0.02066869300911854,0.5962122983399579,1,1,1,1,1,1
2020,Mississippi,Noxubee County,10410,10387,0.011719500480307397,0.7302593659942364,0.0022094140249759846,0.2558117195004803,1,1,1,1,1,1
2020,Mississippi,Oktibbeha County,51339,50427,0.05987650713882234,0.36370011102670485,0.01776427277508327,0.5586591090593895,1,1,1,1,1,1
2020,Mississippi,Panola County,33300,32643,0.027177177177177176,0.4866966966966967,0.01972972972972973,0.4663963963963964,1,1,1,1,1,1
2020,Mississippi,Pearl River County,55972,54099,0.030497391552919317,0.12759951404273565,0.03346316015150432,0.8084399342528407,1,1,1,1,1,1
2020,Mississippi,Perry County,11611,10956,0.030229954353630177,0.1380587374041857,0.05641202308156059,0.7752992851606235,1,1,1,1,1,1
2020,Mississippi,Pike County,40262,39610,0.01798221648204262,0.5395906810391933,0.016193929760071533,0.42623317271869254,1,1,1,1,1,1
2020,Mississippi,Pontotoc County,31136,28861,0.023798818088386433,0.14703237410071943,0.07306654676258993,0.7561022610483042,1,1,1,1,1,1
2020,Mississippi,Prentiss County,25022,24649,0.05742946207337543,0.11425945168251939,0.014906881943889377,0.8134042043002158,1,1,1,1,1,1
2020,Mississippi,Quitman County,6327,6297,0.015963331752805437,0.7281492018334124,0.00474158368895211,0.25114588272483007,1,1,1,1,1,1
2020,Mississippi,Rankin County,156052,151788,0.03025914438776818,0.21476815420500858,0.02732422525824725,0.727648476148976,1,1,1,1,1,1
2020,Mississippi,Scott County,28062,24811,0.033532891454636164,0.36169909486137836,0.1158506164920533,0.48891739719193217,1,1,1,1,1,1
2020,Mississippi,Sharkey County,4160,4141,0.0026442307692307694,0.7240384615384615,0.0045673076923076926,0.26875,1,1,1,1,1,1
2020,Mississippi,Simpson County,26064,25947,0.016958256599140575,0.3670963781461019,0.004488950276243094,0.6114564149785144,1,1,1,1,1,1
2020,Mississippi,Smith County,14483,14359,0.016087827107643445,0.23924601256645722,0.00856176206587033,0.736104398260029,1,1,1,1,1,1
