year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,113,race-ethnicity,Hispanic,0.25336927223719674,3
2014,01,113,race-ethnicity,Other Races and Ethnicities,0.08902691511387163,2
2014,01,113,race-ethnicity,"White, Non-Hispanic",0.07481195364911568,1
2014,01,115,all,All,0,1
2014,01,115,race-ethnicity,Black,0,2
2014,01,115,race-ethnicity,Hispanic,0,2
2014,01,115,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,115,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,117,all,All,0,1
2014,01,117,race-ethnicity,Black,0,1
2014,01,117,race-ethnicity,Hispanic,0,1
2014,01,117,race-ethnicity,Other Races and Ethnicities,0,1
2014,01,117,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,119,all,All,0.6206896551724138,1
2014,01,119,race-ethnicity,Black,0.5903942002718623,1
2014,01,119,race-ethnicity,Hispanic,NA,NA
2014,01,119,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,119,race-ethnicity,"White, Non-Hispanic",0.9176954732510288,2
2014,01,121,all,All,0.201829836191311,1
2014,01,121,race-ethnicity,Black,0.30356100408639813,1
2014,01,121,race-ethnicity,Hispanic,0.374031007751938,2
2014,01,121,race-ethnicity,Other Races and Ethnicities,0.20454545454545456,2
2014,01,121,race-ethnicity,"White, Non-Hispanic",0.09944042900442994,1
2014,01,123,all,All,0,1
2014,01,123,race-ethnicity,Black,0,1
2014,01,123,race-ethnicity,Hispanic,0,3
2014,01,123,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,123,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,125,all,All,0.14541161565262462,1
2014,01,125,race-ethnicity,Black,0.139793671032804,1
2014,01,125,race-ethnicity,Hispanic,0.07034327518289252,2
2014,01,125,race-ethnicity,Other Races and Ethnicities,0.19953051643192488,2
2014,01,125,race-ethnicity,"White, Non-Hispanic",0.15207435344827586,1
2014,01,127,all,All,0,1
2014,01,127,race-ethnicity,Black,0,1
2014,01,127,race-ethnicity,Hispanic,0,2
2014,01,127,race-ethnicity,Other Races and Ethnicities,0,1
2014,01,127,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,129,all,All,0,1
2014,01,129,race-ethnicity,Black,0,1
2014,01,129,race-ethnicity,Hispanic,0,2
2014,01,129,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,129,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,131,all,All,0.4892532683359185,1
2014,01,131,race-ethnicity,Black,0.49452154857560265,1
2014,01,131,race-ethnicity,Hispanic,0.8688524590163934,3
2014,01,131,race-ethnicity,Other Races and Ethnicities,0.7681159420289855,3
2014,01,131,race-ethnicity,"White, Non-Hispanic",0.36795252225519287,2
2014,01,133,all,All,0,1
2014,01,133,race-ethnicity,Black,0,3
2014,01,133,race-ethnicity,Hispanic,0,2
2014,01,133,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,133,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,013,all,All,0,1
2014,02,013,race-ethnicity,Black,0,2
2014,02,013,race-ethnicity,Hispanic,0,2
2014,02,013,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,013,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,016,all,All,0,1
2014,02,016,race-ethnicity,Black,0,2
2014,02,016,race-ethnicity,Hispanic,0,2
2014,02,016,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,016,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,020,all,All,0,1
2014,02,020,race-ethnicity,Black,0,1
2014,02,020,race-ethnicity,Hispanic,0,1
2014,02,020,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,020,race-ethnicity,"White, Non-Hispanic",0,1
2014,02,050,all,All,0,1
2014,02,050,race-ethnicity,Black,NA,NA
2014,02,050,race-ethnicity,Hispanic,0,3
2014,02,050,race-ethnicity,Other Races and Ethnicities,0,1
2014,02,050,race-ethnicity,"White, Non-Hispanic",0,2
2014,02,060,all,All,0,1
2014,02,060,race-ethnicity,Black,NA,NA
2014,02,060,race-ethnicity,Hispanic,NA,NA
2014,02,060,race-ethnicity,Other Races and Ethnicities,0,2
2014,02,060,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,02,068,all,All,0,2
2014,02,068,race-ethnicity,Black,NA,NA
