year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,53896,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,53896,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,53980,all,All,NA,NA
2014,06,53980,race-ethnicity,Black,NA,NA
2014,06,53980,race-ethnicity,Hispanic,NA,NA
2014,06,53980,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,53980,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,54652,all,All,NA,NA
2014,06,54652,race-ethnicity,Black,NA,NA
2014,06,54652,race-ethnicity,Hispanic,NA,NA
2014,06,54652,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,54652,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,55156,all,All,NA,NA
2014,06,55156,race-ethnicity,Black,NA,NA
2014,06,55156,race-ethnicity,Hispanic,NA,NA
2014,06,55156,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,55156,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,56000,all,All,NA,NA
2014,06,56000,race-ethnicity,Black,NA,NA
2014,06,56000,race-ethnicity,Hispanic,NA,NA
2014,06,56000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,56000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,56700,all,All,NA,NA
2014,06,56700,race-ethnicity,Black,NA,NA
2014,06,56700,race-ethnicity,Hispanic,NA,NA
2014,06,56700,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,56700,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,57456,all,All,NA,NA
