year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2016,06,57456,0,1
2018,06,57456,0,1
2021,06,57456,0,1
2023,06,57456,0,1
2014,06,57792,0,2
2016,06,57792,0,2
2018,06,57792,0,1
2021,06,57792,0,2
2023,06,57792,0,2
2014,06,58072,0.18935670150072786,1
2016,06,58072,0.0071468947353622424,1
2018,06,58072,0.10500368606062796,1
2021,06,58072,0.09646942984291741,1
2023,06,58072,0,1
2014,06,59444,0.08513951587603988,1
2016,06,59444,0,1
2018,06,59444,0,1
2021,06,59444,0,1
2023,06,59444,0,1
2014,06,59451,0,1
2016,06,59451,0,1
2018,06,59451,0,1
2021,06,59451,0,1
2023,06,59451,0,1
2014,06,59920,0,1
2016,06,59920,0,1
2018,06,59920,0,1
2021,06,59920,0,1
2023,06,59920,0.048092626877900446,1
2014,06,60102,0,1
2016,06,60102,0,1
2018,06,60102,0,1
2021,06,60102,0,1
2023,06,60102,0,1
2014,06,60466,0.1676788979626891,1
2016,06,60466,0,1
2018,06,60466,0,1
2021,06,60466,0,1
2023,06,60466,0,1
2014,06,60620,0,1
2016,06,60620,0,1
2018,06,60620,0,1
2021,06,60620,0,1
2023,06,60620,0,1
2014,06,62000,0.11393086560396168,1
2016,06,62000,0.05875094005162502,1
2018,06,62000,0.025736730455801975,1
2021,06,62000,1.5763520541025886e-4,1
2023,06,62000,6.331460438091052e-4,1
2014,06,62938,0,1
2016,06,62938,0,1
2018,06,62938,0,1
2021,06,62938,0,1
2023,06,62938,0,1
2014,06,64000,0.21992998190200755,1
2016,06,64000,0.14762409469162333,1
2018,06,64000,0.06610094648794486,1
2021,06,64000,0.0760818510668788,1
2023,06,64000,0.03280557230812054,1
2014,06,64224,0.16386404897891263,1
2016,06,64224,0.041225341628015624,1
2018,06,64224,0,1
2021,06,64224,0,1
2023,06,64224,0,1
2014,06,65000,0.4443095456384862,1
2016,06,65000,0.3651596245556714,1
2018,06,65000,0.2229640097994491,1
2021,06,65000,0.018986055749197817,1
2023,06,65000,0.02738594325655504,1
2014,06,65042,0,1
2016,06,65042,0,1
2018,06,65042,0,1
2021,06,65042,0,1
2023,06,65042,0,1
2014,06,66000,0.16292576426402963,1
