year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,29000,race-ethnicity,Hispanic,0,1
2014,06,29000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,29000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,30000,all,All,0,1
2014,06,30000,race-ethnicity,Black,0,3
2014,06,30000,race-ethnicity,Hispanic,0,1
2014,06,30000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,30000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,32548,all,All,0.004542918676402705,1
2014,06,32548,race-ethnicity,Black,7.864300729480696e-4,1
2014,06,32548,race-ethnicity,Hispanic,0.006307139478872642,1
2014,06,32548,race-ethnicity,Other Races and Ethnicities,0.010221250336115931,1
2014,06,32548,race-ethnicity,"White, Non-Hispanic",9.158158286929957e-4,3
2014,06,33000,all,All,0,1
2014,06,33000,race-ethnicity,Black,0,1
2014,06,33000,race-ethnicity,Hispanic,0,1
2014,06,33000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,33000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,33182,all,All,0.2130110190307505,1
2014,06,33182,race-ethnicity,Black,0.21625052763529848,2
2014,06,33182,race-ethnicity,Hispanic,0.24190675325219652,1
2014,06,33182,race-ethnicity,Other Races and Ethnicities,0.24589609337145724,1
2014,06,33182,race-ethnicity,"White, Non-Hispanic",0.1996770325873936,1
2014,06,33434,all,All,0,1
2014,06,33434,race-ethnicity,Black,0,2
2014,06,33434,race-ethnicity,Hispanic,0,1
2014,06,33434,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,33434,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,36000,all,All,0,1
2014,06,36000,race-ethnicity,Black,0,3
2014,06,36000,race-ethnicity,Hispanic,0,1
2014,06,36000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,36000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,36448,all,All,0.08220331954517682,1
2014,06,36448,race-ethnicity,Black,0,3
2014,06,36448,race-ethnicity,Hispanic,0.09373337107103225,1
2014,06,36448,race-ethnicity,Other Races and Ethnicities,0.07009304270384502,1
2014,06,36448,race-ethnicity,"White, Non-Hispanic",0.0024548624442377993,2
2014,06,36546,all,All,0.05956092885807907,1
2014,06,36546,race-ethnicity,Black,0.03341765631513077,1
2014,06,36546,race-ethnicity,Hispanic,0.06880504646158295,1
2014,06,36546,race-ethnicity,Other Races and Ethnicities,0.09736127331948491,1
2014,06,36546,race-ethnicity,"White, Non-Hispanic",0.004571336756916232,2
2014,06,36770,all,All,0.27558377116732485,1
2014,06,36770,race-ethnicity,Black,0,3
2014,06,36770,race-ethnicity,Hispanic,0.3498280501277316,2
2014,06,36770,race-ethnicity,Other Races and Ethnicities,0.32800709024922736,1
2014,06,36770,race-ethnicity,"White, Non-Hispanic",0.20156718149523295,1
2014,06,37692,all,All,0,1
2014,06,37692,race-ethnicity,Black,0,2
2014,06,37692,race-ethnicity,Hispanic,0,1
2014,06,37692,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,37692,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,39496,all,All,0,1
2014,06,39496,race-ethnicity,Black,0,3
2014,06,39496,race-ethnicity,Hispanic,0,2
2014,06,39496,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,39496,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,39892,all,All,0,1
2014,06,39892,race-ethnicity,Black,0,3
2014,06,39892,race-ethnicity,Hispanic,0,2
2014,06,39892,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,39892,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,40130,all,All,0.04922045598003224,1
2014,06,40130,race-ethnicity,Black,0.08295632723709043,1
2014,06,40130,race-ethnicity,Hispanic,0.03050505428024792,1
2014,06,40130,race-ethnicity,Other Races and Ethnicities,0.06926231637161365,1
2014,06,40130,race-ethnicity,"White, Non-Hispanic",0.03841224028435355,1
2014,06,41992,all,All,0,1
2014,06,41992,race-ethnicity,Black,0,3
2014,06,41992,race-ethnicity,Hispanic,0,2
2014,06,41992,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,41992,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,43000,all,All,0.18792462760332687,1
2014,06,43000,race-ethnicity,Black,0.17069540220009044,1
2014,06,43000,race-ethnicity,Hispanic,0.23726138770170657,1
2014,06,43000,race-ethnicity,Other Races and Ethnicities,0.17572212259686462,1
2014,06,43000,race-ethnicity,"White, Non-Hispanic",0.07630605808303538,1
2014,06,44000,all,All,0.2357018706983839,1
2014,06,44000,race-ethnicity,Black,0.2731793039235656,1
