year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,48,24000,873.2673746341228,264.8830402283558,147.56041510438084,2
2021,48,26232,250.80616266571124,62.70154066642781,62.70154066642781,1
2021,48,27000,1007.1955584776098,568.8874278617868,254.76660092044705,2
2021,48,27684,738.2798080472498,258.3979328165375,130.87687506292158,1
2021,48,29000,1646.0641772881572,605.264843399731,272.2090565554346,1
2021,48,30464,864.3395036539674,166.93252216492934,129.83640612827838,1
2021,48,35000,714.0382695168423,206.6309375827848,257.16789273123715,2
2021,48,37000,1002.453557658605,213.81002453557662,147.21345951629863,2
2021,48,39148,714.247064552784,275.95909312266656,194.79465396894108,2
2021,48,41464,1182.0020488035511,378.2406556171364,215.38704000420267,2
2021,48,41980,666.2845679896833,186.27310502937385,179.10875483593637,1
2021,48,42508,1453.8093485461907,322.0463746779536,395.656974604343,1
2021,48,43888,855.053054496755,247.24425672195324,103.01844030081385,1
2021,48,45000,3309.517639654981,1317.8839817865473,836.6342131566282,2
2021,48,45384,908.0302338558312,248.56693552478058,268.8581139349668,1
2021,48,45744,900.0436144482771,384.6001348082947,134.80829467507237,1
2021,48,47892,2415.5557782900673,761.752029668237,521.1987571414253,3
2021,48,48072,1910.7382077134596,613.4104209264613,324.33194669674964,1
2021,48,48768,208.8688946015424,120.5012853470437,40.167095115681235,1
2021,48,50820,1880.6744487678338,616.083009079118,281.0203199308258,1
2021,48,53388,3113.1248173048816,613.8555977784273,738.0882782812043,1
2021,48,56000,2253.6963491076126,880.4249007129528,162.68720991434998,1
2021,48,56348,1360.1118596669633,514.8086945468413,374.9841108427609,1
2021,48,57200,385.2080123266564,130.97072419106317,115.56240369799693,1
2021,48,58016,1100.0130565347956,342.7340383862123,205.64042303172738,1
2021,48,61796,2036.7823994499827,455.4829838432451,283.60261258164314,1
2021,48,63500,786.509364793708,299.9400119976005,146.6373391988269,1
2021,48,64472,1623.8532110091744,412.8440366972477,201.8348623853211,1
2021,48,65000,892.9353607408798,289.7190413616169,159.56448282335273,2
2021,48,70808,687.4952257275992,137.49904514551983,252.08158276678634,1
2021,48,72176,1036.2140796923406,363.2090588612328,202.96976818715947,2
2021,48,74144,2349.278233795641,500.04717426172283,858.5715633550334,2
2021,48,76000,2853.9294249964855,1089.5543371292001,1173.9069309714607,2
2021,48,79000,2028.7169986104677,833.7193144974525,509.4951366373321,1
2021,49,43660,2971.9020172910664,504.3227665706052,918.5878962536023,1
2021,49,44320,NA,NA,NA,NA
2021,49,55980,2719.2311892541225,414.9830730588621,971.934039532598,1
2021,49,57300,1887.5600032544137,439.34586282645836,439.34586282645836,1
2021,49,62470,3209.408950463471,727.5989235522775,916.9739858467059,1
2021,49,65330,4445.426425099426,671.6747680070703,954.4851966416261,1
2021,49,67000,1533.2624069090682,262.84498404155454,763.5020965016585,2
2021,49,67440,1206.5596057439034,118.95658084799048,314.38524938397484,1
