year,state,county,total_people,crime_violent_rate,crime_property_rate,crime_rate_quality,agencies_reporting,core_reporting
2021,21,119,14506,27.574796635874808,186.12987729215496,3,0.4,NA
2021,21,121,30367,257.6389652825364,980.8893917881319,1,1,NA
2021,21,123,14768,480.7692307692308,521.397616468039,1,1,NA
2021,21,125,62090,426.799806732163,1655.6611370591077,3,0.4,NA
2021,21,127,16274,153.61927000122895,694.359100405555,3,0.5,NA
2021,21,129,7263,137.68415255404102,647.1155170039929,3,0.6666666666666666,NA
2021,21,131,10622,47.072114479382414,263.6038410845415,3,0.5,NA
2021,21,133,21784,82.62945280940139,78.03892765332354,3,0.4,NA
2021,21,135,13103,38.15920018316416,297.64176142868047,3,0.6666666666666666,NA
2021,21,137,24314,157.65185260290636,673.1222459642236,3,0.3,NA
2021,21,139,8989,422.7389031037935,967.8495939481588,3,0.5,NA
2021,21,141,27319,812.6212526080749,1757.018924558,1,1,NA
2021,21,143,8700,597.7011494252873,988.5057471264367,3,0.6666666666666666,NA
2021,21,145,67394,1236.015075526011,2547.704543431166,3,0.75,NA
2021,21,147,17044,88.00750997418447,398.96737854963624,3,0.4,NA
2021,21,149,9182,130.6904813766064,544.5436724025267,3,0.25,NA
2021,21,151,92194,822.1793175260863,2450.2679133132306,2,0.8,NA
2021,21,153,11818,59.23168048739212,262.31172787273647,1,1,NA
2021,21,155,19556,337.4923297197791,951.1147473921047,3,0.5,NA
2021,21,157,31662,596.9300739056282,1654.9807340029056,3,0.75,NA
2021,21,159,11394,70.212392487274,122.87168685272951,3,0.3333333333333333,NA
2021,21,161,17103,1029.0592293749635,3250.8916564345436,3,0.6666666666666666,NA
2021,21,163,29735,198.4193711114848,544.8125105095005,1,1,NA
2021,21,165,6149,195.15368352577656,390.3073670515531,1,1,NA
2021,21,167,22470,329.32799287939474,890.0756564307966,1,1,NA
2021,21,169,10275,564.4768856447688,652.0681265206813,1,1,NA
2021,21,171,11269,177.47803709290974,479.1907001508563,3,0.5,NA
2021,21,173,28084,562.5979205241418,1862.2703318615584,2,0.8,NA
2021,21,175,13772,341.2721463839675,479.23322683706067,1,1,NA
2021,21,177,31011,393.4087904292025,754.570958692077,3,0.42857142857142855,NA
2021,21,179,46440,510.3359173126615,1808.785529715762,3,0.6,NA
2021,21,181,7517,436.4938860361725,391.5622753760445,3,0.75,NA
2021,21,183,23861,406.521101378819,913.6247433049747,3,0.5,NA
2021,21,185,67586,392.4467960035053,1627.4802410935085,1,1,NA
2021,21,187,11160,98.5663082437276,456.98924731182797,3,0.6666666666666666,NA
2021,21,189,4094,0,195.40791402051784,3,0.6666666666666666,NA
2021,21,191,14625,362.39316239316236,909.4017094017094,3,0.6666666666666666,NA
2021,21,193,28421,228.70412722986524,548.8899053516766,3,0.5,NA
2021,21,195,58914,134.093763791289,611.0601894286586,3,0.5714285714285714,NA
2021,21,197,13050,199.2337164750958,513.4099616858238,1,1,NA
2021,21,199,64717,352.30310428480925,1185.1600043265294,3,0.5454545454545454,NA
2021,21,201,2196,0,455.3734061930784,3,0.5,NA
2021,21,203,16167,154.63598688686832,655.6565844003217,3,0.42857142857142855,NA
2021,21,205,24654,547.5784862496957,1261.4585868418917,1,1,NA
2021,21,207,17909,228.93517225975765,524.8757607906639,3,0.75,NA
2021,21,209,56267,943.7147884194999,2424.156254998489,3,0.4444444444444444,NA
2021,21,211,47523,530.2695536897924,1805.4415756581025,3,0.6,NA
2021,21,213,19324,781.4117160008279,2038.9153384392466,1,1,NA
2021,21,215,19256,160.9887827170752,477.7731616119651,1,1,NA
2021,21,217,25948,790.0416217049483,2231.3858486203176,3,0.4,NA
