year,metro,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,31180,.97290885,.9026798,1.0431379,1
2017,31220,.94836622,.6996091,1.1971234,1
2017,31260,1.0412936,.91966867,1.1629186,1
2017,31300,.87650877,.76648593,.98653162,1
2017,31340,.92580003,.8379333,1.0136667,1
2017,31380,.85194933,.53752953,1.1663691,3
2017,31420,.91395843,.82976371,.99815315,1
2017,31460,1.170025,1.0738323,1.2662177,1
2017,31500,.85675931,.61814034,1.0953783,1
2017,31540,1.0110432,.95782834,1.0642581,1
2017,31580,.9363879,.75568438,1.1170914,1
2017,31620,.90782058,.63675129,1.1788899,1
2017,31660,,,,
2017,31680,.79402429,.5795266,1.0085219,1
2017,31700,.91706127,.7234863,1.1106362,3
2017,31740,.90935421,.74047381,1.0782346,1
2017,31820,.99698108,.84239757,1.1515646,1
2017,31860,.79260045,.65255284,.93264806,1
2017,31900,.96024442,.83275831,1.0877305,1
2017,31930,.8916586,.70624363,1.0770736,1
2017,31940,1.0550357,.89760756,1.2124639,1
2017,31980,.89869535,.74612439,1.0512663,1
2017,32000,.73363328,.51554871,.95171785,1
2017,32020,.87537551,.69787121,1.0528798,1
2017,32100,.99318576,.81124765,1.1751238,1
2017,32140,.97960025,.73999006,1.2192105,1
2017,32180,1.0046283,.73153347,1.2777232,1
2017,32220,.89812934,.76082391,1.0354347,1
2017,32260,.92823184,.73953795,1.1169257,1
2017,32280,.86945611,.6232211,1.1156911,1
2017,32300,.86354524,.69599652,1.031094,1
2017,32340,.99129534,.66570061,1.31689,1
2017,32380,.85077238,.65895951,1.0425853,1
2017,32460,.89904886,.68994576,1.1081519,1
2017,32500,.86012727,.55998576,1.1602688,1
2017,32540,.95523989,.77535677,1.135123,1
2017,32580,.99888825,.96488082,1.0328957,1
2017,32620,.97584409,.80111521,1.1505729,1
2017,32660,.99126142,.78416145,1.1983614,1
2017,32700,.82527864,.57188755,1.0786697,1
2017,32740,.89119542,.73993659,1.0424542,1
2017,32780,1.147596,1.0134311,1.2817609,2
