year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,01,113,race-ethnicity,Black,0.7269852156683433,1
2021,01,113,race-ethnicity,Hispanic,0.8753339269813001,2
2021,01,113,race-ethnicity,White,0.8600158867706528,1
2021,01,115,all,All,0.8724394991815245,1
2021,01,115,race-ethnicity,Other Races and Ethnicities,0.8888313034464888,2
2021,01,115,race-ethnicity,Black,0.6991869918699187,1
2021,01,115,race-ethnicity,Hispanic,0.93194874060981,1
2021,01,115,race-ethnicity,White,0.890766329240599,1
2021,01,117,all,All,0.9252604402572697,1
2021,01,117,race-ethnicity,Other Races and Ethnicities,0.9048781754896358,1
2021,01,117,race-ethnicity,Black,0.8839974061531811,1
2021,01,117,race-ethnicity,Hispanic,0.8682363948230157,1
2021,01,117,race-ethnicity,White,0.9341094416278708,1
2021,01,119,all,All,0.6929178016343535,1
2021,01,119,race-ethnicity,Other Races and Ethnicities,0.5026315789473684,3
2021,01,119,race-ethnicity,Black,0.6746825486009664,1
2021,01,119,race-ethnicity,Hispanic,NA,NA
2021,01,119,race-ethnicity,White,0.7661567280674367,1
2021,01,121,all,All,0.8100549786194258,1
2021,01,121,race-ethnicity,Other Races and Ethnicities,0.8357711059789582,2
2021,01,121,race-ethnicity,Black,0.7427282035723767,1
2021,01,121,race-ethnicity,Hispanic,0.7914171656686627,1
2021,01,121,race-ethnicity,White,0.8425286910669976,1
2021,01,123,all,All,0.8339550431159771,1
2021,01,123,race-ethnicity,Other Races and Ethnicities,0.9377186843946816,2
2021,01,123,race-ethnicity,Black,0.7889362457822767,1
2021,01,123,race-ethnicity,Hispanic,0.8818897637795275,1
2021,01,123,race-ethnicity,White,0.8465008918266709,1
2021,01,125,all,All,0.8318738976087878,1
2021,01,125,race-ethnicity,Other Races and Ethnicities,0.8306437914047902,1
2021,01,125,race-ethnicity,Black,0.8117678012573739,1
2021,01,125,race-ethnicity,Hispanic,0.7880570006785795,1
2021,01,125,race-ethnicity,White,0.8423515794136771,1
2021,01,127,all,All,0.8249838942233948,1
2021,01,127,race-ethnicity,Other Races and Ethnicities,0.8140703517587939,2
2021,01,127,race-ethnicity,Black,0.79796397807361,1
2021,01,127,race-ethnicity,Hispanic,0.7589743589743589,2
2021,01,127,race-ethnicity,White,0.8274519305654108,1
2021,01,129,all,All,0.7161294465134198,1
2021,01,129,race-ethnicity,Other Races and Ethnicities,0.9211669770328988,2
2021,01,129,race-ethnicity,Black,0.528856526429342,2
2021,01,129,race-ethnicity,Hispanic,NA,NA
2021,01,129,race-ethnicity,White,0.751633349585568,1
2021,01,131,all,All,0.7726932434961632,1
2021,01,131,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,131,race-ethnicity,Black,0.7444194954431383,1
2021,01,131,race-ethnicity,Hispanic,NA,NA
2021,01,131,race-ethnicity,White,0.8330464716006885,1
2021,01,133,all,All,0.8110782241014799,1
2021,01,133,race-ethnicity,Other Races and Ethnicities,0.8835443037974684,2
2021,01,133,race-ethnicity,Black,0.7142857142857143,3
2021,01,133,race-ethnicity,Hispanic,0.916,1
2021,01,133,race-ethnicity,White,0.8081625314635024,1
2021,02,013,all,All,0.433264887063655,1
2021,02,013,race-ethnicity,Other Races and Ethnicities,0.4336501231960577,1
2021,02,013,race-ethnicity,Black,NA,NA
2021,02,013,race-ethnicity,Hispanic,0.17548746518105848,3
2021,02,013,race-ethnicity,White,0.49295774647887325,2
2021,02,016,all,All,0.6581603504094459,1
2021,02,016,race-ethnicity,Other Races and Ethnicities,0.7200634417129262,1
2021,02,016,race-ethnicity,Black,NA,NA
2021,02,016,race-ethnicity,Hispanic,0.4755381604696673,2
2021,02,016,race-ethnicity,White,0.5668740279937792,1
2021,02,020,all,All,0.9214001264762686,1
