statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
06,03755,19766,1435,0.0121,0.0125,110522959,114355,0.001034671900161486,1.5125000000000002e-4,0.9876512500000001,114355,1,0
06,07307,21712,1764,0.0157,0.0166,110522959,106215,9.610220442976016e-4,2.6062e-4,0.5368997400000001,106215,2,1
06,07313,21712,103762,0.5493,0.9769,110522959,106215,9.610220442976016e-4,0.53661117,0.5368997400000001,106215,2,1
06,07314,21712,689,0.0043,0.0065,110522959,106215,9.610220442976016e-4,2.795e-5,0.5368997400000001,106215,2,1
06,06709,22020,269,0.0018,0.0015,110522959,176124,0.0015935512548121335,2.7e-6,0.91442906,176124,1,0
06,06710,22020,161090,0.9892,0.9146,110522959,176124,0.0015935512548121335,0.90472232,0.91442906,176124,1,0
06,06711,22020,14765,0.1158,0.0838,110522959,176124,0.0015935512548121335,0.00970404,0.91442906,176124,1,0
06,03717,22230,986,0.0052,0.009,110522959,109450,9.90291980872499e-4,4.679999999999999e-5,0.8381485500000001,109450,1,1
06,03737,22230,385,0.003,0.0035,110522959,109450,9.90291980872499e-4,1.0500000000000001e-5,0.8381485500000001,109450,1,1
06,03738,22230,108079,0.8487,0.9875,110522959,109450,9.90291980872499e-4,0.8380912500000001,0.8381485500000001,109450,1,1
06,07302,22804,8,1e-4,1e-4,110522959,151038,0.0013665757899225263,1e-8,0.76391189,151038,1,0
06,07305,22804,24490,0.1892,0.1621,110522959,151038,0.0013665757899225263,0.03066932,0.76391189,151038,1,0
06,07306,22804,126540,0.8752,0.8378,110522959,151038,0.0013665757899225263,0.73324256,0.76391189,151038,1,0
06,09502,23182,119869,0.7758,0.9999,110522959,119881,0.0010846705615255921,0.77572242,0.7757224300000001,119881,1,0
06,09503,23182,12,1e-4,1e-4,110522959,119881,0.0010846705615255921,1e-8,0.7757224300000001,119881,1,0
06,06712,24638,80454,0.6776,1,110522959,80454,7.279392510654732e-4,0.6776,0.6776,80454,2,1
06,07104,24680,44,4e-4,2e-4,110522959,208393,0.0018855177411600064,8e-8,0.8005010699999999,208393,1,0
06,07109,24680,11438,0.0991,0.0549,110522959,208393,0.0018855177411600064,0.0054405899999999995,0.8005010699999999,208393,1,0
06,07110,24680,97595,0.8817,0.4683,110522959,208393,0.0018855177411600064,0.41290011,0.8005010699999999,208393,1,0
06,07111,24680,899,0.0052,0.0043,110522959,208393,0.0018855177411600064,2.236e-5,0.8005010699999999,208393,1,0
06,07115,24680,98417,0.8091,0.4723,110522959,208393,0.0018855177411600064,0.38213793,0.8005010699999999,208393,1,0
06,00108,26000,29220,0.2053,0.1268,110522959,230504,0.002085575721873317,0.02603204,0.8807630900000002,230504,1,0
06,00109,26000,199529,0.98740000000000006,0.8656,110522959,230504,0.002085575721873317,0.8546934400000001,0.8807630900000002,230504,1,0
06,00110,26000,1378,0.0056,0.006,110522959,230504,0.002085575721873317,3.3600000000000004e-5,0.8807630900000002,230504,1,0
06,08502,26000,15,1e-4,1e-4,110522959,230504,0.002085575721873317,1e-8,0.8807630900000002,230504,1,0
06,08504,26000,362,0.0025,0.0016,110522959,230504,0.002085575721873317,4.000000000000001e-6,0.8807630900000002,230504,1,0
06,01901,27000,20,1e-4,0,110522959,542107,0.0049049265863394045,0,0.89328656,542107,1,0
06,01902,27000,177084,0.9308,0.3267,110522959,542107,0.0049049265863394045,0.30409236,0.89328656,542107,1,0
06,01903,27000,93600,0.8459,0.1727,110522959,542107,0.0049049265863394045,0.14608693,0.89328656,542107,1,0
06,01904,27000,163723,0.9054,0.302,110522959,542107,0.0049049265863394045,0.2734308,0.89328656,542107,1,0
06,01905,27000,103476,0.8875,0.1909,110522959,542107,0.0049049265863394045,0.16942374999999998,0.89328656,542107,1,0
06,01906,27000,4204,0.0324,0.0078,110522959,542107,0.0049049265863394045,2.5271999999999995e-4,0.89328656,542107,1,0
06,03754,28000,210,0.0015,0.0015,110522959,143617,0.001299431369730157,2.25e-6,0.7055092399999999,143617,2,0
06,05906,28000,1598,0.0083,0.0111,110522959,143617,0.001299431369730157,9.213e-5,0.7055092399999999,143617,2,0
