year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2023,48,45384,tenure,All,1,1,1,0.583265492083311,0.623009154365164,1.0006009759320518,1.2675512575994534,1.2517841660328495,1.6215744792893405,1,1,1
2022,48,45384,tenure,All,1,1,1,0.5171761672447353,0.6454278100479014,1.0433817428438286,1.1409179241243588,1.2073381677877781,1.6191203764295459,1,1,1
2021,48,45384,tenure,All,1,1,1,0.5082283686935518,0.5825482399318124,1.0259902462152954,1.4388906837160607,1.358982030723779,1.7472746629435365,1,1,1
2019,48,45384,tenure,All,1,1,1,0.7448673406071316,0.8202331979780625,1.1511534805903063,1.4900590982948367,1.4182785565956029,1.682301200370004,1,1,1
2018,48,45384,tenure,All,1,1,1,0.8102023382557598,0.7938510512067022,1.267744814734745,1.390001322262219,1.3745485156249941,1.871372689027209,1,1,1
2017,48,45384,tenure,All,1,1,1,0.6063953293952232,0.6324095908839531,1.1522227779423393,0.9840289877702554,1.048137851683354,1.6021065074800374,1,1,1
2016,48,45384,tenure,All,1,1,1,0.6660074099213933,0.7156452478651817,1.081993993663209,1.167948706426535,1.2296794656357408,1.69159564113377,1,1,1
2015,48,45384,tenure,All,1,1,1,0.6294444166809304,0.711513805591349,1.2102406486489408,1.1771180426359522,1.296500913839412,1.7934153693496067,1,1,1
2014,48,45384,tenure,All,1,1,1,0.647417407780909,0.6512930565037153,1.1615335179061408,1.1285718346934261,1.1601325980131907,1.7757779129274418,1,1,1
2023,48,45744,tenure,All,1,1,1,0.16647278516780023,0.33084363757306795,0.7054008581944224,0.5761374190263335,0.9354489350280579,1.3154461156079542,1,1,1
2022,48,45744,tenure,All,1,1,1,0.08761501362498926,0.3247149744986388,0.6202147793267125,0.846738171684909,0.9501058898507696,1.2677433288393454,1,1,1
2021,48,45744,tenure,All,1,1,1,0.2853654850163032,0.23605600269078775,0.7471295493294454,0.7729958810446432,0.779811644859298,1.3094488818331078,1,1,1
2019,48,45744,tenure,All,1,1,1,0.19670571504662143,0.4298362636865389,0.7840629731907058,0.7277064271260119,0.9983325312392014,1.4486352840844057,1,1,1
2018,48,45744,tenure,All,1,1,1,0.07919800885025442,0.2764434369500062,0.8819951575852176,0.6612490221087526,0.8420312411589187,1.4844236869634397,1,1,1
2017,48,45744,tenure,All,1,1,1,0.23366851874754058,0.3529527252491966,0.7222082835917862,0.7439949631794929,0.7262441551466708,1.268840889907414,1,1,1
2016,48,45744,tenure,All,1,1,1,0.2094552442436677,0.4014352542003824,0.8770142435869981,0.6744664297309059,1.0319021993826054,1.6126307570519,1,1,1
2015,48,45744,tenure,All,1,1,1,0.1262663721047882,0.34854734949913524,0.8101521095893814,0.6369656275302811,0.9619585305040254,1.4187519871894996,1,1,1
2014,48,45744,tenure,All,1,1,1,0.1855715572776835,0.33569106158268086,0.7607308499514714,0.9112742592635701,1.1732713986606111,1.5173435201769043,1,1,1
2023,48,47892,tenure,All,2,2,2,0.3936800610557422,0.5904100779717782,1.2860381935028833,1.2674723414399698,1.3297430314944794,1.8290314743094005,2,2,2
2022,48,47892,tenure,All,2,2,2,0.36744882728913125,0.7045273045752997,1.20030472736651,1.1774388553218569,1.469809641907567,1.8473871464315597,2,2,2
2021,48,47892,tenure,All,2,2,2,0.5279747828978164,0.7754429361775791,1.1770818173170758,1.4453706016920909,1.4671212804863085,1.7511865782512732,2,2,2
2019,48,47892,tenure,All,2,2,2,0.4043868023382991,0.741628160523493,1.3596317307348809,1.1999138477423426,1.455725479328392,2.0157376348700615,2,2,2
2018,48,47892,tenure,All,2,2,2,0.44288550012915456,0.6976574173003995,1.2413890648356913,1.0957596799874672,1.1997136894857032,1.8030422320991402,2,2,2
2017,48,47892,tenure,All,2,2,2,0.40507675117136194,0.7519998086750788,1.2509476586009838,1.1095638032273156,1.4574115169316906,1.873590894601543,2,2,2
2016,48,47892,tenure,All,2,2,2,0.5674719395276866,0.6949233208692063,1.285190353486,1.4594127271249497,1.3922609085273754,1.9716079981725554,2,2,2
2015,48,47892,tenure,All,2,2,2,0.5155691699979583,0.8559819574771138,1.3037361650129815,1.1159144576896878,1.45756392663052,1.8697247881191266,2,2,2
2014,48,47892,tenure,All,2,2,2,0.5216160284671633,0.7052711627526491,1.3844802398451201,1.1976363847021279,1.3068461176078259,1.9500758604246262,2,2,2
2023,48,48072,tenure,All,1,1,1,0.5611550785304803,0.72180194817659,0.9264887884635643,1.3155156714919543,1.5010674655723384,1.7602765650069963,1,1,1
2022,48,48072,tenure,All,1,1,1,0.5065411918993844,0.7189849032236353,1.0386540087225031,1.338597793020238,1.5599668225157044,1.5803266844049828,1,1,1
2021,48,48072,tenure,All,1,1,1,0.5459437734614383,0.7769814635753363,0.9933170644485879,1.2387768758174074,1.4967380649263105,1.6582247161636277,1,1,1
