year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,119,race-ethnicity,Hispanic,,,,,,
2021,01,119,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,119,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,121,all,All,3,3,3,.0004209345,1,1
2021,01,121,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,121,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,121,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,121,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,123,all,All,20,19,21,.0034873583,3,3
2021,01,123,race-ethnicity,"Black, Non-Hispanic",11,11,11,.5500000119,3,3
2021,01,123,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,123,race-ethnicity,Other Races and Ethnicities,1,0,2,.0500000007,3,3
2021,01,123,race-ethnicity,"White, Non-Hispanic",2,0,4,.1000000015,3,3
2021,01,125,all,All,295,295,295,.0098088114,1,1
2021,01,125,race-ethnicity,"Black, Non-Hispanic",219,219,219,.7423728704,1,1
2021,01,125,race-ethnicity,Hispanic,29,29,29,.0983050838,1,1
2021,01,125,race-ethnicity,Other Races and Ethnicities,9,9,9,.0305084754,1,1
2021,01,125,race-ethnicity,"White, Non-Hispanic",37,37,37,.1254237294,1,1
2021,01,127,all,All,110,110,110,.0112244897,1,1
2021,01,127,race-ethnicity,"Black, Non-Hispanic",10,9,11,.0909090936,3,3
2021,01,127,race-ethnicity,Hispanic,8,7,9,.0727272704,3,3
2021,01,127,race-ethnicity,Other Races and Ethnicities,7,7,7,.0636363626,1,1
2021,01,127,race-ethnicity,"White, Non-Hispanic",84,84,84,.7636363506,1,1
2021,01,129,all,All,27,27,27,.0104529615,1,1
2021,01,129,race-ethnicity,"Black, Non-Hispanic",4,4,4,.1481481493,3,3
2021,01,129,race-ethnicity,Hispanic,1,0,2,.0370370373,3,3
2021,01,129,race-ethnicity,Other Races and Ethnicities,2,2,2,.0740740746,3,3
2021,01,129,race-ethnicity,"White, Non-Hispanic",19,19,19,.7037037015,3,3
2021,01,131,all,All,95,95,95,.0727411956,1,1
2021,01,131,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0105263162,3,3
2021,01,131,race-ethnicity,Hispanic,1,0,2,.0105263162,3,3
2021,01,131,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,131,race-ethnicity,"White, Non-Hispanic",0,0,0,0,3,3
2021,01,133,all,All,8,8,8,.0020299417,1,1
2021,01,133,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,133,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,133,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,133,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,02,013,all,All,,,,,,
2021,02,013,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,02,013,race-ethnicity,Hispanic,,,,,,
2021,02,013,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,02,013,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,02,016,all,All,,,,,,
2021,02,016,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,02,016,race-ethnicity,Hispanic,,,,,,
2021,02,016,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,02,016,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,02,020,all,All,1690,1690,1690,.0386798494,1,1
2021,02,020,race-ethnicity,"Black, Non-Hispanic",135,135,135,.0798816532,1,1
2021,02,020,race-ethnicity,Hispanic,155,155,155,.0917159766,1,1
2021,02,020,race-ethnicity,Other Races and Ethnicities,1163,1163,1163,.6881656647,1,1
2021,02,020,race-ethnicity,"White, Non-Hispanic",235,235,235,.1390532553,1,1
2021,02,050,all,All,63,63,63,.0145867094,1,1
2021,02,050,race-ethnicity,"Black, Non-Hispanic",0,0,0,0,3,3
2021,02,050,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,02,050,race-ethnicity,Other Races and Ethnicities,19,18,20,.3015873134,3,3
2021,02,050,race-ethnicity,"White, Non-Hispanic",1,0,2,.0158730168,3,3
2021,02,060,all,All,,,,,,
2021,02,060,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,02,060,race-ethnicity,Hispanic,,,,,,
2021,02,060,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,02,060,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,02,063,all,All,,,,,,
2021,02,063,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,02,063,race-ethnicity,Hispanic,,,,,,
2021,02,063,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,02,063,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,02,066,all,All,,,,,,
