year,state,county,share_affordable_80_ami,share_affordable_50_ami,housing_quality
2018,16,043,1.9004893267,2.1261697975,2
2018,16,045,1.4920724386,1.7140672143,2
2018,16,047,1.8927015098,2.1380222643,2
2018,16,049,1.5931020541,1.6988544118,2
2018,16,051,1.8470200279,2.1577120107,2
2018,16,053,1.8927015086,2.1380223491,2
2018,16,055,1.3709832693,1.3128977844,1
2018,16,057,1.3962124327,1.5783455405,2
2018,16,059,1.5931020595,1.6988544304,2
2018,16,061,1.5931020736,1.698854411,2
2018,16,063,1.8927015174,2.1380223348,2
2018,16,065,1.8975430955,2.0644926451,2
2018,16,067,1.8927015981,2.1380224394,2
2018,16,069,1.6326278895,1.6158702636,2
2018,16,071,1.7586690844,2.2161243192,2
2018,16,073,1.5861442751,1.8509460405,2
2018,16,075,1.4920724842,1.7140673504,2
2018,16,077,1.758669039,2.2161242256,2
2018,16,079,1.52098484,1.8016593439,2
2018,16,081,1.7081856453,2.0382335595,2
2018,16,083,1.8418132831,1.8175954722,1
2018,16,085,1.6289080956,1.6012374805,2
2018,16,087,1.4920723954,1.7140671845,2
2018,17,001,1.8557615572,2.1227331912,2
2018,17,003,1.7612950383,1.8815668417,2
2018,17,005,1.765338706,2.1200248756,2
2018,17,007,1.9635206846,1.4196530494,2
2018,17,009,1.8132640741,2.0790929924,2
2018,17,011,1.8134838801,2.0089888969,2
2018,17,013,1.6759349339,2.1435928767,2
2018,17,015,1.9267581783,2.1905397095,2
2018,17,017,1.8499088145,2.1288558861,2
2018,17,019,1.5006542841,1.5693577806,1
2018,17,021,1.8222089149,2.2761372148,2
2018,17,023,1.6918629327,2.3781731571,2
