year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,06,13588,race-ethnicity,Hispanic,0.8913186722768914,3
2018,06,13588,race-ethnicity,Other Races and Ethnicities,0.6483817862569139,3
2018,06,13588,race-ethnicity,"White, Non-Hispanic",0.7978471176031726,3
2018,06,13588,all,All,0.8030052046389327,3
2018,06,14218,race-ethnicity,"Black, Non-Hispanic",0.7081642692502529,3
2018,06,14218,race-ethnicity,Hispanic,0.7711533389165997,3
2018,06,14218,race-ethnicity,Other Races and Ethnicities,0.7037638831965392,3
2018,06,14218,race-ethnicity,"White, Non-Hispanic",0.815952780975243,3
2018,06,14218,all,All,0.7767776131209801,3
2018,06,15044,race-ethnicity,"Black, Non-Hispanic",0.6530101796346915,3
2018,06,15044,race-ethnicity,Hispanic,0.66220598283988,3
2018,06,15044,race-ethnicity,Other Races and Ethnicities,0.8621566412327939,3
2018,06,15044,race-ethnicity,"White, Non-Hispanic",0.6979448241445714,3
2018,06,15044,all,All,0.6644165828823594,3
2018,06,16000,race-ethnicity,"Black, Non-Hispanic",0.7202054713083864,3
2018,06,16000,race-ethnicity,Hispanic,0.800213367838539,3
2018,06,16000,race-ethnicity,Other Races and Ethnicities,0.8442047231918202,3
2018,06,16000,race-ethnicity,"White, Non-Hispanic",0.8487516762362866,3
2018,06,16000,all,All,0.8249186142318008,3
2018,06,16350,race-ethnicity,"Black, Non-Hispanic",0.8300135383799008,2
2018,06,16350,race-ethnicity,Hispanic,0.785276080070257,2
2018,06,16350,race-ethnicity,Other Races and Ethnicities,0.749046164941171,2
2018,06,16350,race-ethnicity,"White, Non-Hispanic",0.8383294745528649,2
2018,06,16350,all,All,0.8016957370254911,2
2018,06,16532,race-ethnicity,"Black, Non-Hispanic",0.9996940140835187,2
2018,06,16532,race-ethnicity,Hispanic,0.7997842639719922,2
2018,06,16532,race-ethnicity,Other Races and Ethnicities,0.758416448861319,2
2018,06,16532,race-ethnicity,"White, Non-Hispanic",0.8707877623154328,2
2018,06,16532,all,All,0.8299403634203919,2
2018,06,17918,race-ethnicity,"Black, Non-Hispanic",1,2
2018,06,17918,race-ethnicity,Hispanic,0.8712912540055007,2
2018,06,17918,race-ethnicity,Other Races and Ethnicities,0.8756762116693902,2
2018,06,17918,race-ethnicity,"White, Non-Hispanic",0.7818549113680867,2
2018,06,17918,all,All,0.8576619424275134,2
2018,06,19766,race-ethnicity,"Black, Non-Hispanic",0.7677696713358516,1
2018,06,19766,race-ethnicity,Hispanic,0.8290160432300506,1
2018,06,19766,race-ethnicity,Other Races and Ethnicities,0.7598923982413278,1
2018,06,19766,race-ethnicity,"White, Non-Hispanic",0.753044605783786,1
2018,06,19766,all,All,0.8088806890596356,1
2018,06,21712,race-ethnicity,"Black, Non-Hispanic",0.8435059772417531,3
2018,06,21712,race-ethnicity,Hispanic,0.8409805919988699,3
2018,06,21712,race-ethnicity,Other Races and Ethnicities,0.7898485219247059,3
2018,06,21712,race-ethnicity,"White, Non-Hispanic",0.7563759919234488,3
2018,06,21712,all,All,0.7820975395937728,3
2018,06,22020,race-ethnicity,"Black, Non-Hispanic",0.5147545959488938,1
2018,06,22020,race-ethnicity,Hispanic,0.7987571078576473,1
2018,06,22020,race-ethnicity,Other Races and Ethnicities,0.7804835525065328,1
2018,06,22020,race-ethnicity,"White, Non-Hispanic",0.8388347803954856,1
2018,06,22020,all,All,0.7768333168334016,1
2018,06,22230,race-ethnicity,"Black, Non-Hispanic",1,1
2018,06,22230,race-ethnicity,Hispanic,0.7502244364184625,1
2018,06,22230,race-ethnicity,Other Races and Ethnicities,0.7482667173964112,1
2018,06,22230,race-ethnicity,"White, Non-Hispanic",0.9119632361833354,1
2018,06,22230,all,All,0.7529497402270906,1
2018,06,22804,race-ethnicity,"Black, Non-Hispanic",0.9585534879203711,1
2018,06,22804,race-ethnicity,Hispanic,0.7769393324626399,1
2018,06,22804,race-ethnicity,Other Races and Ethnicities,0.8409955961486602,1
2018,06,22804,race-ethnicity,"White, Non-Hispanic",0.8490327010141512,1
2018,06,22804,all,All,0.8089768800198892,1
2018,06,23182,race-ethnicity,"Black, Non-Hispanic",0.9435658914728682,1
2018,06,23182,race-ethnicity,Hispanic,0.8161959744109847,1
2018,06,23182,race-ethnicity,Other Races and Ethnicities,0.8184377659922739,1
2018,06,23182,race-ethnicity,"White, Non-Hispanic",0.7921899096717339,1
2018,06,23182,all,All,0.8295230302738605,1
2018,06,24638,race-ethnicity,"Black, Non-Hispanic",1,3
2018,06,24638,race-ethnicity,Hispanic,0.8253119429590018,3
2018,06,24638,race-ethnicity,Other Races and Ethnicities,0.7613522537562604,3
2018,06,24638,race-ethnicity,"White, Non-Hispanic",0.8341610963814929,3
2018,06,24638,all,All,0.8137065202717905,3
2018,06,24680,race-ethnicity,"Black, Non-Hispanic",0.8067423157998521,1
2018,06,24680,race-ethnicity,Hispanic,0.7617897962445752,1
2018,06,24680,race-ethnicity,Other Races and Ethnicities,0.7962352097608986,1
2018,06,24680,race-ethnicity,"White, Non-Hispanic",0.732436352540683,1
2018,06,24680,all,All,0.7625038006285292,1
2018,06,26000,race-ethnicity,"Black, Non-Hispanic",0.8686675905014486,2
2018,06,26000,race-ethnicity,Hispanic,0.8343702295204171,2
2018,06,26000,race-ethnicity,Other Races and Ethnicities,0.8294720662289102,2
2018,06,26000,race-ethnicity,"White, Non-Hispanic",0.7976483479719574,2
2018,06,26000,all,All,0.8266010508144837,2
2018,06,27000,race-ethnicity,"Black, Non-Hispanic",0.619536016970516,3
2018,06,27000,race-ethnicity,Hispanic,0.7450227255395796,3
2018,06,27000,race-ethnicity,Other Races and Ethnicities,0.6912932816031392,3
2018,06,27000,race-ethnicity,"White, Non-Hispanic",0.7630688902624574,3
2018,06,27000,all,All,0.7330208227931804,3
2018,06,28000,race-ethnicity,"Black, Non-Hispanic",0.3676968025148536,3
2018,06,28000,race-ethnicity,Hispanic,0.7728562410137427,3
2018,06,28000,race-ethnicity,Other Races and Ethnicities,0.8261735735059562,3
2018,06,28000,race-ethnicity,"White, Non-Hispanic",0.7813857982586384,3
2018,06,28000,all,All,0.7825105928529577,3
2018,06,29000,race-ethnicity,"Black, Non-Hispanic",0.7794564030980723,3
2018,06,29000,race-ethnicity,Hispanic,0.7881532617153586,3
2018,06,29000,race-ethnicity,Other Races and Ethnicities,0.780975427592099,3
2018,06,29000,race-ethnicity,"White, Non-Hispanic",0.7989814041110358,3
2018,06,29000,all,All,0.7861334304855089,3
2018,06,30000,race-ethnicity,"Black, Non-Hispanic",0.9959793758693739,2
2018,06,30000,race-ethnicity,Hispanic,0.8354651955871208,2
2018,06,30000,race-ethnicity,Other Races and Ethnicities,0.7534697749521393,2
2018,06,30000,race-ethnicity,"White, Non-Hispanic",0.7543044032795586,2
2018,06,30000,all,All,0.7738616657632754,2
2018,06,32548,race-ethnicity,"Black, Non-Hispanic",0.8792663321619975,3
2018,06,32548,race-ethnicity,Hispanic,0.8357998537846674,3
2018,06,32548,race-ethnicity,Other Races and Ethnicities,0.9022896017288098,3
2018,06,32548,race-ethnicity,"White, Non-Hispanic",0.8563987694091008,3
2018,06,32548,all,All,0.8536483057167596,3
2018,06,33000,race-ethnicity,"Black, Non-Hispanic",0.7775863719210355,1
2018,06,33000,race-ethnicity,Hispanic,0.8017413217901591,1
2018,06,33000,race-ethnicity,Other Races and Ethnicities,0.8377237393548742,1
2018,06,33000,race-ethnicity,"White, Non-Hispanic",0.7652355494595593,1
2018,06,33000,all,All,0.8066687655759495,1
2018,06,33182,race-ethnicity,"Black, Non-Hispanic",0.6619220175430081,3
2018,06,33182,race-ethnicity,Hispanic,0.6893961148588567,3
2018,06,33182,race-ethnicity,Other Races and Ethnicities,0.7853815245900883,3
2018,06,33182,race-ethnicity,"White, Non-Hispanic",0.7004919167529621,3
2018,06,33182,all,All,0.7020847155716226,3
2018,06,33434,race-ethnicity,"Black, Non-Hispanic",0.5970254180351022,3
2018,06,33434,race-ethnicity,Hispanic,0.7480617995833985,3
2018,06,33434,race-ethnicity,Other Races and Ethnicities,0.677098438251137,3
2018,06,33434,race-ethnicity,"White, Non-Hispanic",0.6617344900373487,3
2018,06,33434,all,All,0.7033006673663376,3
