year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,26,84000,disability,Without Disability,0.8147678980058843,0.7923014180756945,0.8372343779360741,2
2018,26,86000,all,All,0.7736698680668639,0.7546101068002227,0.7927296293335051,2
2018,26,86000,disability,With Disability,0.3534711181770005,0.29320054588830907,0.4137416904656919,2
2018,26,86000,disability,Without Disability,0.8339286392825931,0.8146159445020361,0.8532413340631501,2
2018,26,88940,all,All,0.8341313608295082,0.8150092251279282,0.8532534965310883,2
2018,26,88940,disability,With Disability,0.48467618915545696,0.40246986745531343,0.5668825108556005,2
2018,26,88940,disability,Without Disability,0.8813606972167556,0.8628312682621064,0.8998901261714047,2
2018,27,06616,all,All,0.8835192315325686,0.8602077228472066,0.9068307402179306,2
2018,27,06616,disability,With Disability,0.6958174904942965,0.5821917027842836,0.8094432782043095,2
2018,27,06616,disability,Without Disability,0.8960618251111582,0.8740718477898043,0.918051802432512,2
2018,27,07966,all,All,0.8770090994132154,0.8542165053576742,0.8998016934687565,2
2018,27,07966,disability,With Disability,0.5398159263705482,0.38631545678092444,0.693316395960172,2
2018,27,07966,disability,Without Disability,0.8959292273839728,0.8751501108585751,0.9167083439093706,2
2018,27,17000,all,All,0.8582552047100794,0.8360090410725185,0.8805013683476404,3
2018,27,17000,disability,With Disability,0.5466855340599601,0.45839688203910645,0.6349741860808138,3
2018,27,17000,disability,Without Disability,0.8938751765168841,0.8738817040039604,0.9138686490298078,3
2018,27,43000,all,All,0.8502650960094827,0.8397912035307813,0.8607389884881842,2
2018,27,43000,disability,With Disability,0.5120575185580195,0.45222917156191167,0.5718858655541273,2
2018,27,43000,disability,Without Disability,0.8810053719946261,0.8708223548961355,0.8911883890931168,2
2018,27,51730,all,All,0.8908703809102215,0.8723698008649732,0.9093709609554699,2
2018,27,51730,disability,With Disability,NA,NA,NA,NA
2018,27,51730,disability,Without Disability,0.903363365990203,0.8842313987934634,0.9224953331869425,2
2018,27,54880,all,All,0.8593978270725933,0.835618807579197,0.8831768465659895,2
2018,27,54880,disability,With Disability,0.6032887975334018,0.4623378873699421,0.7442397076968615,2
2018,27,54880,disability,Without Disability,0.8773064553800823,0.8553306732720001,0.8992822374881646,2
2018,27,58000,all,All,0.8174968506619552,0.8008164048725459,0.8341772964513645,1
2018,27,58000,disability,With Disability,0.4810915522614335,0.41694131223757247,0.5452417922852946,1
2018,27,58000,disability,Without Disability,0.8524277618414609,0.8366062030730702,0.8682493206098515,1
