year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,115,race-ethnicity,Hispanic,0.6613242249080399,2
2018,01,115,race-ethnicity,Other Races and Ethnicities,0,2
2018,01,115,race-ethnicity,"White, Non-Hispanic",0.7196765498652291,2
2018,01,115,all,All,0.7213033204825271,2
2018,01,117,race-ethnicity,"Black, Non-Hispanic",0.8653546535465355,1
2018,01,117,race-ethnicity,Hispanic,0.6540906017579445,1
2018,01,117,race-ethnicity,Other Races and Ethnicities,0.7162162162162162,1
2018,01,117,race-ethnicity,"White, Non-Hispanic",0.8036117730803751,1
2018,01,117,all,All,0.7965975313173955,1
2018,01,119,race-ethnicity,"Black, Non-Hispanic",0.5490778813662825,3
2018,01,119,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,119,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,119,all,All,0.6030012647144664,3
2018,01,121,race-ethnicity,"Black, Non-Hispanic",0.6445486698446871,2
2018,01,121,race-ethnicity,Hispanic,0.34027777777777773,2
2018,01,121,race-ethnicity,Other Races and Ethnicities,0.5198135198135199,2
2018,01,121,race-ethnicity,"White, Non-Hispanic",0.7436266243428231,2
2018,01,121,all,All,0.7148604011736267,2
2018,01,123,race-ethnicity,"Black, Non-Hispanic",0.7363931386184516,3
2018,01,123,race-ethnicity,Hispanic,0.7511904761904762,3
2018,01,123,race-ethnicity,Other Races and Ethnicities,0.5538039753255654,3
2018,01,123,race-ethnicity,"White, Non-Hispanic",0.6356784722000447,3
2018,01,123,all,All,0.6645565573246371,3
2018,01,125,race-ethnicity,"Black, Non-Hispanic",0.758555038268005,1
2018,01,125,race-ethnicity,Hispanic,0.8970191608482738,1
2018,01,125,race-ethnicity,Other Races and Ethnicities,0.6424983735907572,1
2018,01,125,race-ethnicity,"White, Non-Hispanic",0.7876504937083021,1
2018,01,125,all,All,0.7785500215343878,1
2018,01,127,race-ethnicity,"Black, Non-Hispanic",0.4000805801772765,2
2018,01,127,race-ethnicity,Hispanic,0.7041860465116279,2
2018,01,127,race-ethnicity,Other Races and Ethnicities,0.724689165186501,2
2018,01,127,race-ethnicity,"White, Non-Hispanic",0.7157670186050279,2
2018,01,127,all,All,0.6965470318081306,2
2018,01,129,race-ethnicity,"Black, Non-Hispanic",0.5943619431160332,3
2018,01,129,race-ethnicity,Hispanic,0.3746478873239437,3
2018,01,129,race-ethnicity,Other Races and Ethnicities,0.6519963702359346,3
2018,01,129,race-ethnicity,"White, Non-Hispanic",0.6489555778527776,3
2018,01,129,all,All,0.6224577226606539,3
2018,01,131,race-ethnicity,"Black, Non-Hispanic",0.5943619431160332,3
2018,01,131,race-ethnicity,Hispanic,0.37464788732394366,3
2018,01,131,race-ethnicity,Other Races and Ethnicities,0.6519963702359347,3
2018,01,131,race-ethnicity,"White, Non-Hispanic",0.6489555778527776,3
2018,01,131,all,All,0.6224577226606539,3
2018,01,133,race-ethnicity,"Black, Non-Hispanic",0.8082191780821918,3
2018,01,133,race-ethnicity,Hispanic,0.7685439560439561,3
2018,01,133,race-ethnicity,Other Races and Ethnicities,0.6121128062875635,3
2018,01,133,race-ethnicity,"White, Non-Hispanic",0.7149439852547304,3
2018,01,133,all,All,0.7117294675967947,3
2018,02,013,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,013,race-ethnicity,Hispanic,0.9162759544541191,3
2018,02,013,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,013,race-ethnicity,"White, Non-Hispanic",0.8878243884289834,3
2018,02,013,all,All,0.7150504266873546,3
2018,02,016,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,016,race-ethnicity,Hispanic,0.9162759544541194,3
2018,02,016,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,016,race-ethnicity,"White, Non-Hispanic",0.8878243884289835,3
2018,02,016,all,All,0.7150504266873545,3
2018,02,020,race-ethnicity,"Black, Non-Hispanic",0.7871559633027523,1
2018,02,020,race-ethnicity,Hispanic,0.7434223944523761,1
2018,02,020,race-ethnicity,Other Races and Ethnicities,0.7453044697087681,1
2018,02,020,race-ethnicity,"White, Non-Hispanic",0.8865034526051475,1
2018,02,020,all,All,0.8316824265832057,1
2018,02,050,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,050,race-ethnicity,Hispanic,0.9162759544541192,3
2018,02,050,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,050,race-ethnicity,"White, Non-Hispanic",0.8878243884289835,3
2018,02,050,all,All,0.7150504266873545,3
2018,02,060,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,060,race-ethnicity,Hispanic,0.9162759544541191,3
2018,02,060,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,060,race-ethnicity,"White, Non-Hispanic",0.8878243884289834,3
2018,02,060,all,All,0.7150504266873545,3
2018,02,063,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,063,race-ethnicity,Hispanic,0.870957361222848,3
2018,02,063,race-ethnicity,Other Races and Ethnicities,0.7836241962996982,3
2018,02,063,race-ethnicity,"White, Non-Hispanic",0.8289787243178256,3
2018,02,063,all,All,0.8285227030483906,3
2018,02,066,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,066,race-ethnicity,Hispanic,0.870957361222848,3
2018,02,066,race-ethnicity,Other Races and Ethnicities,0.7836241962996983,3
2018,02,066,race-ethnicity,"White, Non-Hispanic",0.8289787243178257,3
2018,02,066,all,All,0.8285227030483905,3
2018,02,068,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,068,race-ethnicity,Hispanic,0.8709573612228478,3
2018,02,068,race-ethnicity,Other Races and Ethnicities,0.7836241962996983,3
2018,02,068,race-ethnicity,"White, Non-Hispanic",0.8289787243178256,3
2018,02,068,all,All,0.8285227030483906,3
2018,02,070,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,070,race-ethnicity,Hispanic,0.9162759544541192,3
2018,02,070,race-ethnicity,Other Races and Ethnicities,0.6279141222107001,3
2018,02,070,race-ethnicity,"White, Non-Hispanic",0.8878243884289834,3
2018,02,070,all,All,0.7150504266873545,3
2018,02,090,race-ethnicity,"Black, Non-Hispanic",1,2
2018,02,090,race-ethnicity,Hispanic,0.870957361222848,2
2018,02,090,race-ethnicity,Other Races and Ethnicities,0.7836241962996982,2
2018,02,090,race-ethnicity,"White, Non-Hispanic",0.8289787243178257,2
2018,02,090,all,All,0.8285227030483905,2
2018,02,100,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,100,race-ethnicity,Hispanic,0.870957361222848,3
2018,02,100,race-ethnicity,Other Races and Ethnicities,0.7836241962996983,3
2018,02,100,race-ethnicity,"White, Non-Hispanic",0.8289787243178257,3
2018,02,100,all,All,0.8285227030483906,3
2018,02,105,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,105,race-ethnicity,Hispanic,0.9162759544541192,3
2018,02,105,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,105,race-ethnicity,"White, Non-Hispanic",0.8878243884289834,3
2018,02,105,all,All,0.7150504266873545,3
2018,02,110,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,110,race-ethnicity,Hispanic,0.8709573612228481,3
2018,02,110,race-ethnicity,Other Races and Ethnicities,0.7836241962996982,3
2018,02,110,race-ethnicity,"White, Non-Hispanic",0.8289787243178256,3
2018,02,110,all,All,0.8285227030483905,3
2018,02,122,race-ethnicity,"Black, Non-Hispanic",1,2
2018,02,122,race-ethnicity,Hispanic,0.9143214509068167,2
2018,02,122,race-ethnicity,Other Races and Ethnicities,0.6523728591972807,2
2018,02,122,race-ethnicity,"White, Non-Hispanic",0.7437397331623863,2
2018,02,122,all,All,0.7421835292574557,2
2018,02,130,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,130,race-ethnicity,Hispanic,0.870957361222848,3
2018,02,130,race-ethnicity,Other Races and Ethnicities,0.7836241962996982,3
2018,02,130,race-ethnicity,"White, Non-Hispanic",0.8289787243178256,3
2018,02,130,all,All,0.8285227030483905,3
2018,02,150,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,150,race-ethnicity,Hispanic,0.9162759544541191,3
2018,02,150,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,150,race-ethnicity,"White, Non-Hispanic",0.8878243884289833,3
2018,02,150,all,All,0.7150504266873546,3
2018,02,158,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,158,race-ethnicity,Hispanic,0.9162759544541192,3
2018,02,158,race-ethnicity,Other Races and Ethnicities,0.6279141222107002,3
2018,02,158,race-ethnicity,"White, Non-Hispanic",0.8878243884289833,3
2018,02,158,all,All,0.7150504266873544,3
2018,02,164,race-ethnicity,"Black, Non-Hispanic",1,3
2018,02,164,race-ethnicity,Hispanic,0.9162759544541191,3
