year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,Alaska,"North Slope Borough, Alaska",.0197368,1,race-ethnicity,All
2023,Alaska,"North Slope Borough, Alaska",.0198676,1,race-ethnicity,Majority Non-White
2023,Alaska,"North Slope Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Northwest Arctic Borough, Alaska",.0542636,1,race-ethnicity,All
2023,Alaska,"Northwest Arctic Borough, Alaska",.0542636,1,race-ethnicity,Majority Non-White
2023,Alaska,"Northwest Arctic Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Petersburg Borough, Alaska",0,1,race-ethnicity,All
2023,Alaska,"Petersburg Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Petersburg Borough, Alaska",0,1,race-ethnicity,Majority White
2023,Alaska,"Prince of Wales-Hyder Census Area, Alaska",.0273973,1,race-ethnicity,All
2023,Alaska,"Prince of Wales-Hyder Census Area, Alaska",.0243902,1,race-ethnicity,Majority Non-White
2023,Alaska,"Prince of Wales-Hyder Census Area, Alaska",.03125,1,race-ethnicity,Majority White
2023,Alaska,"Sitka City and Borough, Alaska",.0393013,1,race-ethnicity,All
2023,Alaska,"Sitka City and Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Sitka City and Borough, Alaska",.0393013,1,race-ethnicity,Majority White
2023,Alaska,"Skagway Municipality, Alaska",NA,3,race-ethnicity,All
2023,Alaska,"Skagway Municipality, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Skagway Municipality, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Southeast Fairbanks Census Area, Alaska",.0410959,1,race-ethnicity,All
2023,Alaska,"Southeast Fairbanks Census Area, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Southeast Fairbanks Census Area, Alaska",.0373832,1,race-ethnicity,Majority White
2023,Alaska,"Wrangell City and Borough, Alaska",.0166667,1,race-ethnicity,All
2023,Alaska,"Wrangell City and Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Wrangell City and Borough, Alaska",.0166667,1,race-ethnicity,Majority White
2023,Alaska,"Yakutat City and Borough, Alaska",NA,3,race-ethnicity,All
2023,Alaska,"Yakutat City and Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Yakutat City and Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Yukon-Koyukuk Census Area, Alaska",.0315789,1,race-ethnicity,All
2023,Alaska,"Yukon-Koyukuk Census Area, Alaska",.0344828,1,race-ethnicity,Majority Non-White
2023,Alaska,"Yukon-Koyukuk Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Arizona,"Apache County, Arizona",.0651934,1,race-ethnicity,All
2023,Arizona,"Apache County, Arizona",.0488923,1,race-ethnicity,Majority Non-White
2023,Arizona,"Apache County, Arizona",.1077844,1,race-ethnicity,Majority White
2023,Arizona,"Cochise County, Arizona",.0624082,1,race-ethnicity,All
2023,Arizona,"Cochise County, Arizona",.1009989,1,race-ethnicity,Majority Non-White
2023,Arizona,"Cochise County, Arizona",.0514914,1,race-ethnicity,Majority White
2023,Arizona,"Coconino County, Arizona",.0655257,1,race-ethnicity,All
2023,Arizona,"Coconino County, Arizona",.0741127,1,race-ethnicity,Majority Non-White
2023,Arizona,"Coconino County, Arizona",.063141,1,race-ethnicity,Majority White
2023,Arizona,"Gila County, Arizona",.0689445,1,race-ethnicity,All
2023,Arizona,"Gila County, Arizona",.1048035,1,race-ethnicity,Majority Non-White
2023,Arizona,"Gila County, Arizona",.0631206,1,race-ethnicity,Majority White
2023,Arizona,"Graham County, Arizona",.084,1,race-ethnicity,All
2023,Arizona,"Graham County, Arizona",.0857988,1,race-ethnicity,Majority Non-White
2023,Arizona,"Graham County, Arizona",.0802469,1,race-ethnicity,Majority White
2023,Arizona,"Greenlee County, Arizona",.1013825,1,race-ethnicity,All
2023,Arizona,"Greenlee County, Arizona",.1142857,1,race-ethnicity,Majority Non-White
2023,Arizona,"Greenlee County, Arizona",.0779221,1,race-ethnicity,Majority White
2023,Arizona,"La Paz County, Arizona",.0365854,1,race-ethnicity,All
2023,Arizona,"La Paz County, Arizona",.0243902,1,race-ethnicity,Majority Non-White
2023,Arizona,"La Paz County, Arizona",.0528455,1,race-ethnicity,Majority White
2023,Arizona,"Maricopa County, Arizona",.055147,1,race-ethnicity,All
2023,Arizona,"Maricopa County, Arizona",.080244,1,race-ethnicity,Majority Non-White
2023,Arizona,"Maricopa County, Arizona",.0400224,1,race-ethnicity,Majority White
2023,Arizona,"Mohave County, Arizona",.044341,1,race-ethnicity,All
2023,Arizona,"Mohave County, Arizona",NA,3,race-ethnicity,Majority Non-White
2023,Arizona,"Mohave County, Arizona",.0439092,1,race-ethnicity,Majority White
2023,Arizona,"Navajo County, Arizona",.068,1,race-ethnicity,All
2023,Arizona,"Navajo County, Arizona",.0717629,1,race-ethnicity,Majority Non-White
2023,Arizona,"Navajo County, Arizona",.0654971,1,race-ethnicity,Majority White
2023,Arizona,"Pima County, Arizona",.0398417,1,race-ethnicity,All
2023,Arizona,"Pima County, Arizona",.0516297,1,race-ethnicity,Majority Non-White
2023,Arizona,"Pima County, Arizona",.0334583,1,race-ethnicity,Majority White
2023,Arizona,"Pinal County, Arizona",.0588462,1,race-ethnicity,All
2023,Arizona,"Pinal County, Arizona",.0670075,1,race-ethnicity,Majority Non-White
2023,Arizona,"Pinal County, Arizona",.0536956,1,race-ethnicity,Majority White
2023,Arizona,"Santa Cruz County, Arizona",.0505457,1,race-ethnicity,All
2023,Arizona,"Santa Cruz County, Arizona",.0546875,1,race-ethnicity,Majority Non-White
2023,Arizona,"Santa Cruz County, Arizona",.0195122,1,race-ethnicity,Majority White
2023,Arizona,"Yavapai County, Arizona",.0607091,1,race-ethnicity,All
2023,Arizona,"Yavapai County, Arizona",.1311475,1,race-ethnicity,Majority Non-White
2023,Arizona,"Yavapai County, Arizona",.0601835,1,race-ethnicity,Majority White
2023,Arizona,"Yuma County, Arizona",.0514295,1,race-ethnicity,All
2023,Arizona,"Yuma County, Arizona",.0548895,1,race-ethnicity,Majority Non-White
2023,Arizona,"Yuma County, Arizona",.0314193,1,race-ethnicity,Majority White
2023,Arkansas,"Arkansas County, Arkansas",.036036,1,race-ethnicity,All
