year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,041,Alabama,Crenshaw County,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,TRUE,White neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,17,Strong,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,TRUE,All,all,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,TRUE,White neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,TRUE,All,all,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,TRUE,White neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,TRUE,All,all,NA,NA,10,Strong,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,TRUE,White neighborhoods,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,11,Strong,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,TRUE,All,all,NA,NA,45,Strong,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,TRUE,White neighborhoods,race-ethnicity,NA,NA,45,Strong,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,41,Strong,NA,NA,NA,NA
