year,state,county,state_name,county_name,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2021,48,281,Texas,Lampasas County,With Disability,disability,NA,NA,NA,NA,0.503589646703193,0.4395774444804445,0.5676018489259415,Weak
2021,48,281,Texas,Lampasas County,Without Disability,disability,NA,NA,NA,NA,0.789001747278278,0.7693326595292159,0.80867083502734,Weak
2021,48,283,Texas,La Salle County,All,all,NA,NA,NA,NA,0.743577644961728,0.7185753595087314,0.7685799304147245,Weak
2021,48,283,Texas,La Salle County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,283,Texas,La Salle County,Without Disability,disability,NA,NA,NA,NA,0.7761070492481721,0.7509906800109492,0.801223418485395,Weak
2021,48,285,Texas,Lavaca County,All,all,NA,NA,NA,NA,0.7965850489300361,0.7787152167101774,0.8144548811498948,Weak
2021,48,285,Texas,Lavaca County,With Disability,disability,NA,NA,NA,NA,0.41124109867751774,0.3221062879603811,0.5003759093946544,Weak
2021,48,285,Texas,Lavaca County,Without Disability,disability,NA,NA,NA,NA,0.8300163276113146,0.8111572920734319,0.8488753631491973,Weak
2021,48,287,Texas,Lee County,All,all,NA,NA,NA,NA,0.7853645438463482,0.7597281257915189,0.8110009619011775,Weak
2021,48,287,Texas,Lee County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,287,Texas,Lee County,Without Disability,disability,NA,NA,NA,NA,0.8081180167597765,0.7841200200249632,0.8321160134945897,Weak
2021,48,289,Texas,Leon County,All,all,NA,NA,NA,NA,0.7755836697324067,0.7527368596587267,0.7984304798060866,Weak
2021,48,289,Texas,Leon County,With Disability,disability,NA,NA,NA,NA,0.4554140127388535,0.3781041028087253,0.5327239226689818,Weak
2021,48,289,Texas,Leon County,Without Disability,disability,NA,NA,NA,NA,0.8155898876404494,0.7925060311640917,0.8386737441168071,Weak
2021,48,291,Texas,Liberty County,All,all,0.935320013545547,0.8902410494211003,0.9803989776699936,Marginal,0.735202492211838,0.7083795374278586,0.7620254469958173,Marginal
2021,48,291,Texas,Liberty County,With Disability,disability,NA,NA,NA,NA,0.423744292237443,0.3257189455063578,0.5217696389685281,Marginal
2021,48,291,Texas,Liberty County,Without Disability,disability,0.9619926199261992,0.9233627639196996,1,Marginal,0.7659191209582995,0.7375399221712509,0.7942983197453481,Marginal
2021,48,293,Texas,Limestone County,All,all,0.9158690176322416,0.8709534707212578,0.9607845645432256,Weak,0.7440412632340965,0.7254342696723862,0.7626482567958067,Weak
2021,48,293,Texas,Limestone County,With Disability,disability,NA,NA,NA,NA,0.3834669181203834,0.3239980792555276,0.44293575698523935,Weak
2021,48,293,Texas,Limestone County,Without Disability,disability,0.9397315052842043,0.9071351488703332,0.9723278616980756,Weak,0.7909678475006137,0.7717983278429533,0.810137367158274,Weak
2021,48,295,Texas,Lipscomb County,All,all,NA,NA,NA,NA,0.7864122464448727,0.7678206196719981,0.8050038732177474,Weak
2021,48,295,Texas,Lipscomb County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,295,Texas,Lipscomb County,Without Disability,disability,NA,NA,NA,NA,0.8171042706799325,0.7994912115846241,0.8347173297752409,Weak
2021,48,297,Texas,Live Oak County,All,all,NA,NA,NA,NA,0.6897269397269397,0.6577233402066787,0.7217305392472007,Weak
2021,48,297,Texas,Live Oak County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,297,Texas,Live Oak County,Without Disability,disability,NA,NA,NA,NA,0.732204550406175,0.7024722090998909,0.7619368917124592,Weak
2021,48,299,Texas,Llano County,All,all,0.9027730229373502,0.8618572358012125,0.9436888100734878,Weak,0.7407886128265274,0.7199002427353269,0.7616769829177279,Weak
2021,48,299,Texas,Llano County,With Disability,disability,NA,NA,NA,NA,0.5035896467031928,0.43957744448044433,0.5676018489259413,Weak
2021,48,299,Texas,Llano County,Without Disability,disability,NA,NA,NA,NA,0.789001747278278,0.7693326595292159,0.80867083502734,Weak
2021,48,301,Texas,Loving County,All,all,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,301,Texas,Loving County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,301,Texas,Loving County,Without Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,303,Texas,Lubbock County,All,all,0.924449108079748,0.8966401668474739,0.9522580493120224,Strong,0.8193852488622408,0.8063770862049295,0.8323934115195522,Strong
2021,48,303,Texas,Lubbock County,With Disability,disability,0.8788659793814433,0.7707702597782512,0.9869616989846354,Strong,0.5305399822956625,0.47369159848559034,0.5873883661057346,Strong
2021,48,303,Texas,Lubbock County,Without Disability,disability,0.9282164157909684,0.9017960742826032,0.9546367572993336,Strong,0.8485836722113406,0.8358040383725949,0.8613633060500863,Strong
2021,48,305,Texas,Lynn County,All,all,NA,NA,NA,NA,0.7667170517526811,0.7450105940742618,0.7884235094311004,Weak
2021,48,305,Texas,Lynn County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,305,Texas,Lynn County,Without Disability,disability,NA,NA,NA,NA,0.8051078867055736,0.7849641087365833,0.825251664674564,Weak
2021,48,307,Texas,McCulloch County,All,all,NA,NA,NA,NA,0.7692451769994381,0.7449856743170034,0.7935046796818728,Weak
2021,48,307,Texas,McCulloch County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,307,Texas,McCulloch County,Without Disability,disability,NA,NA,NA,NA,0.8087732289572975,0.7836960054414426,0.8338504524731525,Weak
2021,48,309,Texas,McLennan County,All,all,0.9570400822199384,0.9348995999180902,0.9791805645217864,Strong,0.7973175701394953,0.7835152584309883,0.8111198818480023,Strong
2021,48,309,Texas,McLennan County,With Disability,disability,0.856492027334852,0.67033541229977045,1,Strong,0.4772518382352941,0.40663597319651335,0.5478677032740749,Strong
2021,48,309,Texas,McLennan County,Without Disability,disability,0.9617909805187816,0.9404397343667582,0.9831422266708052,Strong,0.8318737750874494,0.817459393623564,0.8462881565513348,Strong
2021,48,311,Texas,McMullen County,All,all,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,311,Texas,McMullen County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,311,Texas,McMullen County,Without Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,313,Texas,Madison County,All,all,NA,NA,NA,NA,0.7755836697324067,0.7527368596587268,0.7984304798060865,Weak
2021,48,313,Texas,Madison County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,313,Texas,Madison County,Without Disability,disability,NA,NA,NA,NA,0.8155898876404495,0.7925060311640919,0.8386737441168071,Weak
2021,48,315,Texas,Marion County,All,all,NA,NA,NA,NA,0.7171709911593473,0.6909495113723069,0.7433924709463878,Weak
2021,48,315,Texas,Marion County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,315,Texas,Marion County,Without Disability,disability,NA,NA,NA,NA,0.7605215066961242,0.734671602779798,0.7863714106124503,Weak
2021,48,317,Texas,Martin County,All,all,NA,NA,NA,NA,0.7692451769994381,0.7449856743170034,0.7935046796818728,Weak
2021,48,317,Texas,Martin County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,317,Texas,Martin County,Without Disability,disability,NA,NA,NA,NA,0.8087732289572976,0.7836960054414427,0.8338504524731526,Weak
2021,48,319,Texas,Mason County,All,all,NA,NA,NA,NA,0.7692451769994381,0.7449856743170032,0.7935046796818729,Weak
2021,48,319,Texas,Mason County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,319,Texas,Mason County,Without Disability,disability,NA,NA,NA,NA,0.8087732289572975,0.7836960054414427,0.8338504524731524,Weak
2021,48,321,Texas,Matagorda County,All,all,0.8952271750035833,0.8478058230450777,0.9426485269620888,Weak,0.7695865950701947,0.7495506843287163,0.789622505811673,Weak
2021,48,321,Texas,Matagorda County,With Disability,disability,NA,NA,NA,NA,0.4033362598770851,0.30835590269208124,0.4983166170620891,Weak
2021,48,321,Texas,Matagorda County,Without Disability,disability,0.9171329200060486,0.8752994177631312,0.958966422248966,Weak,0.8067446956335844,0.7880186674222894,0.8254707238448794,Weak
2021,48,323,Texas,Maverick County,All,all,0.8657379366040783,0.8014616239174555,0.9300142492907012,Weak,0.7435776449617281,0.7185753595087314,0.7685799304147247,Weak
2021,48,323,Texas,Maverick County,With Disability,disability,NA,NA,NA,NA,0.488810001543448,0.4044408022110239,0.573179200875872,Weak
2021,48,323,Texas,Maverick County,Without Disability,disability,0.8748395378690629,0.8087220844805592,0.9409569912575666,Weak,0.7761070492481721,0.7509906800109493,0.8012234184853949,Weak
2021,48,325,Texas,Medina County,All,all,0.7066950053134963,0.5558365339563266,0.857553476670666,Marginal,0.7797968326077355,0.7535969809570888,0.8059966842583821,Marginal
2021,48,325,Texas,Medina County,With Disability,disability,NA,NA,NA,NA,0.49487554904831627,0.39889793424149167,0.5908531638551409,Marginal
2021,48,325,Texas,Medina County,Without Disability,disability,NA,NA,NA,NA,0.8116494411448346,0.7879490626001232,0.835349819689546,Marginal
2021,48,327,Texas,Menard County,All,all,NA,NA,NA,NA,0.7692451769994382,0.7449856743170035,0.7935046796818729,Weak
2021,48,327,Texas,Menard County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,327,Texas,Menard County,Without Disability,disability,NA,NA,NA,NA,0.8087732289572975,0.7836960054414426,0.8338504524731525,Weak
2021,48,329,Texas,Midland County,All,all,0.8987377279102384,0.8346849740978185,0.9627904817226584,Strong,0.8289002888304522,0.8102477844592393,0.8475527932016651,Strong
2021,48,329,Texas,Midland County,With Disability,disability,NA,NA,NA,NA,0.6296755528001653,0.5310511790881226,0.728299926512208,Strong
