state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
06,13210,race-ethnicity,"White, Non-Hispanic",0.89514542,0.72753423,1.0627565,1,0,2
06,13214,all,All,NA,NA,NA,NA,0,2
06,13214,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,13214,race-ethnicity,Hispanic,NA,NA,NA,NA,0,3
06,13214,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
06,13392,all,All,1.048663,0.96873754,1.1285884,1,0,1
06,13392,race-ethnicity,"Black, Non-Hispanic",0.91254187,0.64533126,1.1797525,1,NA,NA
06,13392,race-ethnicity,Hispanic,1.0401945,0.97107863,1.1093104,1,0,1
06,13392,race-ethnicity,"White, Non-Hispanic",1.1441696,0.9840765,1.3042626,1,0,2
06,13588,all,All,NA,NA,NA,NA,0,1
06,13588,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,13588,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
06,13588,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,1
06,14218,all,All,1.1255575,1.0345609,1.2165542,1,0,1
06,14218,race-ethnicity,"Black, Non-Hispanic",1.1000241,0.72344112,1.4766071,2,NA,NA
06,14218,race-ethnicity,Hispanic,1.1628977,1.0544068,1.2713886,1,0,2
06,14218,race-ethnicity,"White, Non-Hispanic",1.0396799,0.94761086,1.1317489,1,0,1
06,15044,all,All,0.9584983,0.84166026,1.0753363,1,0,1
06,15044,race-ethnicity,"Black, Non-Hispanic",0.72031546,0.55489796,0.88573295,1,NA,NA
06,15044,race-ethnicity,Hispanic,1.0177728,0.92181402,1.1137316,1,0,1
06,15044,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,3
06,16000,all,All,1.0820061,0.97888082,1.1851313,1,0,1
06,16000,race-ethnicity,"Black, Non-Hispanic",0.85751247,0.52148533,1.1935396,1,NA,NA
06,16000,race-ethnicity,Hispanic,1.1470737,1.0310059,1.2631416,1,0,2
