year,state,county,state_name,county_name,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
2016,02,220,Alaska,Sitka City and Borough,race-ethnicity,Black,NA,NA
2016,02,220,Alaska,Sitka City and Borough,race-ethnicity,Other Races,NA,NA
2016,02,220,Alaska,Sitka City and Borough,race-ethnicity,White,NA,NA
2016,02,230,Alaska,Skagway Municipality,all,All,NA,NA
2016,02,230,Alaska,Skagway Municipality,race-ethnicity,Black,NA,NA
2016,02,230,Alaska,Skagway Municipality,race-ethnicity,Other Races,NA,NA
2016,02,230,Alaska,Skagway Municipality,race-ethnicity,White,NA,NA
2016,02,240,Alaska,Southeast Fairbanks Census Area,all,All,NA,NA
2016,02,240,Alaska,Southeast Fairbanks Census Area,race-ethnicity,Black,NA,NA
2016,02,240,Alaska,Southeast Fairbanks Census Area,race-ethnicity,Other Races,NA,NA
2016,02,240,Alaska,Southeast Fairbanks Census Area,race-ethnicity,White,NA,NA
2016,02,261,Alaska,Valdez-Cordova Census Area,all,All,NA,NA
2016,02,261,Alaska,Valdez-Cordova Census Area,race-ethnicity,Black,NA,NA
2016,02,261,Alaska,Valdez-Cordova Census Area,race-ethnicity,Other Races,NA,NA
2016,02,261,Alaska,Valdez-Cordova Census Area,race-ethnicity,White,NA,NA
2016,02,275,Alaska,Wrangell City and Borough,all,All,NA,NA
2016,02,275,Alaska,Wrangell City and Borough,race-ethnicity,Black,NA,NA
2016,02,275,Alaska,Wrangell City and Borough,race-ethnicity,Other Races,NA,NA
2016,02,275,Alaska,Wrangell City and Borough,race-ethnicity,White,NA,NA
2016,02,282,Alaska,Yakutat City and Borough,all,All,NA,NA
2016,02,282,Alaska,Yakutat City and Borough,race-ethnicity,Black,NA,NA
2016,02,282,Alaska,Yakutat City and Borough,race-ethnicity,Other Races,NA,NA
2016,02,282,Alaska,Yakutat City and Borough,race-ethnicity,White,NA,NA
2016,02,290,Alaska,Yukon-Koyukuk Census Area,all,All,NA,NA
2016,02,290,Alaska,Yukon-Koyukuk Census Area,race-ethnicity,Black,NA,NA
2016,02,290,Alaska,Yukon-Koyukuk Census Area,race-ethnicity,Other Races,NA,NA
