year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2021,02,050,industry,Leisure and Other,.5779646,1
2021,02,060,all,All,.9198543,1
2021,02,060,industry,Goods Producing,.9319976,3
2021,02,060,industry,Public Administration,1.176128,3
2021,02,060,industry,"Trade, Transit, Utilities",.8401639,1
2021,02,060,industry,Information Services,NA,NA
2021,02,060,industry,Professional Services,1.111491,3
2021,02,060,industry,Education and Health,1.057984,3
2021,02,060,industry,Leisure and Other,NA,NA
2021,02,063,all,All,NA,NA
2021,02,063,industry,Goods Producing,NA,NA
2021,02,063,industry,Public Administration,NA,NA
2021,02,063,industry,"Trade, Transit, Utilities",NA,NA
2021,02,063,industry,Information Services,NA,NA
2021,02,063,industry,Professional Services,NA,NA
2021,02,063,industry,Education and Health,NA,NA
2021,02,063,industry,Leisure and Other,NA,NA
2021,02,066,all,All,NA,NA
2021,02,066,industry,Goods Producing,NA,NA
2021,02,066,industry,Public Administration,NA,NA
2021,02,066,industry,"Trade, Transit, Utilities",NA,NA
