year,state,county,adults,children,wage
2021,01,069,2 Adults (1 Working),0 Children,23.84
2021,01,069,2 Adults (1 Working),1 Child,28.75
2021,01,069,2 Adults (1 Working),2 Children,34.17
2021,01,069,2 Adults (1 Working),3 Children,36.79
2021,01,069,2 Adults (Both Working),0 Children,11.92
2021,01,069,2 Adults (Both Working),1 Child,15.86
2021,01,069,2 Adults (Both Working),2 Children,20.05
2021,01,069,2 Adults (Both Working),3 Children,22.84
2021,01,071,1 Adult,0 Children,14.64
2021,01,071,1 Adult,1 Child,27.91
2021,01,071,1 Adult,2 Children,33.9
2021,01,071,1 Adult,3 Children,43.43
2021,01,071,2 Adults (1 Working),0 Children,24.04
2021,01,071,2 Adults (1 Working),1 Child,28.66
2021,01,071,2 Adults (1 Working),2 Children,34.09
2021,01,071,2 Adults (1 Working),3 Children,36.34
2021,01,071,2 Adults (Both Working),0 Children,12.02
2021,01,071,2 Adults (Both Working),1 Child,15.67
2021,01,071,2 Adults (Both Working),2 Children,19.73
2021,01,071,2 Adults (Both Working),3 Children,22.2
2021,01,073,1 Adult,0 Children,17.4
2021,01,073,1 Adult,1 Child,31.37
2021,01,073,1 Adult,2 Children,38.46
2021,01,073,1 Adult,3 Children,50.11
2021,01,073,2 Adults (1 Working),0 Children,26.33
2021,01,073,2 Adults (1 Working),1 Child,31.03
2021,01,073,2 Adults (1 Working),2 Children,36.45
2021,01,073,2 Adults (1 Working),3 Children,39.72
2021,01,073,2 Adults (Both Working),0 Children,13.17
2021,01,073,2 Adults (Both Working),1 Child,17.41
2021,01,073,2 Adults (Both Working),2 Children,22.01
2021,01,073,2 Adults (Both Working),3 Children,25.53
2021,01,075,1 Adult,0 Children,14.8
2021,01,075,1 Adult,1 Child,28.17
2021,01,075,1 Adult,2 Children,34.89
2021,01,075,1 Adult,3 Children,45.58
2021,01,075,2 Adults (1 Working),0 Children,23.82
2021,01,075,2 Adults (1 Working),1 Child,28.19
2021,01,075,2 Adults (1 Working),2 Children,33.62
2021,01,075,2 Adults (1 Working),3 Children,36.28
2021,01,075,2 Adults (Both Working),0 Children,11.91
2021,01,075,2 Adults (Both Working),1 Child,15.81
2021,01,075,2 Adults (Both Working),2 Children,20.23
2021,01,075,2 Adults (Both Working),3 Children,23.27
2021,01,077,1 Adult,0 Children,15.15
