crosswalk_period,statefip,county,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,06,037,03728,1,0.0104,102511,0.0104,1.0001,1
2012,06,037,03729,1,0.0199,195763,0.0199,1.0001,1
2012,06,037,03730,1,0.0167,164376,0.0167,1.0001,1
2012,06,037,03731,1,0.011,108399,0.011,1.0001,1
2012,06,037,03732,1,0.018,176714,0.018,1.0001,1
2012,06,037,03733,1,0.0115,112679,0.0115,1.0001,1
2012,06,037,03734,1,0.0199,195576,0.0199,1.0001,1
2012,06,037,03735,1,0.0197,193764,0.0197,1.0001,1
2012,06,037,03736,1,0.0117,114737,0.0117,1.0001,1
2012,06,037,03737,1,0.0131,128448,0.0131,1.0001,1
2012,06,037,03738,1,0.0134,131401,0.0134,1.0001,1
2012,06,037,03739,1,0.017,166483,0.017,1.0001,1
2012,06,037,03740,1,0.0131,128628,0.0131,1.0001,1
2012,06,037,03741,1,0.0146,143492,0.0146,1.0001,1
2012,06,037,03742,1,0.0134,131781,0.0134,1.0001,1
2012,06,037,03743,1,0.0126,124007,0.0126,1.0001,1
2012,06,037,03744,1,0.0174,170583,0.0174,1.0001,1
2012,06,037,03745,1,0.0125,122254,0.0125,1.0001,1
2012,06,037,03746,1,0.0112,109831,0.0112,1.0001,1
2012,06,037,03747,1,0.0161,158277,0.0161,1.0001,1
2012,06,037,03748,1,0.0181,177765,0.0181,1.0001,1
2012,06,037,03749,1,0.0116,113695,0.0116,1.0001,1
2012,06,037,03750,1,0.0176,172913,0.0176,1.0001,1
2012,06,037,03751,1,0.0151,148133,0.0151,1.0001,1
2012,06,037,03752,1,0.0175,171357,0.0175,1.0001,1
2012,06,037,03753,1,0.0112,110238,0.0112,1.0001,1
2012,06,037,03754,1,0.0139,136000,0.0139,1.0001,1
2012,06,037,03755,1,0.0123,121204,0.0123,1.0001,1
2012,06,037,03756,1,0.012,117361,0.012,1.0001,1
2012,06,037,03757,1,0.016,156629,0.016,1.0001,1
2012,06,037,03758,1,0.0157,153930,0.0157,1.0001,1
2012,06,037,03759,1,0.0115,112990,0.0115,1.0001,1
2012,06,037,03760,1,0.0141,138043,0.0141,1.0001,1
2012,06,037,03761,1,0.0128,125349,0.0128,1.0001,1
2012,06,037,03762,1,0.0115,112822,0.0115,1.0001,1
2012,06,037,03763,1,0.0145,142620,0.0145,1.0001,1
2012,06,037,03764,1,0.0162,159116,0.0162,1.0001,1
2012,06,037,03765,1,0.0132,130093,0.0132,1.0001,1
2012,06,037,03766,1,0.0104,102211,0.0104,1.0001,1
2012,06,037,03767,1,0.0181,177298,0.0181,1.0001,1
2012,06,037,03768,1,0.0114,111454,0.0114,1.0001,1
2012,06,037,03769,1,0.0103,100665,0.0103,1.0001,1
2012,06,039,03900,1,1,150865,1,1,1
2012,06,041,04101,1,0.4154,104847,0.4154,1,1
2012,06,041,04102,1,0.5846,147562,0.5846,1,1
2012,06,043,00300,0.0955,1,18251,0.0955,0.0955,3
2012,06,045,03300,0.576,1,87841,0.576,0.576,2
2012,06,047,04701,1,0.409,104617,0.409,1,1
2012,06,047,04702,1,0.591,151176,0.591,1,1
2012,06,049,01500,0.0701,1,9686,0.0701,0.0701,3
2012,06,051,00300,0.0743,1,14202,0.0743,0.0743,3
2012,06,053,05301,1,0.4215,174967,0.4215,0.92244936,1
2012,06,053,05302,1,0.3932,163203,0.3932,0.92244936,1
2012,06,053,05303,0.5818,0.1852,76887,0.10774936,0.92244936,1
2012,06,055,05500,1,1,136484,1,1,1
2012,06,057,05700,0.9682,1,98764,0.9682,0.9682,1
2012,06,059,05901,1,0.059,177692,0.059,0.9999,1
2012,06,059,05902,1,0.0352,105909,0.0352,0.9999,1
2012,06,059,05903,1,0.066,198777,0.066,0.9999,1
2012,06,059,05904,1,0.0665,200200,0.0665,0.9999,1
2012,06,059,05905,1,0.0656,197457,0.0656,0.9999,1
2012,06,059,05906,1,0.0588,177007,0.0588,0.9999,1
2012,06,059,05907,1,0.063,189619,0.063,0.9999,1
2012,06,059,05908,1,0.0591,177943,0.0591,0.9999,1
2012,06,059,05909,1,0.0486,146177,0.0486,0.9999,1
2012,06,059,05910,1,0.0633,190565,0.0633,0.9999,1
2012,06,059,05911,1,0.0458,137924,0.0458,0.9999,1
2012,06,059,05912,1,0.0554,166905,0.0554,0.9999,1
2012,06,059,05913,1,0.0531,159887,0.0531,0.9999,1
2012,06,059,05914,1,0.0632,190243,0.0632,0.9999,1
2012,06,059,05915,1,0.0332,100044,0.0332,0.9999,1
2012,06,059,05916,1,0.0504,151620,0.0504,0.9999,1
2012,06,059,05917,1,0.0547,164806,0.0547,0.9999,1
2012,06,059,05918,1,0.059,177457,0.059,0.9999,1
2012,06,061,06101,1,0.3563,124136,0.3563,1.0001,1
2012,06,061,06102,1,0.3228,112465,0.3228,1.0001,1
2012,06,061,06103,1,0.321,111831,0.321,1.0001,1
2012,06,063,01500,0.1449,1,20007,0.1449,0.1449,3
2012,06,065,06501,1,0.0823,180218,0.0823,0.9999,1
2012,06,065,06502,1,0.0598,131017,0.0598,0.9999,1
2012,06,065,06503,1,0.0582,127500,0.0582,0.9999,1
2012,06,065,06504,1,0.0579,126833,0.0579,0.9999,1
2012,06,065,06505,1,0.0803,175913,0.0803,0.9999,1
2012,06,065,06506,1,0.0674,147650,0.0674,0.9999,1
2012,06,065,06507,1,0.0658,144045,0.0658,0.9999,1
2012,06,065,06508,1,0.0833,182352,0.0833,0.9999,1
2012,06,065,06509,1,0.0538,117862,0.0538,0.9999,1
2012,06,065,06510,1,0.0672,147162,0.0672,0.9999,1
2012,06,065,06511,1,0.0752,164560,0.0752,0.9999,1
2012,06,065,06512,1,0.0459,100465,0.0459,0.9999,1
2012,06,065,06513,1,0.0663,145277,0.0663,0.9999,1
2012,06,065,06514,1,0.0679,148672,0.0679,0.9999,1
2012,06,065,06515,1,0.0686,150115,0.0686,0.9999,1
2012,06,067,06701,1,0.0741,105079,0.0741,1,1
2012,06,067,06702,1,0.0781,110868,0.0781,1,1
2012,06,067,06703,1,0.0771,109370,0.0771,1,1
2012,06,067,06704,1,0.0844,119698,0.0844,1,1
2012,06,067,06705,1,0.0735,104243,0.0735,1,1
2012,06,067,06706,1,0.0822,116635,0.0822,1,1
2012,06,067,06707,1,0.0801,113698,0.0801,1,1
2012,06,067,06708,1,0.0938,133058,0.0938,1,1
2012,06,067,06709,1,0.0971,137826,0.0971,1,1
2012,06,067,06710,1,0.1076,152642,0.1076,1,1
2012,06,067,06711,1,0.0751,106501,0.0751,1,1
2012,06,067,06712,1,0.0769,109170,0.0769,1,1
2012,06,069,05303,0.4182,1,55269,0.4182,0.4182,2
2012,06,071,07101,1,0.0685,139447,0.0685,0.9999,1
2012,06,071,07102,1,0.0796,161996,0.0796,0.9999,1
2012,06,071,07103,1,0.0821,167046,0.0821,0.9999,1
2012,06,071,07104,1,0.0542,110315,0.0542,0.9999,1
2012,06,071,07105,1,0.0675,137401,0.0675,0.9999,1
2012,06,071,07106,1,0.0504,102661,0.0504,0.9999,1
2012,06,071,07107,1,0.0522,106289,0.0522,0.9999,1
2012,06,071,07108,1,0.0832,169385,0.0832,0.9999,1
2012,06,071,07109,1,0.0533,108455,0.0533,0.9999,1
2012,06,071,07110,1,0.0521,106132,0.0521,0.9999,1
2012,06,071,07111,1,0.0812,165176,0.0812,0.9999,1
2012,06,071,07112,1,0.0594,120986,0.0594,0.9999,1
2012,06,071,07113,1,0.0822,167275,0.0822,0.9999,1
2012,06,071,07114,1,0.0763,155212,0.0763,0.9999,1
