year,state,place,rate_affordable_available_80_ami,rate_affordable_available_50_ami,rate_affordable_available_30_ami,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,06,59444,45.99665856401487,14.103235611076729,6.431827510422389,0.6130392932818921,0.24627561834078457,0.11430811813516376,2,2,2
2022,06,59451,16.50153338051427,18.825422365245373,22.88861689106487,0.19845482425100255,0.22918342719227677,0.3084455324357405,1,1,1
2022,06,59920,39.19060971601803,19.104938861124936,11.315218851335196,0.5571087896652364,0.2915466515756052,0.17692818244546749,2,2,2
2022,06,60102,68.69497106678558,37.33725829727522,11.211303633804103,0.9049805227143776,0.5072682871416608,0.16040639419703306,2,2,2
2022,06,60466,50.852748872451556,30.8462227400453,21.282145623017815,0.6856040160434246,0.37487575012794994,0.29902104190581746,2,2,2
2022,06,60620,45.49687381400333,33.32107567763218,19.48857548447452,0.5536439467629692,0.45799704048584494,0.25724378501702094,2,2,2
2022,06,62000,40.55236926200761,15.277978603150363,7.826462901761413,0.5157720259298784,0.22503754687087463,0.10129430315517156,1,1,1
2022,06,62938,29.227965871400528,21.41332378018311,10.121064768918949,0.3838672628253833,0.2563625032277856,0.14209662400999232,1,1,1
2022,06,64000,54.78230465732301,30.885333931957838,16.651674846140118,0.7253621720926489,0.394246126742363,0.1813597471395909,1,1,1
2022,06,64224,55.310020123780234,26.40961162335848,25.833248910951273,0.7994836162053385,0.3290304554344789,0.32185188937291054,1,1,1
2022,06,65000,54.42344214733424,26.377863985778976,14.662264825376683,0.7014183900445028,0.4000819395038387,0.18235033992086205,2,2,2
2022,06,65042,43.28360902306726,30.64226644341493,18.90731411080206,0.5376956339417508,0.3399431160143517,0.20381624406431015,1,1,1
2022,06,66000,53.709122063723804,28.570159128416517,14.686917692122817,0.6912608880847259,0.3923760899753689,0.18379105354090855,1,1,1
2022,06,67000,69.4523885728445,59.74019198664441,48.25504939811849,0.9483620182330652,0.8162339017409969,0.6216857178181655,1,1,1
2022,06,68000,51.49478756487112,35.43309285896904,23.66974302887663,0.6825498433156822,0.4635920511928327,0.30336930096306086,1,1,1
2022,06,68084,52.19370137549605,32.16524046698105,17.77045417465773,0.7521244709204387,0.44850943467419385,0.2719510202117497,2,2,2
2022,06,68196,49.95960263183992,19.234493510581867,9.77559613301628,0.6349212467821264,0.22236228192423385,0.1406208120967734,2,2,2
2022,06,68252,49.16801453647422,30.335797406834686,13.749894418270658,0.6978721551953022,0.37260342768533633,0.17017767224991295,2,2,2
2022,06,68378,16.334185848252343,2.3022049286640724,NA,0.31585677749360613,0.05317769130998702,NA,2,2,NA
2022,06,69000,62.35900536112865,37.431283395684005,19.955727345126544,0.7719773270314909,0.47844176814340383,0.24300824060585555,1,1,1
2022,06,69070,59.64112421548074,28.359696244233284,16.595862068965516,0.7555599079743752,0.3639916457462797,0.20722758620689655,2,2,2
2022,06,69084,65.41070806135835,37.52032134041913,15.357656220264357,0.9622798735560212,0.5024449135860919,0.19392757714933623,2,2,2
2022,06,69088,24.057169961088164,16.06144286449406,10.170316055839436,0.334725478997089,0.21398916868250195,0.20743128560383137,1,1,1
2022,06,69196,51.36647585163786,36.78344093188991,19.60268181733674,0.6413262861350617,0.5138303969302228,0.21382553916979832,2,2,2
2022,06,70000,66.315463077079,40.19813959005586,16.89098897790055,0.9057317349758308,0.6110924252664639,0.27151072773667884,1,1,1
2022,06,70098,41.18994429949771,23.957330306948286,16.10889148841407,0.5361878429820486,0.3428473007150143,0.21153369844703696,1,1,1
2022,06,72016,NA,NA,NA,NA,NA,NA,1,1,1
2022,06,73080,59.48486013283901,41.70621800997452,11.051344743276283,0.7353879404897473,0.6064208329123573,0.17652811735941323,2,2,2
2022,06,75000,39.40241198614656,19.16692329168349,9.876827613712614,0.5549970461987083,0.2855703122683936,0.12084125186405774,1,1,1
2022,06,77000,67.70524323925964,24.580366738937062,12.07437077787126,1.125585468465301,0.39334479866773214,0.18279461714957856,1,1,1
2022,06,78120,11.106971790920001,8.077867963947568,2.1481676904444864,0.20761560735089252,0.10066532959107716,0.02157204079046588,1,1,1
2022,06,78582,24.39780723944688,12.02686696864085,11.627778431747474,0.3333689750488952,0.17426580206658931,0.21922063203882072,1,1,1
2022,06,80000,44.138091025230644,27.43810752682409,16.192824928357414,0.6731142316731463,0.3381871379714704,0.19452739312694847,1,1,1
2022,06,80238,23.180073566136137,24.69448888668124,NA,0.28596021511106146,0.33924836582979956,NA,2,2,NA
2022,06,80854,64.05249399207877,25.590239620132305,12.556128151554018,0.7991804842004782,0.31889766266886105,0.17100039812973566,3,3,3
2022,06,81344,27.999771988827455,16.72330347029142,7.752866678076329,0.37621843470330046,0.2395221913294202,0.08505904501112442,2,2,2
