year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,13,079,NA,NA,NA,NA
2018,13,081,NA,NA,NA,NA
2018,13,083,NA,NA,NA,NA
2018,13,085,NA,NA,NA,NA
2018,13,087,0.513479226133841,0.4283032579771563,0.5986551942905257,3
2018,13,089,0.5208749075009156,0.4781173494183636,0.5636324655834676,1
2018,13,091,0.4409583571021109,0.3528540802253459,0.5290626339788759,3
2018,13,093,NA,NA,NA,NA
2018,13,095,0.44865671641791055,0.35747753733599275,0.5398358954998284,1
2018,13,097,0.45880245649948825,0.3564456123617799,0.5611593006371967,1
2018,13,099,NA,NA,NA,NA
2018,13,101,NA,NA,NA,NA
2018,13,103,0.3558663558663556,0.2706999720724235,0.4410327396602877,2
2018,13,105,0.4982645584265326,0.39663892881750984,0.5998901880355554,3
2018,13,107,0.44095835710211084,0.35285408022534615,0.5290626339788755,3
2018,13,109,NA,NA,NA,NA
2018,13,111,NA,NA,NA,NA
2018,13,113,0.6493815413891532,0.5192986294831474,0.7794644532951589,1
2018,13,115,0.3464384828862163,0.27056198837900175,0.4223149773934309,2
2018,13,117,0.6551109671148551,0.5954493143230153,0.7147726199066948,1
2018,13,119,NA,NA,NA,NA
2018,13,121,0.5492099260316119,0.5078463890050272,0.5905734630581966,1
2018,13,123,0.3601774042950515,0.27659720329109155,0.4437576052990115,3
2018,13,125,NA,NA,NA,NA
2018,13,127,0.44294117647058817,0.36441575817508975,0.5214665947660866,2
2018,13,129,0.36017740429505135,0.2765972032910914,0.4437576052990113,3
2018,13,131,0.5134792261338404,0.42830325797715557,0.5986551942905254,3
2018,13,133,NA,NA,NA,NA
2018,13,135,0.4284463894967177,0.3842746248189869,0.4726181541744485,1
2018,13,137,0.32866043613707147,0.22819634122388566,0.4291245310502573,3
2018,13,139,0.3698301329394387,0.3023588478667565,0.43730141801212097,1
2018,13,141,NA,NA,NA,NA
2018,13,143,NA,NA,NA,NA
2018,13,145,0.549804393620223,0.45183061234572963,0.6477781748947165,3
2018,13,147,0.3286604361370716,0.22819634122388585,0.4291245310502573,3
2018,13,149,NA,NA,NA,NA
2018,13,151,0.3824324324324324,0.2945388337411624,0.4703260311237024,1
2018,13,153,0.41836035624571855,0.3176229866476104,0.5190977258438267,1
2018,13,155,NA,NA,NA,NA
2018,13,157,0.4413015737983833,0.36661467054483166,0.515988477051935,2
2018,13,159,NA,NA,NA,NA
2018,13,161,NA,NA,NA,NA
2018,13,163,NA,NA,NA,NA
2018,13,165,NA,NA,NA,NA
2018,13,167,NA,NA,NA,NA
2018,13,169,NA,NA,NA,NA
2018,13,171,NA,NA,NA,NA
2018,13,173,NA,NA,NA,NA
2018,13,175,0.44095835710211084,0.35285408022534615,0.5290626339788755,3
2018,13,177,0.4486567164179099,0.3574775373359921,0.5398358954998277,3
2018,13,179,0.45349772179040476,0.3685852318159206,0.5384102117648889,2
2018,13,181,NA,NA,NA,NA
2018,13,183,NA,NA,NA,NA
2018,13,185,0.4287969687401326,0.3324283856394734,0.5251655518407918,1
2018,13,187,NA,NA,NA,NA
2018,13,189,0.4581143740340031,0.37470591553541055,0.5415228325325957,3
2018,13,191,NA,NA,NA,NA
2018,13,193,NA,NA,NA,NA
2018,13,195,0.4982645584265332,0.3966389288175102,0.5998901880355563,3
2018,13,197,NA,NA,NA,NA
2018,13,199,NA,NA,NA,NA
2018,13,201,NA,NA,NA,NA
2018,13,205,0.5134792261338408,0.42830325797715607,0.5986551942905255,3
2018,13,207,NA,NA,NA,NA
2018,13,209,NA,NA,NA,NA
2018,13,211,NA,NA,NA,NA
2018,13,213,0.3601774042950517,0.2765972032910917,0.44375760529901165,3
2018,13,215,0.4866633938798886,0.4261315107286722,0.547195277031105,1
2018,13,217,0.517604891418933,0.4318066864142188,0.6034030964236471,2
2018,13,219,0.4982645584265332,0.3966389288175104,0.599890188035556,3
2018,13,221,NA,NA,NA,NA
2018,13,223,0.39409343984507383,0.2809336895478979,0.5072531901422498,1
2018,13,225,NA,NA,NA,NA
2018,13,227,0.36017740429505146,0.2765972032910913,0.44375760529901165,3
2018,13,229,NA,NA,NA,NA
2018,13,231,NA,NA,NA,NA
2018,13,233,0.34643848288621654,0.2705619883790021,0.422314977393431,3
2018,13,235,NA,NA,NA,NA
2018,13,237,NA,NA,NA,NA
2018,13,239,NA,NA,NA,NA
2018,13,241,NA,NA,NA,NA
2018,13,243,NA,NA,NA,NA
2018,13,245,0.41707449700924415,0.3181290161954433,0.516019977823045,1
2018,13,247,0.5176048914189333,0.43180668641421904,0.6034030964236475,2
2018,13,249,NA,NA,NA,NA
2018,13,251,NA,NA,NA,NA
2018,13,253,NA,NA,NA,NA
2018,13,255,0.5050134507214477,0.4230605842929776,0.5869663171499178,2
2018,13,257,0.3286604361370717,0.2281963412238857,0.42912453105025766,3
2018,13,259,NA,NA,NA,NA
2018,13,261,0.5498043936202232,0.4518306123457298,0.6477781748947165,3
2018,13,263,NA,NA,NA,NA
2018,13,265,NA,NA,NA,NA
2018,13,267,0.42629482071713154,0.34889379018912986,0.5036958512451333,3
2018,13,269,NA,NA,NA,NA
2018,13,271,NA,NA,NA,NA
2018,13,273,NA,NA,NA,NA
2018,13,275,0.4321378340365683,0.3047889480011517,0.5594867200719849,2
2018,13,277,0.41302485004284517,0.3221431499094499,0.5039065501762404,3
2018,13,279,0.42629482071713115,0.34889379018912925,0.503695851245133,3
2018,13,281,NA,NA,NA,NA
2018,13,283,NA,NA,NA,NA
2018,13,285,0.5732809430255403,0.4700956693152598,0.6764662167358209,2
2018,13,287,NA,NA,NA,NA
2018,13,289,NA,NA,NA,NA
2018,13,291,NA,NA,NA,NA
2018,13,293,NA,NA,NA,NA
2018,13,295,0.39694254085398034,0.2990525179008468,0.4948325638071139,2
2018,13,297,0.5471833512737712,0.4439559427811006,0.6504107597664417,2
2018,13,299,0.3211600429645543,0.24690878170701522,0.39541130422209336,3
2018,13,301,NA,NA,NA,NA
2018,13,303,NA,NA,NA,NA
2018,13,305,0.42629482071713126,0.34889379018912947,0.503695851245133,3
2018,13,307,NA,NA,NA,NA
2018,13,309,NA,NA,NA,NA
2018,13,311,NA,NA,NA,NA
2018,13,313,0.3392226148409894,0.252076096337327,0.4263691333446518,1
2018,13,315,NA,NA,NA,NA
2018,13,317,NA,NA,NA,NA
2018,13,319,NA,NA,NA,NA
2018,13,321,NA,NA,NA,NA
2018,15,001,0.45103674810100597,0.3499940615081775,0.5520794346938345,1
2018,15,003,0.4565447904803048,0.41734388770647485,0.4957456932541347,1
2018,15,005,NA,NA,NA,NA
2018,15,007,0.4444619753865571,0.3635330530056554,0.5253908977674587,3
2018,15,009,0.44446197538655674,0.36353305300565525,0.5253908977674582,2
2018,16,001,0.33790923402370743,0.2806041775174242,0.39521429052999063,1
2018,16,003,NA,NA,NA,NA
2018,16,005,0.2557686961356686,0.19660140517522046,0.31493598709611675,2
2018,16,007,NA,NA,NA,NA
2018,16,009,NA,NA,NA,NA
2018,16,011,0.31024515448319745,0.23158537687182415,0.3889049320945708,3
2018,16,013,0.2799431009957327,0.1945900635563422,0.3652961384351232,3
2018,16,015,NA,NA,NA,NA
2018,16,017,0.3517241379310345,0.2831007709530076,0.4203475049090614,2
2018,16,019,0.33309248554913296,0.2544685597241241,0.41171641137414183,1
2018,16,021,NA,NA,NA,NA
2018,16,023,NA,NA,NA,NA
2018,16,025,NA,NA,NA,NA
2018,16,027,0.3084436768419811,0.24086256583107044,0.37602478785289173,2
2018,16,029,NA,NA,NA,NA
2018,16,031,0.3497447118891319,0.25772350841666086,0.441765915361603,3
2018,16,033,NA,NA,NA,NA
2018,16,035,NA,NA,NA,NA
2018,16,037,NA,NA,NA,NA
2018,16,039,0.27994310099573244,0.1945900635563419,0.365296138435123,3
2018,16,041,NA,NA,NA,NA
2018,16,043,NA,NA,NA,NA
2018,16,045,NA,NA,NA,NA
2018,16,047,NA,NA,NA,NA
2018,16,049,NA,NA,NA,NA
2018,16,051,0.3132610139473101,0.23042059072266724,0.39610143717195295,3
2018,16,053,0.2799431009957325,0.19459006355634195,0.36529613843512304,3
2018,16,055,0.4434466791966786,0.35187854690174025,0.5350148114916169,1
2018,16,057,0.3517241379310341,0.28310077095300745,0.4203475049090607,3
2018,16,059,NA,NA,NA,NA
2018,16,061,NA,NA,NA,NA
2018,16,063,NA,NA,NA,NA
2018,16,065,0.3132610139473103,0.23042059072266738,0.39610143717195323,3
2018,16,067,0.2799431009957325,0.194590063556342,0.365296138435123,3
2018,16,069,0.3339749759384022,0.22268083188128152,0.4452691199955229,2
2018,16,071,NA,NA,NA,NA
2018,16,073,NA,NA,NA,NA
2018,16,075,NA,NA,NA,NA
2018,16,077,NA,NA,NA,NA
2018,16,079,NA,NA,NA,NA
2018,16,081,NA,NA,NA,NA
2018,16,083,0.34974471188913225,0.25772350841666136,0.44176591536160315,1
2018,16,085,NA,NA,NA,NA
2018,16,087,NA,NA,NA,NA
2018,17,001,0.45908699397071556,0.3636912660484747,0.5544827218929564,2
2018,17,003,NA,NA,NA,NA
2018,17,005,0.5614533068407611,0.4844351144180463,0.6384714992634759,3
2018,17,007,0.4402277039848197,0.32938433587391674,0.5510710720957226,2
2018,17,009,NA,NA,NA,NA
2018,17,011,0.5080264400377712,0.43120929538427955,0.5848435846912629,3
2018,17,013,NA,NA,NA,NA
2018,17,015,NA,NA,NA,NA
2018,17,017,NA,NA,NA,NA
2018,17,019,0.5372720063441713,0.4486036418712549,0.6259403708170876,1
2018,17,021,0.5344271901552885,0.4472967480499992,0.6215576322605778,3
2018,17,023,NA,NA,NA,NA
2018,17,025,NA,NA,NA,NA
2018,17,027,0.5614533068407616,0.4844351144180466,0.6384714992634766,3
2018,17,029,0.4983516483516485,0.3626595195856188,0.6340437771176782,2
2018,17,031,0.5396384387262978,0.5204253210789882,0.5588515563736074,1
2018,17,033,NA,NA,NA,NA
2018,17,035,NA,NA,NA,NA
2018,17,037,0.4383877159309021,0.3202545032026043,0.5565209286591999,1
2018,17,039,NA,NA,NA,NA
2018,17,041,NA,NA,NA,NA
2018,17,043,0.5767603438293324,0.5413375769184255,0.6121831107402392,1
2018,17,045,NA,NA,NA,NA
2018,17,047,NA,NA,NA,NA
2018,17,049,0.5614533068407612,0.48443511441804643,0.638471499263476,3
2018,17,051,0.5614533068407608,0.4844351144180463,0.6384714992634752,3
2018,17,053,NA,NA,NA,NA
2018,17,055,0.5223555070883319,0.4449479038797784,0.5997631102968853,3
2018,17,057,0.5858352578906852,0.5086381691277561,0.6630323466536144,3
2018,17,059,NA,NA,NA,NA
2018,17,061,NA,NA,NA,NA
2018,17,063,0.626602227358689,0.5325349104851687,0.7206695442322093,3
2018,17,065,NA,NA,NA,NA
2018,17,067,NA,NA,NA,NA
2018,17,069,NA,NA,NA,NA
2018,17,071,NA,NA,NA,NA
