year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,06,29000,gender,Male,0.9243934191205025,0.8720154404670576,0.9767713977739475,3
2018,06,30000,gender,Female,0.9635976859715606,0.9205404561482797,1,2
2018,06,30000,gender,Male,0.9192496639554355,0.8570315640663798,0.9814677638444912,2
2018,06,32548,gender,Female,0.8821219644715412,0.7924704823426442,0.9717734466004383,2
2018,06,32548,gender,Male,0.8482703478270471,0.7413569946547984,0.9551837009992958,2
2018,06,33000,gender,Female,0.9383883223210101,0.8922433660875584,0.9845332785544618,1
2018,06,33000,gender,Male,0.9434217223515564,0.8921776405357232,0.9946658041673896,1
2018,06,33182,gender,Female,0.8928164575816566,0.8148230568913924,0.9708098582719208,2
2018,06,33182,gender,Male,0.8872119721714423,0.8069784602744805,0.9674454840684041,2
2018,06,33434,gender,Female,0.8759078894923709,0.7988618746432606,0.9529539043414811,2
2018,06,33434,gender,Male,0.8529809618382355,0.7694452891179744,0.9365166345584965,2
2018,06,36000,gender,Female,0.9688092435275231,0.9271678152089091,1,3
2018,06,36000,gender,Male,0.9220709470530405,0.8498550642862899,0.9942868298197911,3
2018,06,36448,gender,Female,NA,NA,NA,NA
2018,06,36448,gender,Male,0.833372959703013,0.7432083185701464,0.9235376008358795,2
2018,06,36546,gender,Female,0.9203672114930667,0.8486736116086921,0.9920608113774412,1
2018,06,36546,gender,Male,0.8916162525998067,0.7968676006400415,0.9863649045595719,1
2018,06,36770,gender,Female,0.9861056258443202,0.9700519909110434,1,2
2018,06,36770,gender,Male,0.9791699732965513,0.959702215181952,0.9986377314111506,2
2018,06,37692,gender,Female,0.9342067599166058,0.8587790911075985,1,2
2018,06,37692,gender,Male,0.8720633595406703,0.78506400250657,0.9590627165747705,2
2018,06,39496,gender,Female,0.9808121716242325,0.9607278191885972,1,3
2018,06,39496,gender,Male,0.9521215169040164,0.9177569449940627,0.98648608881397,3
2018,06,39892,gender,Female,0.9838412583947928,0.9630814228211887,1,2
2018,06,39892,gender,Male,0.8807282240926377,0.8031570510191168,0.9582993971661586,2
2018,06,40130,gender,Female,0.8706233560746865,0.7974288446671811,0.943817867482192,1
2018,06,40130,gender,Male,0.8276011347661265,0.7461103104520932,0.9090919590801598,1
2018,06,41992,gender,Female,0.9558823529411764,0.9046003844411934,1,2
2018,06,41992,gender,Male,0.9396984924623115,0.8809829896068472,0.9984139953177759,2
2018,06,43000,gender,Female,0.8996369008993782,0.8645575991190332,0.9347162026797232,2
2018,06,43000,gender,Male,0.9077218380132649,0.8705013969306468,0.944942279095883,2
2018,06,44000,gender,Female,0.9109663446827323,0.8992320489477407,0.9227006404177239,1
2018,06,44000,gender,Male,0.8725105254028162,0.8580089612282276,0.8870120895774047,1
2018,06,45484,gender,Female,0.9050697450166952,0.8450520087339463,0.9650874812994442,3
2018,06,45484,gender,Male,0.8933529451427152,0.846043150739592,0.9406627395458385,3
2018,06,46842,gender,Female,0.9415882817802191,0.8857701264280756,0.9974064371323627,2
2018,06,46842,gender,Male,0.8799766255431175,0.8004043577416474,0.9595488933445876,2
2018,06,46898,gender,Female,0.9320942754232107,0.8849792085641844,0.9792093422822369,2
2018,06,46898,gender,Male,0.8828663216155732,0.8210673622157425,0.9446652810154039,2
2018,06,47766,gender,Female,NA,NA,NA,NA
2018,06,47766,gender,Male,0.9188231655205112,0.8441826656779459,0.9934636653630766,2
2018,06,48256,gender,Female,0.9565915106995029,0.8866437377248655,1,1
2018,06,48256,gender,Male,0.9544574277285247,0.897184839707243,1,1
2018,06,48354,gender,Female,0.9397676092415028,0.8902907119939355,0.9892445064890701,1
2018,06,48354,gender,Male,0.868664418681973,0.7948778208391537,0.9424510165247922,1
2018,06,49270,gender,Female,0.9393314163995603,0.899854237788679,0.9788085950104416,1
2018,06,49270,gender,Male,0.8736681109412314,0.8140807067248571,0.9332555151576057,1
2018,06,49670,gender,Female,1,1,1,2
2018,06,49670,gender,Male,0.9815536502987788,0.9592737548050398,1,2
2018,06,50076,gender,Female,0.9237009883449536,0.8383564442558105,1,2
2018,06,50076,gender,Male,0.9365838873287704,0.8774190991934493,0.9957486754640915,2
2018,06,50258,gender,Female,0.9378733572281959,0.8744314875334558,1,2
2018,06,50258,gender,Male,0.9572289156626506,0.9078984025472212,1,2
2018,06,51182,gender,Female,NA,NA,NA,NA
2018,06,51182,gender,Male,0.9862535492870752,0.971782915218562,1,3
2018,06,52526,gender,Female,0.923076923076923,0.8330238541698949,1,1
2018,06,52526,gender,Male,0.9290813898143742,0.875331459818824,0.9828313198099243,1
2018,06,53000,gender,Female,0.8670529139623466,0.8113933790375641,0.9227124488871291,3
2018,06,53000,gender,Male,0.820649341210084,0.7535414451565656,0.88775723726360245,3
2018,06,53322,gender,Female,0.938042207983389,0.8816377142803203,0.9944467016864577,2
2018,06,53322,gender,Male,0.9548866712971289,0.9092354974156984,1,2
2018,06,53896,gender,Female,0.9275337146210794,0.8773062297972677,0.977761199444891,1
2018,06,53896,gender,Male,0.8744449737919979,0.7905039893017104,0.9583859582822855,1
2018,06,53980,gender,Female,0.9504934576632851,0.9132762831780473,0.9877106321485228,2
2018,06,53980,gender,Male,0.9551609804153046,0.9212615254620898,0.9890604353685194,2
2018,06,54652,gender,Female,0.9230197742555559,0.8737574060800565,0.9722821424310554,1
2018,06,54652,gender,Male,0.8578998593936208,0.7917598456627801,0.9240398731244615,1
2018,06,55156,gender,Female,0.794820577432426,0.6972478733957176,0.8923932814691343,1
2018,06,55156,gender,Male,0.7814873699653676,0.6984001629592006,0.8645745769715346,1
2018,06,56000,gender,Female,0.9061206707071247,0.8021464581499167,1,3
2018,06,56000,gender,Male,0.9021521683670877,0.8087046013784296,0.9955997353557458,3
2018,06,56700,gender,Female,0.9074813113991125,0.8365971974586766,0.9783654253395484,2
2018,06,56700,gender,Male,0.9416917656619985,0.880444833022632,1,2
2018,06,57456,gender,Female,NA,NA,NA,NA
2018,06,57456,gender,Male,0.8865805727119596,0.7813873313088002,0.9917738141151189,2
2018,06,57792,gender,Female,NA,NA,NA,NA
2018,06,57792,gender,Male,0.9396984924623115,0.8809829896068472,0.9984139953177759,3
2018,06,58072,gender,Female,0.9409296811660074,0.9081566394422713,0.9737027228897435,1
2018,06,58072,gender,Male,0.8988768817178929,0.8482637705417901,0.9494899928939957,1
2018,06,59444,gender,Female,0.9282920469361147,0.8563248827643859,1,2
2018,06,59444,gender,Male,0.769041769041769,0.6471843698584784,0.8908991682250597,2
2018,06,59451,gender,Female,0.9632081681482614,0.9094717767737173,1,1
2018,06,59451,gender,Male,0.9428622365948104,0.8952707483277359,0.9904537248618849,1
2018,06,59920,gender,Female,0.9415538132573057,0.8702547462395575,1,2
2018,06,59920,gender,Male,0.8730964467005077,0.7852962619959649,0.9608966314050504,2
2018,06,60102,gender,Female,NA,NA,NA,NA
2018,06,60102,gender,Male,0.8759469133648546,0.8149002528980647,0.9369935738316446,2
2018,06,60466,gender,Female,0.9250856269142668,0.8633056525905793,0.9868656012379542,2
2018,06,60466,gender,Male,0.8364871944198464,0.7627153559548548,0.910259032884838,2
2018,06,60620,gender,Female,0.9005491171792637,0.8196041550307506,0.9814940793277768,2
2018,06,60620,gender,Male,0.9025498301768639,0.8503708009944044,0.9547288593593233,2
