year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,04,013,income,"Less than $50,000",0.22559294988032205,0.20429441449612468,0.24689148526451943,1
2014,04,015,all,All,0.3593570608495982,0.26065221905804614,0.4580619026411502,1
2014,04,015,income,"$50,000 or More",0.4278290993071593,0.2718857833889872,0.5837724152253314,1
2014,04,015,income,"Less than $50,000",0.3141441097979413,0.1917329487656318,0.4365552708302507,1
2014,04,017,all,All,0.37373899119295434,0.30882601297385076,0.4386519694120579,2
2014,04,017,income,"$50,000 or More",0.30998644374152734,0.2067671346003906,0.4132057528826641,2
2014,04,017,income,"Less than $50,000",0.4087301587301588,0.3278286493564129,0.4896316681039046,2
2014,04,019,all,All,0.36879739127018424,0.3340951068061522,0.4034996757342163,1
2014,04,019,income,"$50,000 or More",0.4336968547494863,0.3822541693900019,0.4851395401089707,1
2014,04,019,income,"Less than $50,000",0.3046367972476347,0.2566097453871499,0.3526638491081195,1
2014,04,021,all,All,0.25615411413309375,0.19895673274541595,0.3133514955207716,1
2014,04,021,income,"$50,000 or More",0.26686525452385146,0.1840149203587817,0.3497155886889212,1
2014,04,021,income,"Less than $50,000",0.24480636903939923,0.1637135661484675,0.32589917193033097,1
2014,04,023,all,All,0.3225919439579685,0.25318862873032305,0.3919952591856139,3
2014,04,023,income,"$50,000 or More",0.3416837782340862,0.2371930187953108,0.4461745376728615,3
2014,04,023,income,"Less than $50,000",0.3083969465648855,0.21765846352933296,0.399135429600438,3
2014,04,025,all,All,0.3672517827756445,0.2715868920645662,0.4629166734867228,1
2014,04,025,income,"$50,000 or More",0.3855271366188397,0.2329676254638045,0.5380866477738748,1
2014,04,025,income,"Less than $50,000",0.35291238374938816,0.2240964907845905,0.48172827671418583,1
2014,04,027,all,All,0.4136177194421657,0.328745933944269,0.4984895049400624,1
2014,04,027,income,"$50,000 or More",0.4195188071840054,0.3096110026266333,0.5294266117413775,1
2014,04,027,income,"Less than $50,000",0.4080788804071247,0.28985705270736284,0.5263007081068866,1
2014,05,001,all,All,NA,NA,NA,NA
2014,05,001,income,"$50,000 or More",NA,NA,NA,NA
2014,05,001,income,"Less than $50,000",NA,NA,NA,NA
2014,05,003,all,All,NA,NA,NA,NA
2014,05,003,income,"$50,000 or More",NA,NA,NA,NA
2014,05,003,income,"Less than $50,000",NA,NA,NA,NA
2014,05,005,all,All,0.4348860931655899,0.3296793312444468,0.5400928550867331,3
2014,05,005,income,"$50,000 or More",NA,NA,NA,NA
2014,05,005,income,"Less than $50,000",NA,NA,NA,NA
2014,05,007,all,All,0.32924361244624334,0.2673015514563147,0.391185673436172,1
2014,05,007,income,"$50,000 or More",0.4153278332609639,0.32982441844465715,0.5008312480772708,1
