year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,02,020,all,All,0.8471292351389734,0.7835667762649239,0.910691694013023,1
2014,02,020,gender,Female,0.8519299725796246,0.7653478588376698,0.9385120863215792,1
2014,02,020,gender,Male,0.8426812585499316,0.7635398550456526,0.9218226620542106,1
2014,02,050,all,All,0.7056551724137932,0.6409559728847799,0.7703543719428064,3
2014,02,050,gender,Female,0.7780645161290323,0.7071824068594098,0.8489466253986547,3
2014,02,050,gender,Male,0.651566265060241,0.5590852517295698,0.7440472783909121,3
2014,02,060,all,All,NA,NA,NA,NA
2014,02,060,gender,Female,NA,NA,NA,NA
2014,02,060,gender,Male,NA,NA,NA,NA
2014,02,063,all,All,NA,NA,NA,NA
2014,02,063,gender,Female,NA,NA,NA,NA
2014,02,063,gender,Male,NA,NA,NA,NA
2014,02,066,all,All,NA,NA,NA,NA
2014,02,066,gender,Female,NA,NA,NA,NA
2014,02,066,gender,Male,NA,NA,NA,NA
2014,02,068,all,All,NA,NA,NA,NA
2014,02,068,gender,Female,NA,NA,NA,NA
2014,02,068,gender,Male,NA,NA,NA,NA
2014,02,070,all,All,NA,NA,NA,NA
2014,02,070,gender,Female,NA,NA,NA,NA
2014,02,070,gender,Male,NA,NA,NA,NA
2014,02,090,all,All,0.8528875379939209,0.7795424729779191,0.9262326030099228,2
2014,02,090,gender,Female,0.9263264616424468,0.854981831783014,0.9976710915018796,2
2014,02,090,gender,Male,0.7928748964374482,0.6794241936170051,0.9063255992578914,2
2014,02,100,all,All,NA,NA,NA,NA
2014,02,100,gender,Female,NA,NA,NA,NA
2014,02,100,gender,Male,NA,NA,NA,NA
2014,02,105,all,All,NA,NA,NA,NA
2014,02,105,gender,Female,NA,NA,NA,NA
2014,02,105,gender,Male,NA,NA,NA,NA
2014,02,110,all,All,0.852887537993921,0.7795424729779192,0.9262326030099228,3
2014,02,110,gender,Female,NA,NA,NA,NA
2014,02,110,gender,Male,NA,NA,NA,NA
2014,02,122,all,All,0.7567567567567567,0.670806891945994,0.8427066215675194,2
2014,02,122,gender,Female,NA,NA,NA,NA
2014,02,122,gender,Male,0.7167516673205179,0.583873956647906,0.8496293779931298,2
2014,02,130,all,All,NA,NA,NA,NA
2014,02,130,gender,Female,NA,NA,NA,NA
2014,02,130,gender,Male,NA,NA,NA,NA
2014,02,150,all,All,0.705655172413793,0.6409559728847798,0.7703543719428063,3
2014,02,150,gender,Female,NA,NA,NA,NA
2014,02,150,gender,Male,NA,NA,NA,NA
2014,02,158,all,All,NA,NA,NA,NA
2014,02,158,gender,Female,NA,NA,NA,NA
2014,02,158,gender,Male,NA,NA,NA,NA
2014,02,164,all,All,NA,NA,NA,NA
