year,state,county,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality
2018,02,090,.09471646,1,.055955812,1,.13129771,1,.1277193,1
2016,02,068,0,1,0,1,0,1,0,1
2017,02,282,0,1,0,2,0,3,0,3
2017,02,198,.63834584,1,.55445546,1,.5,3,.60606062,1
2014,02,261,.21361186,1,.14622056,1,.25,3,.043478262,1
2017,02,068,0,1,0,1,0,1,0,1
2015,02,016,0,1,0,1,0,3,0,1
2015,02,100,.92882562,1,.91705072,1,1,3,.90909094,3
2015,02,158,1,1,1,3,,,,
2015,02,185,.74450415,1,.54054052,1,.69999999,3,.30000001,3
2015,02,188,.92222732,1,.9848485,1,1,3,1,3
2015,02,195,.4684096,1,.47272727,1,.5,3,.42857143,2
2015,02,198,.62905604,1,.540856,1,.66666669,3,.5714286,2
2016,02,013,.046025105,1,.125,2,,,0,3
2017,02,013,0,1,0,2,,,0,3
2018,02,170,.3143191,1,.30448836,1,.34375,1,.23551401,1
2014,02,290,.3216846,1,.03763441,1,0,2,.025641026,1
2015,02,020,.43310055,1,.24086866,1,.63936782,1,.53132921,1
2014,02,013,.83333331,1,.73076922,2,,,.66666669,3
2015,02,070,.99617589,1,.94915253,1,,,1,3
2017,02,158,1,1,1,3,1,3,,
2017,02,180,.91255605,1,.86813188,1,1,3,1,3
2018,02,261,.28920954,1,.24684271,1,.1,3,.35849056,1
2017,02,105,.31935483,1,.089887641,1,0,3,0,3
2014,02,198,.59945315,1,.50937498,1,.30000001,3,.51724136,2
2016,02,164,.70773637,1,.071428575,1,0,3,1,3
2015,02,105,.29139072,1,.1010101,1,0,3,0,3
