year,state,city,city_name,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,statename,state_abbr
2018,09,0937000,Hartford,.91272002,1,.87445039,1,.90334779,1,.93523294,1,Connecticut,CT
2018,09,0952000,New Haven,.56836307,1,.28932261,1,.61641467,1,.61068928,1,Connecticut,CT
2018,09,0955990,Norwalk,.10609966,1,.04160101,1,.1118177,1,.13320497,1,Connecticut,CT
2018,09,0973000,Stamford,.04680749,1,.020243675,1,.069606416,1,.054979719,1,Connecticut,CT
2018,09,0980000,Waterbury,.87716722,1,.7786811,1,.91408765,1,.9011634,1,Connecticut,CT
2018,11,1150000,Washington,.46352622,1,.031279892,1,.62581146,1,.20675778,1,,DC
2018,12,1207300,Boca Raton,.031810686,1,.032588273,1,.044294294,1,.024643607,1,Florida,FL
2018,12,1207875,Boynton Beach,.42287001,1,.14677827,1,.66271698,1,.39003062,1,Florida,FL
2018,12,1210275,Cape Coral,.026063437,1,.012613171,1,.057534248,1,.04193956,1,Florida,FL
2018,12,1212875,Clearwater,.28924087,1,.16220869,1,.46431255,1,.40204677,1,Florida,FL
2018,12,1214400,Coral Springs,.10576923,1,.047110699,1,.16464975,1,.11307873,1,Florida,FL
2018,12,1216475,Davie,.18546537,1,.091838911,1,.29605436,1,.19439608,1,Florida,FL
2018,12,1216725,Deerfield Beach,.81929511,1,.71916008,1,.91714466,1,.74317741,1,Florida,FL
2018,12,1217200,Deltona,.14733516,1,.14632678,1,.15575916,1,.14428727,1,Florida,FL
2018,12,1217935,Doral,0,1,0,1,0,1,0,1,Florida,FL
2018,12,1224000,Fort Lauderdale,.75154006,1,.37659574,1,.89330757,1,.65479118,1,Florida,FL
2018,12,1224125,Fort Myers,.29616541,1,.10314351,1,.46188852,1,.37336275,1,Florida,FL
2018,12,1225175,Gainesville,.22099122,1,.1020018,1,.3816922,1,.15418342,1,Florida,FL
2018,12,1230000,Hialeah,.84646761,1,.76176888,1,.9276213,1,.84339559,1,Florida,FL
2018,12,1232000,Hollywood,.70412016,1,.63262439,1,.75622869,1,.70558822,1,Florida,FL
2018,12,1232275,Homestead,.84358084,1,.80922693,1,.91842216,1,.82317722,1,Florida,FL
2018,12,1235000,Jacksonville,.43502313,1,.2210363,1,.62654442,1,.38907871,1,Florida,FL
2018,12,1236950,Kissimmee,.37952742,1,.30942076,1,.3548387,1,.40280139,1,Florida,FL
2018,12,1238250,Lakeland,.3324087,1,.25948182,1,.414545,1,.40037864,1,Florida,FL
2018,12,1239425,Largo,.1615666,1,.1462585,1,.21694089,1,.18052818,1,Florida,FL
2018,12,1243975,Melbourne,.44501296,1,.37666243,1,.70785874,1,.51992995,1,Florida,FL
2018,12,1245000,Miami,.56648219,1,.18914126,1,.82453996,1,.53594124,1,Florida,FL
2018,12,1245025,Miami Beach,.23766483,1,.091379307,1,.2754491,1,.29214731,1,Florida,FL
2018,12,1245060,Miami Gardens,.94273186,1,.96190476,1,.96333331,1,.89713544,1,Florida,FL
2018,12,1245975,Miramar,.45878947,1,.21322957,1,.63712585,1,.25427914,1,Florida,FL
2018,12,1249675,North Port,.077803716,1,.071953252,1,.083969466,1,.082439676,1,Florida,FL
2018,12,1253000,Orlando,.34641579,1,.11380231,1,.62761486,1,.32633194,1,Florida,FL
2018,12,1254000,Palm Bay,.55583888,1,.51272041,1,.62251264,1,.57176,1,Florida,FL
2018,12,1254200,Palm Coast,.27812055,1,.25843057,1,.33913043,1,.28405619,1,Florida,FL
2018,12,1255775,Pembroke Pines,.12866902,1,.063221276,1,.23491916,1,.10831957,1,Florida,FL
2018,12,1257425,Plantation,.43246582,1,.16355141,1,.65345514,1,.25939119,1,Florida,FL
2018,12,1258050,Pompano Beach,.8687923,1,.58241206,1,.95505911,1,.87356603,1,Florida,FL
2018,12,1258715,Port St. Lucie,0,1,0,1,0,1,0,1,Florida,FL
2018,12,1263000,St. Petersburg,0,1,0,1,0,1,0,1,Florida,FL
2018,12,1269700,Sunrise,.52947271,1,.47226277,1,.58389121,1,.47866955,1,Florida,FL
2018,12,1270600,Tallahassee,.31678864,1,.11143202,1,.52719957,1,.34138614,1,Florida,FL
2018,12,1271000,Tampa,.50865471,1,.23770164,1,.7335903,1,.59220952,1,Florida,FL
2018,12,1276600,West Palm Beach,.81911683,1,.46757871,1,.92693323,1,.87901378,1,Florida,FL
2018,13,1303440,Athens,1,1,1,1,1,1,1,1,Georgia,GA
2018,13,1304000,Atlanta,.46766847,1,.043454122,1,.67777503,1,.34856528,1,Georgia,GA
2018,13,1304204,Augusta,.99732232,1,.99392653,1,.99770063,1,.99831223,1,Georgia,GA
2018,13,1319000,Columbus,.74613684,1,.45992059,1,.88069439,1,.75295913,1,Georgia,GA
2018,13,1342425,Johns Creek,0,1,0,1,0,1,0,1,Georgia,GA
2018,13,1349008,Macon,.99453312,1,.99129891,1,.99536783,1,.9957338,1,Georgia,GA
2018,13,1367284,Roswell,.13302974,1,.038026124,1,.15019763,1,.31468004,1,Georgia,GA
2018,13,1368516,Sandy Springs,0,1,0,1,0,1,0,1,Georgia,GA
2018,13,1369000,Savannah,.54409069,1,.21708328,1,.70382524,1,.5065617,1,Georgia,GA
2018,13,1380508,Warner Robins,.63149971,1,.47944739,1,.76313746,1,.68663597,1,Georgia,GA
2018,15,1571550,Honolulu,.042468153,1,.0020911752,1,.0031545742,1,.033393502,1,Hawaii,HI
2018,16,1608830,Boise,.14366816,1,.1260386,1,.20433018,1,.22375,1,Idaho,ID
2018,16,1652120,Meridian,.018952021,1,.016994676,1,.043835618,1,.034832601,1,Idaho,ID
2018,16,1656260,Nampa,.27274835,1,.2489585,1,.19135803,1,.3082594,1,Idaho,ID
2018,17,1702154,Arlington Heights,0,1,0,1,0,1,0,1,Illinois,IL
2018,17,1703012,Aurora,.44904947,1,.099782832,1,.41142133,1,.69684106,1,Illinois,IL
2018,17,1706613,Bloomington,.32360041,1,.26166147,1,.41707921,1,.49050087,1,Illinois,IL
2018,17,1712385,Champaign,.31415516,1,.19819278,1,.40172413,1,.38557214,1,Illinois,IL
2018,17,1714000,Chicago,.79902977,1,.33560565,1,.89019299,1,.86303627,1,Illinois,IL
2018,17,1714351,Cicero,.99262547,1,1,1,.9831081,1,.99277484,1,Illinois,IL
2018,17,1723074,Elgin,.78945667,1,.45924765,1,.8606928,1,.88655561,1,Illinois,IL
2018,17,1724582,Evanston,.036719594,1,.018419975,1,.0613801,1,.055681303,1,Illinois,IL
2018,17,1738570,Joliet,.65163118,1,.33755529,1,.71667743,1,.76396412,1,Illinois,IL
2018,17,1751622,Naperville,0,1,0,1,0,1,0,1,Illinois,IL
2018,17,1759000,Peoria,.68213719,1,.41650754,1,.85528183,1,.78453737,1,Illinois,IL
2018,17,1765000,Rockford,.75924766,1,.65105104,1,.8271094,1,.81269449,1,Illinois,IL
2018,17,1768003,Schaumburg,0,1,0,1,0,1,0,1,Illinois,IL
2018,17,1772000,Springfield,.63737124,1,.58672774,1,.71921867,1,.6025641,1,Illinois,IL
2018,17,1779293,Waukegan,.98189819,1,.9931857,1,.98511499,1,.9812929,1,Illinois,IL
2018,18,1805860,Bloomington,.13065489,1,.11131899,1,.32102728,1,.18906942,1,Indiana,IN
2018,18,1810342,Carmel,0,1,0,1,0,1,0,1,Indiana,IN
2018,18,1822000,Evansville,.43029624,1,.35436133,1,.6775924,1,.55555558,1,Indiana,IN
2018,18,1823278,Fishers,0,1,0,1,0,1,0,1,Indiana,IN
2018,18,1825000,Fort Wayne,.50422239,1,.31176713,1,.74760461,1,.73315364,1,Indiana,IN
2018,18,1831000,Hammond,.95698577,1,.95156527,1,.94770962,1,.96768951,1,Indiana,IN
2018,18,1836003,Indianapolis,.58479905,1,.38597116,1,.72518766,1,.70545918,1,Indiana,IN
2018,18,1871000,South Bend,.72941047,1,.63389045,1,.80351084,1,.73784977,1,Indiana,IN
2018,19,1912000,Cedar Rapids,.21215853,1,.15272678,1,.39463049,1,.27723464,1,Iowa,IA
2018,19,1919000,Davenport,.35124928,1,.29498526,1,.43031123,1,.4003984,1,Iowa,IA
2018,19,1921000,Des Moines,.57878709,1,.43370068,1,.6668607,1,.7108565,1,Iowa,IA
2018,19,1973335,Sioux City,.18753938,1,.14302513,1,.25331971,1,.2345808,1,Iowa,IA
2018,20,2036000,Kansas City,.86215091,1,.66477776,1,.89207274,1,.92581713,1,Kansas,KS
2018,20,2038900,Lawrence,.085909203,1,.069343068,1,.1193634,1,.12809917,1,Kansas,KS
2018,20,2052575,Olathe,.037537634,1,.016111966,1,.036235087,1,.12744722,1,Kansas,KS
2018,20,2053775,Overland Park,0,1,0,1,0,1,0,1,Kansas,KS
2018,20,2071000,Topeka,.54202884,1,.3899079,1,.79845816,1,.76423246,1,Kansas,KS
2018,20,2079000,Wichita,.72315741,1,.56706709,1,.81084222,1,.86809033,1,Kansas,KS
2018,21,2146027,Lexington,.32545787,1,.22570638,1,.47760728,1,.45695364,1,Kentucky,KY
2018,21,2148006,Louisville,.63186437,1,.53563923,1,.73162687,1,.71219993,1,Kentucky,KY
2018,22,2205000,Baton Rouge,.45587939,1,.068685167,1,.59176964,1,.40732318,1,Louisiana,LA
2018,22,2240735,Lafayette,.34953365,1,.13930462,1,.53718853,1,.31824234,1,Louisiana,LA
2018,22,2241155,Lake Charles,.43878126,1,.12348808,1,.72540945,1,.4605968,1,Louisiana,LA
2018,22,2255000,New Orleans,.7584945,1,.21718061,1,.84378195,1,.67095715,1,Louisiana,LA
2018,22,2270000,Shreveport,.50133228,1,.10681164,1,.66988355,1,.44261065,1,Louisiana,LA
2018,24,2404000,Baltimore,.74438232,1,.47467178,1,.85382229,1,.83630431,1,Maryland,MD
2018,24,2430325,Frederick,.12377577,1,.038884193,1,.14095613,1,.25298691,1,Maryland,MD
2018,25,2507000,Boston,.53047711,1,.17139907,1,.65250546,1,.65178818,1,Massachusetts,MA
2018,25,2509000,Brockton,.5838517,1,.4877544,1,.5920549,1,.66094583,1,Massachusetts,MA
2018,25,2511000,Cambridge,0,1,0,1,0,1,0,1,Massachusetts,MA
2018,25,2523000,Fall River,.772888,1,.69073659,1,.88083416,1,.89543307,1,Massachusetts,MA
2018,25,2534550,Lawrence,1,1,1,1,1,1,1,1,Massachusetts,MA
2018,25,2537000,Lowell,.91544616,1,.88642591,1,.96816975,1,.92607355,1,Massachusetts,MA
2018,25,2537490,Lynn,.87522519,1,.69928402,1,.89530891,1,.91998899,1,Massachusetts,MA
2018,25,2545000,New Bedford,.86752957,1,.80285174,1,.91179383,1,.92233479,1,Massachusetts,MA
2018,25,2545560,Newton,0,1,0,1,0,1,0,1,Massachusetts,MA
2018,25,2555745,Quincy,.17231879,1,.13905039,1,.25343511,1,.26206896,1,Massachusetts,MA
2018,25,2562535,Somerville,.34019148,1,.2099625,1,.36907217,1,.47443461,1,Massachusetts,MA
2018,25,2567000,Springfield,.99442267,1,.99479526,1,.99525893,1,.9943316,1,Massachusetts,MA
2018,25,2582000,Worcester,.74213177,1,.57715225,1,.78366405,1,.84325963,1,Massachusetts,MA
2018,26,2603000,Ann Arbor,.039307062,1,.05516199,1,.03662597,1,.024669074,1,Michigan,MI
2018,26,2621000,Dearborn,.68583667,1,.67906862,1,.7452901,1,.71599567,1,Michigan,MI
