state_name,place_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
Colorado,Aurora city,20,1,6,0,27,0.7407407407407407,0.2222222222222222,0,40,1,-6,-0,35
Colorado,Boulder city,18,1,7,1,27,0.6666666666666666,0.25925925925925924,0.037037037037037035,36,1,-7,-2,28
Colorado,Centennial city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
Colorado,Colorado Springs city,21,4,2,0,27,0.7777777777777778,0.07407407407407407,0,42,4,-2,-0,44
Colorado,Denver city,19,7,1,0,27,0.7037037037037037,0.037037037037037035,0,38,7,-1,-0,44
Colorado,Fort Collins city,14,6,6,1,27,0.5185185185185185,0.2222222222222222,0.037037037037037035,28,6,-6,-2,26
Colorado,Greeley city,15,6,6,1,28,0.5357142857142857,0.21428571428571427,0.03571428571428571,30,6,-6,-2,28
Colorado,Lakewood city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
Colorado,Longmont city,13,7,6,1,27,0.48148148148148145,0.2222222222222222,0.037037037037037035,26,7,-6,-2,25
Colorado,Loveland city,11,7,8,1,27,0.4074074074074074,0.2962962962962963,0.037037037037037035,22,7,-8,-2,19
Colorado,Pueblo city,12,8,6,1,27,0.4444444444444444,0.2222222222222222,0.037037037037037035,24,8,-6,-2,24
Colorado,Thornton city,14,9,3,1,27,0.5185185185185185,0.1111111111111111,0.037037037037037035,28,9,-3,-2,32
Colorado,Westminster city,13,10,3,1,27,0.48148148148148145,0.1111111111111111,0.037037037037037035,26,10,-3,-2,31
Connecticut,Bridgeport city,22,1,3,1,27,0.8148148148148148,0.1111111111111111,0.037037037037037035,44,1,-3,-2,40
Connecticut,Danbury city,16,5,5,1,27,0.5925925925925926,0.18518518518518517,0.037037037037037035,32,5,-5,-2,30
Connecticut,Hartford city,22,0,4,1,27,0.8148148148148148,0.14814814814814814,0.037037037037037035,44,0,-4,-2,38
Connecticut,New Haven city,20,3,3,1,27,0.7407407407407407,0.1111111111111111,0.037037037037037035,40,3,-3,-2,38
