year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,2,2122,.0347339,1,race-ethnicity,Majority White
2023,2,2130,.0283224,1,race-ethnicity,All
2023,2,2130,NA,NA,race-ethnicity,Majority Non-White
2023,2,2130,.0283224,1,race-ethnicity,Majority White
2023,2,2150,.0147059,1,race-ethnicity,All
2023,2,2150,.0147059,1,race-ethnicity,Majority Non-White
2023,2,2150,NA,NA,race-ethnicity,Majority White
2023,2,2158,.0254237,1,race-ethnicity,All
2023,2,2158,.0254237,1,race-ethnicity,Majority Non-White
2023,2,2158,NA,NA,race-ethnicity,Majority White
2023,2,2164,NA,NA,race-ethnicity,All
2023,2,2164,NA,NA,race-ethnicity,Majority Non-White
2023,2,2164,NA,NA,race-ethnicity,Majority White
2023,2,2170,.0314361,1,race-ethnicity,All
2023,2,2170,NA,NA,race-ethnicity,Majority Non-White
2023,2,2170,.0314361,1,race-ethnicity,Majority White
2023,2,2180,.0182927,1,race-ethnicity,All
2023,2,2180,.0182927,1,race-ethnicity,Majority Non-White
2023,2,2180,NA,NA,race-ethnicity,Majority White
2023,2,2185,.0197368,1,race-ethnicity,All
2023,2,2185,.0198676,1,race-ethnicity,Majority Non-White
2023,2,2185,NA,NA,race-ethnicity,Majority White
2023,2,2188,.0542636,1,race-ethnicity,All
2023,2,2188,.0542636,1,race-ethnicity,Majority Non-White
2023,2,2188,NA,NA,race-ethnicity,Majority White
2023,2,2195,0,1,race-ethnicity,All
2023,2,2195,NA,NA,race-ethnicity,Majority Non-White
2023,2,2195,0,1,race-ethnicity,Majority White
2023,2,2198,.0273973,1,race-ethnicity,All
2023,2,2198,.0243902,1,race-ethnicity,Majority Non-White
2023,2,2198,.03125,1,race-ethnicity,Majority White
2023,2,2220,.0393013,1,race-ethnicity,All
2023,2,2220,NA,NA,race-ethnicity,Majority Non-White
2023,2,2220,.0393013,1,race-ethnicity,Majority White
2023,2,2230,NA,NA,race-ethnicity,All
2023,2,2230,NA,NA,race-ethnicity,Majority Non-White
2023,2,2230,NA,NA,race-ethnicity,Majority White
2023,2,2240,.0410959,1,race-ethnicity,All
2023,2,2240,NA,NA,race-ethnicity,Majority Non-White
2023,2,2240,.0373832,1,race-ethnicity,Majority White
2023,2,2275,.0166667,1,race-ethnicity,All
2023,2,2275,NA,NA,race-ethnicity,Majority Non-White
2023,2,2275,.0166667,1,race-ethnicity,Majority White
2023,2,2282,NA,NA,race-ethnicity,All
2023,2,2282,NA,NA,race-ethnicity,Majority Non-White
2023,2,2282,NA,NA,race-ethnicity,Majority White
2023,2,2290,.0315789,1,race-ethnicity,All
2023,2,2290,.0344828,1,race-ethnicity,Majority Non-White
2023,2,2290,NA,NA,race-ethnicity,Majority White
2023,4,4001,.0651934,1,race-ethnicity,All
2023,4,4001,.0488923,1,race-ethnicity,Majority Non-White
2023,4,4001,.1077844,1,race-ethnicity,Majority White
2023,4,4003,.0624082,1,race-ethnicity,All
2023,4,4003,.1009989,1,race-ethnicity,Majority Non-White
2023,4,4003,.0514914,1,race-ethnicity,Majority White
2023,4,4005,.0655257,1,race-ethnicity,All
2023,4,4005,.0741127,1,race-ethnicity,Majority Non-White
2023,4,4005,.063141,1,race-ethnicity,Majority White
2023,4,4007,.0689445,1,race-ethnicity,All
2023,4,4007,.1048035,1,race-ethnicity,Majority Non-White
2023,4,4007,.0631206,1,race-ethnicity,Majority White
2023,4,4009,.084,1,race-ethnicity,All
2023,4,4009,.0857988,1,race-ethnicity,Majority Non-White
2023,4,4009,.0802469,1,race-ethnicity,Majority White
2023,4,4011,.1013825,1,race-ethnicity,All
2023,4,4011,.1142857,1,race-ethnicity,Majority Non-White
2023,4,4011,.0779221,1,race-ethnicity,Majority White
2023,4,4012,.0365854,1,race-ethnicity,All
2023,4,4012,.0243902,1,race-ethnicity,Majority Non-White
2023,4,4012,.0528455,1,race-ethnicity,Majority White
2023,4,4013,.055147,1,race-ethnicity,All
2023,4,4013,.080244,1,race-ethnicity,Majority Non-White
2023,4,4013,.0400224,1,race-ethnicity,Majority White
2023,4,4015,.044341,1,race-ethnicity,All
2023,4,4015,NA,NA,race-ethnicity,Majority Non-White
