year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,5,11,.1446541,1,race-ethnicity,All
2023,5,11,NA,3,race-ethnicity,Majority Non-White
2023,5,11,.1446541,1,race-ethnicity,Majority White
2023,5,13,.1923077,1,race-ethnicity,All
2023,5,13,NA,3,race-ethnicity,Majority Non-White
2023,5,13,.1880342,1,race-ethnicity,Majority White
2023,5,15,.0598389,1,race-ethnicity,All
2023,5,15,NA,3,race-ethnicity,Majority Non-White
2023,5,15,.0598389,1,race-ethnicity,Majority White
2023,5,17,.1941748,1,race-ethnicity,All
2023,5,17,.2038217,1,race-ethnicity,Majority Non-White
2023,5,17,.1842105,1,race-ethnicity,Majority White
2023,5,19,.0504886,1,race-ethnicity,All
2023,5,19,NA,3,race-ethnicity,Majority Non-White
2023,5,19,.0486577,1,race-ethnicity,Majority White
2023,5,21,.1512415,1,race-ethnicity,All
2023,5,21,NA,3,race-ethnicity,Majority Non-White
2023,5,21,.1512415,1,race-ethnicity,Majority White
2023,5,23,.0357895,1,race-ethnicity,All
2023,5,23,NA,3,race-ethnicity,Majority Non-White
2023,5,23,.0357895,1,race-ethnicity,Majority White
2023,5,25,.1032864,1,race-ethnicity,All
2023,5,25,NA,3,race-ethnicity,Majority Non-White
2023,5,25,.1032864,1,race-ethnicity,Majority White
2023,5,27,.1169591,1,race-ethnicity,All
2023,5,27,NA,3,race-ethnicity,Majority Non-White
2023,5,27,.1178203,1,race-ethnicity,Majority White
2023,5,29,.0486322,1,race-ethnicity,All
2023,5,29,NA,3,race-ethnicity,Majority Non-White
2023,5,29,.0490798,1,race-ethnicity,Majority White
2023,5,31,.1359807,1,race-ethnicity,All
2023,5,31,NA,3,race-ethnicity,Majority Non-White
2023,5,31,.1359807,1,race-ethnicity,Majority White
2023,5,33,.0484375,1,race-ethnicity,All
2023,5,33,NA,3,race-ethnicity,Majority Non-White
2023,5,33,.0484627,1,race-ethnicity,Majority White
2023,5,35,.1525424,1,race-ethnicity,All
2023,5,35,.1688312,1,race-ethnicity,Majority Non-White
2023,5,35,.1305732,1,race-ethnicity,Majority White
2023,5,37,.1058601,1,race-ethnicity,All
2023,5,37,NA,3,race-ethnicity,Majority Non-White
2023,5,37,.1037924,1,race-ethnicity,Majority White
2023,5,39,.1606218,1,race-ethnicity,All
2023,5,39,.2,1,race-ethnicity,Majority Non-White
2023,5,39,NA,3,race-ethnicity,Majority White
2023,5,41,.1034483,1,race-ethnicity,All
2023,5,41,.1333333,1,race-ethnicity,Majority Non-White
2023,5,41,.0718954,1,race-ethnicity,Majority White
2023,5,43,.1516755,1,race-ethnicity,All
2023,5,43,NA,3,race-ethnicity,Majority Non-White
2023,5,43,.1507353,1,race-ethnicity,Majority White
2023,5,45,.0512284,1,race-ethnicity,All
2023,5,45,NA,3,race-ethnicity,Majority Non-White
2023,5,45,.0512284,1,race-ethnicity,Majority White
2023,5,47,.0646465,1,race-ethnicity,All
2023,5,47,NA,3,race-ethnicity,Majority Non-White
2023,5,47,.0646465,1,race-ethnicity,Majority White
2023,5,49,.0833333,1,race-ethnicity,All
2023,5,49,NA,3,race-ethnicity,Majority Non-White
2023,5,49,.0809249,1,race-ethnicity,Majority White
2023,5,51,.0504615,1,race-ethnicity,All
2023,5,51,NA,3,race-ethnicity,Majority Non-White
2023,5,51,.0504615,1,race-ethnicity,Majority White
2023,5,53,.0551601,1,race-ethnicity,All
2023,5,53,NA,3,race-ethnicity,Majority Non-White
2023,5,53,.0554562,1,race-ethnicity,Majority White
2023,5,55,.1160261,1,race-ethnicity,All
2023,5,55,NA,3,race-ethnicity,Majority Non-White
2023,5,55,.1160261,1,race-ethnicity,Majority White
2023,5,57,.1093502,1,race-ethnicity,All
2023,5,57,NA,3,race-ethnicity,Majority Non-White
2023,5,57,.106961,1,race-ethnicity,Majority White
2023,5,59,.04,1,race-ethnicity,All
2023,5,59,NA,3,race-ethnicity,Majority Non-White
2023,5,59,.04,1,race-ethnicity,Majority White
2023,5,61,.1264368,1,race-ethnicity,All
2023,5,61,.1014493,1,race-ethnicity,Majority Non-White
2023,5,61,.1311475,1,race-ethnicity,Majority White
2023,5,63,.0620748,1,race-ethnicity,All
2023,5,63,NA,3,race-ethnicity,Majority Non-White
2023,5,63,.0620748,1,race-ethnicity,Majority White
2023,5,65,.0860534,1,race-ethnicity,All
2023,5,65,NA,3,race-ethnicity,Majority Non-White
2023,5,65,.0860534,1,race-ethnicity,Majority White
2023,5,67,.0951374,1,race-ethnicity,All
2023,5,67,NA,3,race-ethnicity,Majority Non-White
2023,5,67,.0951374,1,race-ethnicity,Majority White
2023,5,69,.1059908,1,race-ethnicity,All
2023,5,69,.1144131,1,race-ethnicity,Majority Non-White
2023,5,69,.0873147,1,race-ethnicity,Majority White
2023,5,71,.0727003,1,race-ethnicity,All
2023,5,71,NA,3,race-ethnicity,Majority Non-White
2023,5,71,.0727003,1,race-ethnicity,Majority White
2023,5,73,.102439,1,race-ethnicity,All
2023,5,73,.1351351,1,race-ethnicity,Majority Non-White
2023,5,73,.0839695,1,race-ethnicity,Majority White
2023,5,75,.1026549,1,race-ethnicity,All
2023,5,75,NA,3,race-ethnicity,Majority Non-White
2023,5,75,.1026549,1,race-ethnicity,Majority White
2023,5,77,.1128205,1,race-ethnicity,All
2023,5,77,.1271676,1,race-ethnicity,Majority Non-White
2023,5,77,NA,3,race-ethnicity,Majority White
2023,5,79,.1025641,1,race-ethnicity,All
2023,5,79,NA,3,race-ethnicity,Majority Non-White
2023,5,79,.1073171,1,race-ethnicity,Majority White
2023,5,81,.1305556,1,race-ethnicity,All
2023,5,81,NA,3,race-ethnicity,Majority Non-White
2023,5,81,.1305556,1,race-ethnicity,Majority White
2023,5,83,.0682853,1,race-ethnicity,All
2023,5,83,NA,3,race-ethnicity,Majority Non-White
2023,5,83,.0682853,1,race-ethnicity,Majority White
2023,5,85,.0452946,1,race-ethnicity,All
2023,5,85,NA,3,race-ethnicity,Majority Non-White
2023,5,85,.0453944,1,race-ethnicity,Majority White
2023,5,87,.0595534,1,race-ethnicity,All
2023,5,87,NA,3,race-ethnicity,Majority Non-White
2023,5,87,.0595534,1,race-ethnicity,Majority White
2023,5,89,.1175439,1,race-ethnicity,All
2023,5,89,NA,3,race-ethnicity,Majority Non-White
2023,5,89,.1175439,1,race-ethnicity,Majority White
2023,5,91,.1156463,1,race-ethnicity,All
2023,5,91,NA,3,race-ethnicity,Majority Non-White
2023,5,91,.1156463,1,race-ethnicity,Majority White
2023,5,93,.1436077,1,race-ethnicity,All
2023,5,93,.1405473,1,race-ethnicity,Majority Non-White
2023,5,93,.1510574,1,race-ethnicity,Majority White
2023,5,95,.0628019,1,race-ethnicity,All
2023,5,95,NA,3,race-ethnicity,Majority Non-White
2023,5,95,.05,1,race-ethnicity,Majority White
2023,5,97,.0588235,1,race-ethnicity,All
2023,5,97,NA,3,race-ethnicity,Majority Non-White
2023,5,97,.0588235,1,race-ethnicity,Majority White
2023,5,99,.0846561,1,race-ethnicity,All
2023,5,99,NA,3,race-ethnicity,Majority Non-White
2023,5,99,.0846561,1,race-ethnicity,Majority White
2023,5,101,.0301724,1,race-ethnicity,All
2023,5,101,NA,3,race-ethnicity,Majority Non-White
2023,5,101,.0301724,1,race-ethnicity,Majority White
2023,5,103,.0632911,1,race-ethnicity,All
2023,5,103,NA,3,race-ethnicity,Majority Non-White
2023,5,103,.0648968,1,race-ethnicity,Majority White
2023,5,105,.0384615,1,race-ethnicity,All
2023,5,105,NA,3,race-ethnicity,Majority Non-White
2023,5,105,.0384615,1,race-ethnicity,Majority White
2023,5,107,.1150628,1,race-ethnicity,All
2023,5,107,.1189427,1,race-ethnicity,Majority Non-White
2023,5,107,NA,3,race-ethnicity,Majority White
2023,5,109,.0510949,1,race-ethnicity,All
2023,5,109,NA,3,race-ethnicity,Majority Non-White
2023,5,109,.0510949,1,race-ethnicity,Majority White
2023,5,111,.172028,1,race-ethnicity,All
2023,5,111,NA,3,race-ethnicity,Majority Non-White
2023,5,111,.172028,1,race-ethnicity,Majority White
2023,5,113,.0559322,1,race-ethnicity,All
2023,5,113,NA,3,race-ethnicity,Majority Non-White
2023,5,113,.0559322,1,race-ethnicity,Majority White
2023,5,115,.055332,1,race-ethnicity,All
2023,5,115,NA,3,race-ethnicity,Majority Non-White
2023,5,115,.055332,1,race-ethnicity,Majority White
2023,5,117,.0420561,1,race-ethnicity,All
2023,5,117,NA,3,race-ethnicity,Majority Non-White
2023,5,117,.0420561,1,race-ethnicity,Majority White
2023,5,119,.0406132,1,race-ethnicity,All
2023,5,119,.0521317,1,race-ethnicity,Majority Non-White
2023,5,119,.0334674,1,race-ethnicity,Majority White
2023,5,121,.0998152,1,race-ethnicity,All
2023,5,121,NA,3,race-ethnicity,Majority Non-White
2023,5,121,.0998152,1,race-ethnicity,Majority White
2023,5,123,.0998308,1,race-ethnicity,All
